,Associated weight
CCR2pcMC_predictions,9.84291651703241
CD61pCD41pPLT_predictions,9.6755756897829
intMC_predictions,9.333520345895366
CD56brightCD16nNKcells_predictions,8.970070970445454
CD4Tcm_predictions,8.002814361218086
Th1mem_predictions,6.424380782367813
CD4Tnaive_predictions,5.531522023926936
Tregmem_predictions,5.44503109703148
Bcells_predictions,5.322890719141967
gdTcells_predictions,5.186636330933526
MDSC_predictions,5.085839358969694
CD8Tem_predictions,4.304886783313978
CD41hiCD61hiPLT_predictions,3.610188860702712
mDC_predictions,3.467267420047916
Tregnaive_predictions,2.4920390855660415
CD8Trm_predictions,2.4300884554510196
pDC_predictions,2.2332932038653697
CD8Tcm_predictions,2.221494590947284
CCR2nncMC_predictions,1.978937127113366
CD56dimCD16pNKcells_predictions,1.3301042284826925
CD62LnAgedNeutrophils_predictions,1.1328554402900393
CD62LpImmatureNeutrophils_predictions,0.9401834630029238
CD8Tnaive_predictions,0.6804005070675923
NKT_predictions,0.656519288537164
Th1naive_predictions,0.6430863451985358
CD4Trm_predictions,0.24251941342234962
CD4Tem_predictions,0.0044596010948305675
