,Mann-Whitney U-test,p-value
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,231.5,4.706259414927959e-06
Tumor non-proliferating_tumorfront_celldistance,1028.0,4.838194183152347e-06
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.naive,1013.0,8.919916964193628e-06
Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,250.0,1.2725399558631824e-05
Tumor proliferating_intratumor_VEGF,1004.0,1.7080872463680612e-05
Vessel_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,263.0,2.4961172079368296e-05
Tumor proliferating_tumorfront_cellfrequency,994.5,2.833727482347099e-05
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells,981.0,3.1730589057969946e-05
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.naive,978.0,3.705118887046963e-05
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,982.0,3.740490067544229e-05
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,953.0,4.260614595676655e-05
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,979.0,6.109682181984399e-05
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive,964.0,7.530361628634128e-05
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,966.0,8.925127372143312e-05
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,289.0,8.998470615325281e-05
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,961.0,9.227694266875043e-05
Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory,966.5,0.00010447930392757835
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,961.5,0.0001377516863710902
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,960.5,0.00014425912342873418
B cells_stromal_CD44,959.0,0.00014479339385510553
CD4 T cells regulatory_stromal_CD44,958.5,0.00016099530359236713
CD4 T cells memory_tumorfront_cellfrequency,956.0,0.00018137560248554868
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.naive,952.0,0.00020313609402467303
CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,948.5,0.00022176113018562612
Myeloid DCs_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,948.5,0.00023457886539178033
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,938.0,0.00023516170640100836
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,946.0,0.00023651765168476976
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,949.0,0.00024906361317044383
CD4 T cells naive_stromal_CD44,946.0,0.0002729358772617189
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,946.0,0.00028095990994713864
CD4 T cells naive_tumorfront_cellfrequency,943.5,0.0002840285499733842
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,946.0,0.00028496818119836114
CD4 T cells memory_stromal_CD44,945.0,0.000297894653756298
