,NFkB,ERK,STAT6,MAPKAPK2,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,Frequency
1326,1.335898598,0.35660016,0.511941396,0.178026177,0.260832413,0.32065078,0.0,0.0,0.389084108,0.029551395,0.300123859,0.024433449
1330,1.244180215,0.469292999,0.824651283,0.1057527,0.158000789,0.682055085,0.102616662,0.0,0.506469655,0.234528743,0.542134653,0.071325493
1331,1.077117461,0.394699078,0.669280857,0.050298901,0.197350431,0.491191576,0.0,0.0,0.000754818,0.186549291,0.268620961,0.056853637
1337,0.916390042,0.321570878,0.607005092,0.040993531,0.182238209,0.391148118,0.025889032,0.028176206,1.033425678,0.061746081,0.374364201,0.06794504
1357,0.737455275,0.250234999,0.451905254,0.149696574,0.214455462,0.264837338,0.0,0.0,0.0,0.16144841,0.229198544,0.095165871
1377,1.595029779,0.281311346,0.908821435,0.282415518,0.082389434,1.16669824,0.166926776,0.0,1.731458691,0.0,0.375334541,0.005907198
1381,0.992761882,0.41114804,0.702967145,0.085936647,0.178627919,0.416688503,0.0,0.0,0.170601123,0.083848203,0.171640448,0.047120496
1400,0.975058302,0.365336349,0.665844407,0.097598239,0.320952583,0.129007718,0.0,0.0,0.0,0.1018777,0.370436638,0.191581367
1414,1.813914082,0.427033878,0.808824333,0.819193842,0.788665593,0.309200226,0.885612387,0.0,0.23287669,0.437837501,1.720398224,0.386255881
1418,1.512508949,0.504844703,0.798593885,0.150881677,0.363266448,0.505321798,0.014365105,0.0,0.059000582,0.158918951,0.896693901,0.057681486
1427,1.540980972,0.377734009,0.633080164,0.182926968,0.396642149,0.314118149,0.019451488,0.0,0.179870637,0.488936495,0.612454249,0.026469615
1428,0.876043997,0.205927893,0.460566841,0.205465218,0.082677419,0.094059739,0.0,0.0,0.135744978,0.028278802,0.328943462,0.017178195
1431,1.35775573,0.398654209,0.555908983,0.207030733,0.631212668,0.044729998,0.051991169,0.0,0.200639908,0.249266021,0.37771583,0.129561321
1464,1.570542256,0.606870065,0.743591574,0.073075221,0.375849002,0.404849527,0.107092931,0.0,0.556899565,0.123112103,0.699278975,0.012153806
1469,1.096581928,0.253243402,0.378140006,0.127979573,0.437189634,0.280505161,0.0,0.0,1.31919005,0.371194754,0.787165936,0.038359158
1472,0.990943066,0.268969176,0.554276725,0.130620346,0.213523943,0.137190033,0.0,0.0,0.0,0.170233275,0.201454832,0.111891868
1473,1.088383408,0.339807523,0.714093088,0.158882634,0.190199514,0.139022538,0.0,0.0,0.154421047,0.554348584,0.445722556,0.055481352
1475,1.031435033,0.284699138,0.587803253,0.101902758,0.337579252,0.134567909,0.0,0.0,0.0,0.148953716,0.420648673,0.044200671
1480,0.979344558,0.20266119,0.475872675,0.045139281,0.271605588,0.325706974,0.0,0.0,0.096207763,0.630995078,0.461661208,0.056696038
1488,1.19248603,0.372911412,0.614320914,0.227582008,0.677123071,0.388972619,0.0,0.0,0.083871092,0.612788268,0.40080905,0.131717597
