,ERK,STAT6,MAPKAPK2,STAT3,S6,IkB,NFkB,p38,STAT1,CREB,STAT5,Frequency
1326,0.511301903,0.874700816,0.140257172,0.002904675,0.09441755,0.37753315,1.332681751,0.0,0.0,0.456857902,0.175029348,1.062855049
1330,0.382049069,0.598214329,0.406389831,0.047408305,0.082337696,0.233736361,0.88217779,0.0,0.0,0.102550136,0.141975684,0.68505648
1331,0.441263993,0.675996366,0.226586961,0.0,0.09808706,0.261319439,0.987437639,0.0,0.0,0.357014775,0.068422377,0.568536366
1337,0.355058384,0.583892422,0.175221803,0.196025676,0.068328228,0.316004801,0.937634354,0.0,0.0,0.203136103,0.205420368,0.40767024
1357,0.349468903,0.612697768,0.191966122,0.0,0.041214538,0.250224667,0.897760399,0.0,0.0,0.234539392,0.083656701,0.975450179
1377,0.490562513,0.785561931,0.372920723,0.167776882,0.128496417,0.259279611,1.36053594,0.0,0.0,0.446676871,0.193611701,0.239241516
1381,0.421314582,0.766278588,0.186004524,0.0,0.059717138,0.250270341,1.066655531,0.0,0.0,0.306622354,0.103525694,1.669832575
1400,0.389611802,0.599880076,0.088589567,0.0,0.043614089,0.319046018,0.972012915,0.0,0.0,0.407360665,0.07801152,0.160563432
1414,0.568627847,1.02732602,0.586064217,0.017741742,0.336039821,1.524784893,2.024307295,0.502223708,0.0,1.464381354,0.137959413,0.913467699
1418,0.622852283,0.979100959,0.316144635,0.0,0.143331065,0.662797108,1.588960489,0.0,0.0,0.518757201,0.15451259,1.181767023
1427,0.375719416,0.751032762,0.277579493,0.005133555,0.111369722,0.308266992,1.034244326,0.0,0.0,0.281357644,0.08428285,1.360979376
1428,0.441474579,0.908532812,0.135539182,0.0,0.122940472,0.273039695,1.334299919,0.0,0.0,0.170142192,0.199578254,0.60123683
1431,0.599358993,1.042077453,0.195474017,0.12993357,0.166002696,0.406614002,1.614091076,0.046445356,0.0,0.718302692,0.072570011,1.205682407
1464,0.408197252,0.754480152,0.218550287,0.034732871,0.132235851,0.34887772,1.215768031,0.0,0.0,0.237616626,0.178309799,1.760782705
1469,0.425597439,0.794668099,0.171640665,0.0,0.113955928,0.347122741,1.255686461,0.0,0.0,0.370149313,0.092295865,0.850875867
1472,0.326793938,0.628663318,0.320177501,0.0,0.15587204,0.184047438,0.879699063,0.0,0.0,0.165968172,0.102082923,2.63841024
1473,0.390962407,0.679014145,0.119506805,0.0,0.227698961,0.292350456,0.950916503,0.0,0.0,0.248305394,0.148202033,0.295900545
1475,0.515059487,0.933174321,0.166436611,0.0,0.230931835,0.281219097,1.222541898,0.0,0.0,0.413284974,0.048366486,15.48630784
1480,0.404624345,0.790073913,0.140681241,0.0,0.2020734,0.311072298,1.174412535,0.0,0.0,0.209130916,0.062978012,1.19770381
1488,0.561395751,0.946901642,0.17335151,0.0,0.307912664,0.318588993,1.372098506,0.0,0.0,0.640199967,0.084344608,2.780704835
