,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,5.028417301,0.173427258,0.022108601,0.00043889,0.0,0.0,0.193801639,0.365184905,0.60582558,0.05848705,0.0,0.350906179
1330,1.846751984,0.111292803,0.009714751,0.0,0.0,0.0,0.136722723,0.310553443,0.51012131,0.060164078,0.0,0.35702276
1331,3.983052768,0.128661467,0.021216697,0.0,0.0,0.0,0.245649906,0.303239536,0.443905862,0.0,0.0,0.248100094
1337,2.454483718,0.172138096,0.0,0.0,0.0,0.0,0.176824363,0.2253454,0.409341169,0.001532297,0.0,0.246389088
1357,4.709645669,0.107444019,0.0,0.0,0.0,0.0,0.138812241,0.31841735,0.458118057,0.00337829,0.0,0.265951747
1377,4.455736603,0.17934847,0.033120662,0.0,0.0,0.0,0.197710126,0.420619292,0.777800348,0.045600711,0.0,0.379804732
1381,3.248371919,0.157045832,0.0,0.0,0.0,0.0,0.151708379,0.242412719,0.446388807,0.0,0.0,0.316972182
1400,4.313891835,0.027661803,0.0,0.0,0.0,0.0,0.067411207,0.269319292,0.399669563,0.0,0.0,0.202796159
1414,4.552080223,0.314305564,0.0,0.141682869,0.0,0.0,0.238606155,0.445161216,0.941734899,0.040815318,0.0,0.379673609
1418,5.639690803,0.162541414,0.0,0.013977021,0.0,0.0,0.164067715,0.495729943,0.848583614,0.04057213,0.0,0.425139028
1427,3.280311531,0.085330845,0.008678623,0.0,0.0,0.0,0.173091162,0.253250343,0.501334979,0.002171503,0.0,0.296907659
1428,4.654515273,0.092878606,0.0,0.0,0.0,0.0,0.158816693,0.264967936,0.529806424,0.00569968,0.0,0.291101202
1431,3.821093582,0.144706465,0.0,0.048592188,0.0,0.128986426,0.212810072,0.320173625,0.707346622,0.07200758,0.0,0.397075329
1464,3.68863999,0.598989174,0.021005022,0.427718223,0.0,0.0,1.366329084,0.27024877,0.635799037,0.063352241,0.0,0.608896337
1469,7.588456342,0.438579806,0.003130185,0.094296362,0.0,0.0,0.475832425,0.396007935,0.466792959,0.027255975,0.0,0.441736772
1472,3.731293537,0.114659335,0.013594834,0.07873564,0.0,0.0,0.329505438,0.318815319,0.531219822,0.0,0.0,0.352649135
1473,4.951877632,0.120301114,0.036148144,0.0,0.0,0.0,0.325229643,0.320519255,0.433385137,0.0,0.0,0.344064908
1475,7.25473427,0.036269071,0.0,0.0,0.0,0.0,0.225884537,0.294289529,0.394754588,0.0,0.0,0.313104987
1480,4.170602778,0.057544398,0.0,0.0,0.0,0.0,0.260459417,0.259232794,0.482097226,0.0,0.0,0.355552574
1488,3.841952795,0.1557396,0.022306363,0.0,0.0,0.0,0.396864671,0.303680795,0.471126395,0.041858036,0.0,0.481714053
