,MAPKAPK2,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,Frequency
1326,0.278284302,0.759055558,0.193152981,0.068534611,0.0,0.784412591,0.362157577,0.923128073,0.342510389,0.085333966,0.036203351,0.639341926
1330,0.246944593,0.455637328,0.236567943,0.010442204,0.0,0.85432831,0.522175643,0.685622866,0.234449511,0.067894118,0.0,0.771310564
1331,0.207166942,0.666629738,0.167093825,0.000869892,0.0,0.220922928,0.714654374,0.761064023,0.196552304,0.090410664,0.0,0.929071622
1337,0.217755318,0.534929553,0.221487114,0.089508977,0.0,0.980498974,0.386480742,0.569771726,0.333294498,0.081329701,0.029531216,1.506115054
1357,0.284244619,0.600191642,0.158231036,0.0,0.0,0.287785213,0.440099527,0.686549621,0.240366785,0.047608212,0.0,0.907049709
1377,0.223228683,0.600368519,0.212245936,0.078499453,0.0,2.010801194,0.363138286,0.590845762,0.354805699,0.052895552,0.0,0.516879818
1381,0.195021479,0.575080802,0.147208127,0.0,0.0,0.816236025,0.262858553,0.575684229,0.207066034,0.0,0.0,0.633181664
1400,0.214765616,0.538007261,0.145825923,0.0,0.0,0.334525688,0.232741817,0.542152017,0.143131243,0.0,0.0,0.558322842
1414,1.064589622,1.730503879,0.30518388,1.36046166,0.0,0.58008539,0.8216118,1.781986019,1.272765732,0.108359445,0.125530037,2.934446336
1418,0.427616974,0.868971985,0.13458114,0.110512749,0.0,0.16069442,0.4289386,1.249950532,0.359750104,0.122774021,0.0,1.072031514
1427,0.077375833,0.385518778,0.113488506,0.040612972,0.0,0.558581514,0.313352332,0.226884655,0.042146164,0.0,0.0,1.588176905
1428,0.116954466,0.407155364,0.132843256,0.015205215,0.0,0.269509909,0.401567053,0.431633205,0.150200971,0.0,0.0,0.78876546
1431,0.119762383,0.645492921,0.137666772,0.052072706,0.0,0.763809266,0.48031882,0.302526356,0.133405653,0.0,0.0,1.50443557
1464,0.162385958,0.435044094,0.128259477,0.090088411,0.0,0.348231716,0.448345583,0.328496612,0.133762837,0.0,0.0,1.643802318
1469,0.127315204,0.605413312,0.158008518,0.024217561,0.0,1.368931192,0.677440345,0.760184567,0.173987238,0.0,0.04334738,2.392216578
1472,0.149569097,0.375377016,0.126672858,0.0,0.0,0.364256643,0.63264152,0.297695851,0.066293023,0.0,0.0,1.64928613
1473,0.116375027,0.373342601,0.145004833,0.01135776,0.0,0.802626469,0.589403486,0.320081652,0.093687427,0.0,0.0,4.744683037
1475,0.124245946,0.520990976,0.143284722,0.002351788,0.0,0.711478057,0.823856315,0.341912535,0.086781498,0.0,0.0,2.684186205
1480,0.145699411,0.464095751,0.145237466,0.026267288,0.0,0.789918546,0.729122103,0.489017332,0.160774593,0.0,0.0,1.852070587
1488,0.152659824,0.797333415,0.162543543,0.060496675,0.0,0.7441452,1.019973745,0.299377751,0.104505362,0.0,0.0,2.438239082
