,STAT5,S6,p38,STAT1,STAT3,STAT6,IkB,NFkB,ERK,CREB,MAPKAPK2,Frequency
1326,0.426599151,0.276853256,0.03331342,0.0,0.178326971,0.012317038,1.473780543,0.38607213,0.076069947,0.535580499,0.540273863,0.439802089
1330,0.417223404,0.26949551,0.0,0.0,0.1552288,0.001270708,1.325670819,0.273555398,0.025882501,0.321064589,0.493988878,0.263738451
1331,0.403216988,0.347986042,0.0,0.0,0.0,0.0,1.33798495,0.313527149,0.051621086,0.373184713,0.614774464,0.176107606
1337,0.379667343,0.344349999,0.009721998,0.0,0.137079718,0.033413225,1.051798089,0.372764126,0.053769324,0.377433544,0.464738398,0.524686698
1357,0.288295076,0.375115258,0.0,0.0,0.101007916,0.029534204,1.158745901,0.293652027,0.02733578,0.378953646,0.48275996,0.074348337
1377,0.543994207,0.0,0.027815278,0.0,1.055938502,0.116291893,1.240249559,0.610551085,0.14971952,0.772727801,0.930033033,0.017721594
1381,0.34665822,0.115188914,0.0,0.0,0.336809616,0.0,1.237543337,0.239174846,0.0,0.418745436,0.484132649,0.053010558
1400,0.389140155,0.151237231,0.0,0.0,0.0,0.024050913,1.322786503,0.320970375,0.0,0.507238914,0.514628879,0.116773405
1414,0.436806343,0.631587086,1.210225827,0.0,0.189323564,0.079014948,2.089113789,1.053533242,0.098601904,1.261789586,1.320521941,0.287403665
1418,0.308611625,0.387949931,0.0,0.0,0.0,0.014682101,1.610013998,0.405139092,0.122272657,0.617133619,0.795992389,0.091446258
1427,0.27203082,0.343719052,0.020453645,0.0,0.05914015,0.002171565,1.345113492,0.302174685,0.050857785,0.397923619,0.408769428,0.132348075
1428,0.293826879,0.238570007,0.0,0.0,0.044736004,0.0,1.147645772,0.177156938,0.002706842,0.210901897,0.504596896,0.171781951
1431,0.264984828,0.429838001,0.020902743,0.0,0.165980566,0.003400112,1.320925647,0.504064476,0.053133386,0.535661531,0.652788324,0.044203274
1464,0.274416377,0.250531442,0.013570432,0.0,0.065098844,0.000193023,1.425089774,0.313986212,0.050812854,0.377639335,0.427963027,0.173191741
1469,0.27229714,0.284344162,0.013665805,0.0,0.716607585,0.039742578,1.466164116,0.37126163,0.044425821,0.637369335,0.500666142,0.079043113
1472,0.443544118,0.586344169,0.0,0.0,0.043791122,0.0,1.589138621,0.201636698,0.0,0.329948506,0.418938469,0.472183682
1473,0.2865277,0.506016156,0.0,0.0,0.144617041,0.0,1.498182123,0.235216826,0.0,0.31209256,0.382089376,0.102743245
1475,0.396836198,0.480557975,0.0,0.0,0.151399091,0.0,1.419074246,0.295950635,0.0,0.481991495,0.452018061,0.12858377
1480,0.346814458,0.478876971,0.000291868,0.0,0.04645884,0.014247946,1.400765442,0.250980046,0.007385658,0.365204181,0.482937998,0.264581512
1488,0.395348638,0.739064943,0.094578345,0.0,0.032815426,3.84e-06,1.556073719,0.334285235,0.039511327,0.762863236,0.618971897,0.137571713
