,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,4.590116559,0.733763699,0.141085714,0.059928612,0.0,0.52651912,0.332420945,0.372008327,0.477237881,0.06296342,0.015338217,0.266481742
1330,0.539214552,0.729901749,0.084890253,0.0,0.0,0.417321328,0.865229381,0.291089643,0.166041969,0.0,0.0,0.129341256
1331,2.994086594,0.620343418,0.167539836,0.029348458,0.0,0.397973941,0.286155982,0.376619035,0.478010477,0.050711786,0.016476793,0.207400889
1337,3.282346473,0.783940887,0.094462936,0.179409299,0.0,0.494425254,0.521461474,0.244940357,0.154609762,0.099659947,0.0,0.201254054
1357,2.872785433,0.578834455,0.136598135,0.011023312,0.0,0.119530312,0.228056422,0.295129226,0.450298481,0.071503211,0.002470907,0.32547569
1377,6.374937007,0.611994049,0.136030184,0.012042046,0.0,0.608766212,0.225997698,0.518964906,0.441747899,0.057804881,0.0,0.187407776
1381,3.329386471,0.638512266,0.07605503,0.0,0.0,0.153623638,0.165147031,0.322125924,0.351518602,0.005099325,0.0,0.177848262
1400,6.309650053,0.384384008,0.06723242,0.0,0.0,0.267507062,0.262713747,0.447317039,0.242392711,0.0,0.0,0.123701752
1414,3.652903883,0.701086371,0.079188575,0.032570578,0.0,0.364668341,0.531810967,0.484655916,0.333507916,0.0,0.0,0.101098303
1418,4.385549771,0.691414408,0.096364626,0.07004375,0.0,0.11416018,0.27501136,0.513324027,0.453849605,0.0656357,0.0,0.3569155
1427,8.210679163,0.322773576,0.048271313,0.0,0.0,0.157525198,0.315547508,0.279839657,0.18130204,0.0,0.0,0.073501718
1428,3.933731585,0.406371109,0.069864718,0.0,0.0,0.164345486,0.259904804,0.224510229,0.233289861,0.0,0.0,0.110344896
1431,8.291367336,0.667836336,0.127360694,0.063271683,0.0,0.296492217,0.275570251,0.324396527,0.539356201,0.099060988,0.0,0.345743508
1464,8.969746269,0.919448907,0.083775114,0.146636035,0.0,0.094352234,0.298429614,0.207333815,0.305219998,0.041911687,0.0,0.26211115
1469,3.606865394,0.789622089,0.056452266,0.116951091,0.0,0.125259463,0.376460798,0.251983158,0.168461848,0.041968863,0.0,0.125649909
1472,3.124687531,0.548556299,0.122355448,0.073647281,0.0,0.153034948,0.500945554,0.393478055,0.500709473,0.015472726,0.0,0.355232492
1473,3.314857781,0.219547765,0.061291293,0.0,0.0,0.319372438,0.60353875,0.323006619,0.14031649,0.0,0.0,0.047758048
1475,4.869883934,0.379062511,0.078739567,0.0,0.0,0.143480746,0.493105258,0.325413269,0.178950375,0.0,0.0,0.134247931
1480,2.817920527,0.355869036,0.09371493,0.0,0.0,0.160303294,0.492792168,0.35954715,0.247918096,0.0,0.0,0.14595334
1488,3.376549366,0.582243864,0.114951077,0.027500556,0.0,0.157142302,0.578659861,0.231907243,0.374385674,0.036674481,0.0,0.217174991
