,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.0,0.037521513,0.013689956,0.0,0.0,0.02412382,0.103472887,0.119487417,0.0,0.0,0.0
1330,0.0,0.0,0.034474497,0.0,0.0,0.034061524,0.099466233,0.020817213,0.0,0.0,0.0
1331,0.0,0.045140119,0.152219618,0.0,0.101938028,0.03436231,0.120304937,0.132869098,0.0,0.0,0.098132976
1337,0.243548887,0.162269809,1.028109288,0.0,0.132047537,0.439200594,0.219569204,0.239658579,0.030642822,0.015595226,0.666359823
1357,0.0,0.0,0.04500644,0.0,0.0,0.0,0.139129895,0.050408958,0.0,0.0,0.0
1377,0.007335209,0.100669219,0.004499958,0.0,0.085704706,0.071189863,0.157785151,0.100163261,0.0,0.0,0.0
1381,0.0,0.0,0.118403163,0.0,0.0,0.0,0.089538408,0.035396372,0.0,0.0,0.013925858
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.120092114,0.029489406,0.0,0.0,0.0
1414,0.0,0.0,0.136002539,0.0,0.0,0.013119887,0.046615602,0.104281931,0.0,0.0,0.023831481
1418,0.091434457,0.085637124,0.378376403,0.0,0.0,0.067403461,0.089981847,0.150441825,0.0,0.0,0.260179607
1427,0.004601855,0.0,0.059155379,0.0,0.0,0.050270971,0.14175884,0.147194925,0.0,0.0,0.044591181
1428,0.0,0.015683702,0.282166535,0.0,0.0,0.052317478,0.129012589,0.076964065,0.0,0.0,0.203935126
1431,0.045481482,0.080935974,0.816982394,0.0,0.157243397,0.05265998,0.074633092,0.097047198,0.0,0.0,0.607785888
1464,0.364372937,0.115855644,0.383041285,0.0,0.002618954,1.500208627,0.138228651,0.291871444,0.119476611,0.050487042,0.48743347
1469,0.0,0.0,0.052189158,0.0,0.0,0.017830435,0.087968387,0.060929578,0.0,0.0,0.0
1472,0.0,0.0,0.0,0.0,0.0,0.225731062,0.194708139,0.122440586,0.0,0.0,0.0
1473,0.0,0.0,0.0,0.0,0.0,0.118358718,0.136680495,0.077892591,0.0,0.0,0.0
1475,0.0,0.0,0.0,0.0,0.0,0.067456032,0.093017727,0.043693494,0.0,0.0,0.0
1480,0.0,0.0,0.04169704,0.0,0.0,0.151056192,0.089822856,0.059929722,0.0,0.0,0.0
1488,0.0,0.083609326,0.263244924,0.0,0.0,0.246184629,0.102695058,0.165979896,0.0,0.0,0.172120277
