,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.886234467,0.368769156,0.205076972,0.0,0.0,0.106531424,0.146543806,0.36465983,1.406422317,0.528422723,0.914280569,0.126655592
1330,0.819235843,0.154247516,0.161244221,0.0,0.0,0.056708535,0.088122775,0.272791446,0.937177723,0.368769847,0.637447,0.439334781
1331,0.708022747,0.511929327,0.096689737,0.0,0.0,0.096106488,0.094430169,0.320946214,1.060918968,0.432447033,0.812669451,0.137530638
1337,0.4074637,0.379599324,0.154943012,0.022597818,0.0,0.138601412,0.056640227,0.203269302,0.972691675,0.306515455,0.577538823,0.177571166
1357,0.978100394,0.31845921,0.106466769,0.0,0.0,0.0,0.055920872,0.283950212,1.020948136,0.390677028,0.666647447,0.22739966
1377,0.239375105,0.542311316,0.160077865,0.0,0.0,0.005380445,0.105157391,0.318218613,1.338809915,0.590458977,1.002341572,0.208573512
1381,2.720219362,0.63559309,0.097927882,0.0,0.0,0.0,0.051206009,0.280954611,1.092874052,0.439164896,0.794366628,0.172624656
1400,0.19088017,0.256406041,0.089961381,0.0,0.0,0.0,0.067855761,0.542752264,1.239654284,0.569826121,0.805295513,0.176717162
1414,0.785023094,0.834429943,0.138301765,0.0,0.0,0.0,0.135576284,0.705803749,1.886437767,0.692212279,1.109062514,0.156286691
1418,0.907083136,0.456078387,0.115475084,0.0,0.0,0.0,0.132558082,0.704288547,1.706067958,0.593779086,0.978568653,0.275362579
1427,1.336545443,0.284881555,0.046815116,0.0,0.0,0.034982922,0.124102943,0.315656942,1.074210761,0.335638361,0.707796969,0.295519904
1428,1.281029192,0.291953766,0.139563003,0.0,0.0,0.0,0.102820886,0.315924808,1.432623588,0.508535924,0.926800159,0.129308013
1431,1.338934103,0.602881144,0.047468513,0.036363384,0.0,0.146052182,0.175475921,0.445376528,1.676984792,0.567114887,0.996285094,0.193298855
1464,1.956950224,0.874898472,0.22447629,0.011643641,0.0,0.016465886,0.119062612,0.380858375,1.327740272,0.44328752,0.848187063,0.257264673
1469,1.183288296,0.427337575,0.131461165,0.0,0.0,0.0,0.133994155,0.395238924,1.267487753,0.4688281,0.889099671,0.199670058
1472,2.02646402,0.279557132,0.092122293,0.0,0.0,0.023145125,0.2113494,0.287059593,1.179590289,0.378273825,0.752676883,0.381616467
1473,0.283578242,0.221594312,0.110926744,0.0,0.0,0.0,0.286518759,0.400496514,1.077011198,0.39560404,0.709921529,0.240073857
1475,18.95418448,0.241481985,0.057955794,0.0,0.0,0.0,0.197285829,0.255391381,1.103078173,0.517654099,0.919048631,0.172513349
1480,2.285289329,0.127481934,0.091225581,0.0,0.0,0.030216044,0.241393617,0.272968089,1.09611938,0.402959878,0.772025275,0.139791806
1488,2.072944864,0.368382045,0.088312862,0.0,0.0,0.0,0.279634415,0.295705692,1.238004361,0.56187911,0.987940138,0.142199808
