,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.385319333,0.824921916,0.281547108,0.148696839,0.0,1.140409998,0.338837253,0.594156796,0.429827843,0.0,0.0,0.228318076
1330,0.948832473,0.477882961,0.200413343,0.0,0.0,0.971303842,0.538851315,0.758939583,0.283505269,0.056590593,0.0,0.261354026
1331,0.994630355,0.58408607,0.243073923,0.061213592,0.0,1.277862459,0.464312579,0.642537219,0.323928918,0.042590457,0.007306411,0.149913775
1337,2.787569123,1.281993659,0.178861212,1.107399544,0.0,0.506203062,0.357518745,0.379775202,0.308399851,0.77339046,0.053808201,0.938745323
1357,1.189714567,0.638103989,0.15899588,0.019050364,0.0,0.333637503,0.438674326,0.721433404,0.255123726,0.039037272,0.0,0.302158058
1377,0.645332885,0.647210737,0.197434195,0.071952309,0.0,2.237083853,0.292686305,0.619974335,0.31720334,0.052666156,0.0,0.16991031
1381,0.623967843,0.866323103,0.158014399,0.023921378,0.0,0.965659433,0.315243386,0.668445645,0.242172493,0.010076657,0.0,0.217441344
1400,0.646871686,0.445910687,0.188319722,0.015407695,0.0,0.217130727,0.223856542,0.569769969,0.155805119,0.0,0.0,0.190366276
1414,1.290809786,1.021953397,0.170273073,0.184884454,0.0,1.053647981,0.499861226,1.042132797,0.381834347,0.030456707,0.0,0.310418612
1418,1.056949046,0.775634717,0.1314468,0.078728696,0.0,0.216134339,0.432972687,1.286875268,0.35516606,0.084167772,0.0,0.375695917
1427,1.448749257,0.458266064,0.085979413,0.063263956,0.0,0.776805866,0.394182507,0.250577424,0.054489669,0.0,0.0,0.080539299
1428,0.929374119,0.541051088,0.14565664,0.045078968,0.0,0.65406075,0.448500954,0.525732791,0.144980544,0.007987983,0.0,0.14810617
1431,1.976180816,0.67114244,0.138314034,0.063855523,0.0,0.509667365,0.453130292,0.31710199,0.171114085,0.0262447,0.0,0.132674685
1464,1.985107781,1.451943449,0.120131703,1.002950897,0.0,0.243634131,0.523847832,0.218384528,0.142223694,0.04322321,0.0,0.718530338
1469,2.465799696,1.426807438,0.151576279,1.220156596,0.0,0.680568651,0.666698305,0.705762882,0.157768991,0.081786954,0.035339365,0.521385682
1472,1.424857514,0.622736996,0.175185062,0.115284919,0.0,0.900506994,0.864447473,0.390991584,0.108348577,0.0,0.0,0.166755643
1473,7.81343989,0.37144959,0.152407549,0.050540731,0.0,0.722837339,0.573141918,0.439176448,0.122224476,0.0,0.0,0.148836358
1475,2.379963348,0.405530566,0.141920545,0.022106931,0.0,0.492466177,0.759733911,0.32159262,0.083345847,0.0,0.0,0.133984497
1480,1.630052459,0.44315377,0.144504895,0.047842542,0.0,0.774320472,0.736383908,0.412396815,0.122321749,0.0,0.0,0.134678373
1488,3.365864083,0.606920579,0.15469043,0.067364574,0.0,1.078499262,0.931052702,0.241403253,0.073598186,0.0,0.0,0.101541565
