,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 1,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 2,"['STAT3', 'NFkB', 'Frequency']",3
Fold 3,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 4,"['CREB', 'STAT3', 'Frequency']",3
Fold 5,"['STAT3', 'NFkB', 'Frequency']",3
Fold 6,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 7,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 8,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 9,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 10,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 11,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 12,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 13,"['STAT3', 'NFkB', 'Frequency']",3
Fold 14,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 15,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 16,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 17,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 18,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 19,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 20,"['STAT3', 'NFkB', 'Frequency']",3
Fold 21,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 22,"['STAT3', 'NFkB', 'Frequency']",3
Fold 23,"['STAT3', 'NFkB', 'Frequency']",3
Fold 24,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 25,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 26,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 27,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 28,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 29,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 30,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 31,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 32,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 33,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 34,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 35,"['CREB', 'STAT3', 'Frequency']",3
Fold 36,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 37,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 38,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 39,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 40,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 41,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 42,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 43,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 44,"['STAT3', 'NFkB', 'Frequency']",3
Fold 45,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 46,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 47,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 48,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 49,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 50,"['STAT3', 'NFkB', 'Frequency']",3
Fold 51,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 52,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 53,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 54,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 55,"['STAT3', 'NFkB', 'Frequency']",3
Fold 56,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 57,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 58,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 59,"['CREB', 'STAT3', 'Frequency']",3
Fold 60,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 61,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 62,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 63,"['CREB', 'STAT3', 'Frequency']",3
Fold 64,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 65,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 66,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 67,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 68,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 69,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 70,"['STAT3', 'NFkB', 'Frequency']",3
Fold 71,"['STAT3', 'NFkB', 'Frequency']",3
Fold 72,"['STAT3', 'NFkB', 'Frequency']",3
Fold 73,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 74,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 75,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 76,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 77,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 78,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 79,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 80,"['STAT3', 'NFkB', 'Frequency']",3
Fold 81,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 82,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 83,"['STAT3', 'NFkB', 'Frequency']",3
Fold 84,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 85,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 86,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 87,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 88,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 89,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 90,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 91,"['CREB', 'STAT3', 'Frequency']",3
Fold 92,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 93,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 94,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 95,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 96,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 97,"['STAT3', 'NFkB', 'Frequency']",3
Fold 98,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 99,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 100,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 101,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 102,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 103,"['STAT3', 'NFkB', 'Frequency']",3
Fold 104,"['STAT3', 'NFkB', 'Frequency']",3
Fold 105,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 106,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 107,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 108,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 109,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 110,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 111,"['STAT3', 'NFkB', 'Frequency']",3
Fold 112,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 113,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 114,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 115,"['CREB', 'STAT3', 'Frequency']",3
Fold 116,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 117,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 118,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 119,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 120,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 121,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 122,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 123,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 124,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 125,"['STAT3', 'NFkB', 'Frequency']",3
Fold 126,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 127,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 128,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 129,"['STAT3', 'NFkB', 'Frequency']",3
Fold 130,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 131,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 132,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 133,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 134,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 135,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 136,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 137,"['STAT3', 'NFkB', 'Frequency']",3
Fold 138,"['CREB', 'STAT3', 'Frequency']",3
Fold 139,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 140,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 141,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 142,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 143,"['STAT3', 'NFkB', 'Frequency']",3
Fold 144,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 145,"['STAT3', 'NFkB', 'Frequency']",3
Fold 146,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 147,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 148,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 149,"['CREB', 'STAT3', 'Frequency']",3
Fold 150,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 151,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 152,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 153,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 154,"['STAT3', 'NFkB', 'Frequency']",3
Fold 155,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 156,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 157,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 158,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
Fold 159,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 160,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 161,"['STAT3', 'S6', 'NFkB', 'Frequency']",4
Fold 162,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 163,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 164,"['CREB', 'STAT3', 'NFkB', 'Frequency']",4
