,Spearman corr,pvalue
NFkB,-0.5376081811049543,0.014495538334615365
S6,-0.520265981714472,0.018692511424373982
Frequency,0.2948173896382008,0.20700547241122197
STAT3,-0.2605250528594531,0.2672668768273517
STAT5,0.20810639268578882,0.3786152471949078
IkB,-0.17342199390482396,0.4646587776970642
p38,-0.13948208816291766,0.557541655683564
CREB,-0.1387375951238592,0.5596674186533706
STAT6,-0.10405319634289441,0.6624265026477676
ERK,0.0693687975619296,0.7713562200019073
MAPKAPK2,-0.0173421993904824,0.9421499835467455
STAT1,,
