,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 1,[],0
Fold 2,[],0
Fold 3,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 4,"['STAT3', 'Frequency']",2
Fold 5,"['CREB', 'STAT5', 'MAPKAPK2', 'STAT3', 'Frequency']",5
Fold 6,[],0
Fold 7,['STAT3'],1
Fold 8,[],0
Fold 9,"['p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",5
Fold 10,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 11,[],0
Fold 12,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 13,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 14,[],0
Fold 15,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 20,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 21,"['p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",5
Fold 22,[],0
Fold 23,"['CREB', 'STAT5', 'MAPKAPK2', 'STAT3', 'Frequency']",5
Fold 24,[],0
Fold 25,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 26,[],0
Fold 27,[],0
Fold 28,['STAT3'],1
Fold 29,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 30,[],0
Fold 31,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 32,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 33,[],0
Fold 34,[],0
Fold 35,"['STAT3', 'Frequency']",2
Fold 36,[],0
Fold 37,[],0
Fold 38,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 39,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 40,[],0
Fold 41,[],0
Fold 42,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 43,[],0
Fold 44,"['CREB', 'STAT5', 'MAPKAPK2', 'STAT3', 'Frequency']",5
Fold 45,[],0
Fold 46,"['p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",5
Fold 47,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 48,[],0
Fold 49,[],0
Fold 50,[],0
Fold 51,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 52,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 53,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 54,[],0
Fold 55,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 56,['STAT3'],1
Fold 57,[],0
Fold 58,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 59,"['STAT3', 'Frequency']",2
Fold 60,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 61,[],0
Fold 62,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 63,"['STAT3', 'Frequency']",2
Fold 64,[],0
Fold 65,[],0
Fold 66,[],0
Fold 67,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 68,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 69,[],0
Fold 70,"['CREB', 'STAT5', 'MAPKAPK2', 'STAT3', 'Frequency']",5
Fold 71,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 72,[],0
Fold 73,[],0
Fold 74,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 75,['STAT3'],1
Fold 76,"['p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",5
Fold 77,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 78,[],0
Fold 79,[],0
Fold 80,"['CREB', 'STAT5', 'MAPKAPK2', 'STAT3', 'Frequency']",5
Fold 81,[],0
Fold 82,[],0
Fold 83,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 84,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 85,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 86,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 87,"['p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",5
Fold 88,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 89,[],0
Fold 90,[],0
Fold 91,"['STAT3', 'Frequency']",2
Fold 92,[],0
Fold 93,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
Fold 94,[],0
Fold 95,[],0
Fold 96,[],0
Fold 97,[],0
Fold 98,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 99,['STAT3'],1
Fold 100,['STAT3'],1
Fold 101,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 102,[],0
Fold 103,"['CREB', 'STAT5', 'MAPKAPK2', 'STAT3', 'Frequency']",5
Fold 104,[],0
Fold 105,"['p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",5
Fold 106,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 107,[],0
Fold 108,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 109,[],0
Fold 110,[],0
Fold 111,"['p38', 'STAT3', 'IkB', 'Frequency']",4
Fold 112,[],0
Fold 113,[],0
Fold 114,[],0
Fold 115,"['STAT3', 'Frequency']",2
Fold 116,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'Frequency']",6
