,Fold selected features,Fold nb of features
Fold 0,"['p38', 'Frequency']",2
Fold 1,[],0
Fold 2,[],0
Fold 3,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 4,"['STAT3', 'Frequency']",2
Fold 5,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 6,[],0
Fold 7,['STAT3'],1
Fold 8,[],0
Fold 9,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 10,[],0
Fold 11,[],0
Fold 12,"['p38', 'STAT3', 'Frequency']",3
Fold 13,"['p38', 'STAT3', 'Frequency']",3
Fold 14,[],0
Fold 15,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 16,[],0
Fold 17,[],0
Fold 18,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 19,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 20,"['p38', 'STAT3', 'Frequency']",3
Fold 21,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 22,[],0
Fold 23,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 24,[],0
Fold 25,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 26,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 27,[],0
Fold 28,['STAT3'],1
Fold 29,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 30,[],0
Fold 31,"['p38', 'STAT3', 'Frequency']",3
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,"['STAT3', 'Frequency']",2
Fold 36,[],0
Fold 37,[],0
Fold 38,"['p38', 'Frequency']",2
Fold 39,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 40,[],0
Fold 41,[],0
Fold 42,"['p38', 'Frequency']",2
Fold 43,[],0
Fold 44,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 45,[],0
Fold 46,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 47,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 48,[],0
Fold 49,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 50,[],0
Fold 51,"['p38', 'STAT3', 'Frequency']",3
Fold 52,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 53,[],0
Fold 54,[],0
Fold 55,"['p38', 'STAT3', 'Frequency']",3
Fold 56,['STAT3'],1
Fold 57,[],0
Fold 58,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 59,"['STAT3', 'Frequency']",2
Fold 60,"['p38', 'Frequency']",2
Fold 61,[],0
Fold 62,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 63,"['STAT3', 'Frequency']",2
Fold 64,[],0
Fold 65,[],0
Fold 66,[],0
Fold 67,"['p38', 'STAT3', 'Frequency']",3
Fold 68,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 69,[],0
Fold 70,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 71,"['p38', 'STAT3', 'Frequency']",3
Fold 72,[],0
Fold 73,[],0
Fold 74,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 75,['STAT3'],1
Fold 76,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 77,[],0
Fold 78,[],0
Fold 79,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 80,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 81,[],0
Fold 82,[],0
Fold 83,"['p38', 'STAT3', 'Frequency']",3
Fold 84,"['p38', 'Frequency']",2
Fold 85,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 86,"['p38', 'STAT3', 'Frequency']",3
Fold 87,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 88,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 89,[],0
Fold 90,[],0
Fold 91,"['STAT3', 'Frequency']",2
Fold 92,[],0
Fold 93,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 94,[],0
Fold 95,[],0
Fold 96,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 97,[],0
Fold 98,[],0
Fold 99,['STAT3'],1
Fold 100,['STAT3'],1
Fold 101,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 102,[],0
Fold 103,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 104,[],0
Fold 105,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 106,"['p38', 'STAT3', 'Frequency']",3
Fold 107,[],0
Fold 108,[],0
Fold 109,[],0
Fold 110,[],0
Fold 111,"['p38', 'STAT3', 'Frequency']",3
Fold 112,[],0
Fold 113,[],0
Fold 114,[],0
Fold 115,"['STAT3', 'Frequency']",2
Fold 116,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 117,"['p38', 'Frequency']",2
Fold 118,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 119,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 120,[],0
Fold 121,[],0
Fold 122,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 123,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 124,"['p38', 'STAT3', 'Frequency']",3
Fold 125,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 126,['STAT3'],1
Fold 127,[],0
Fold 128,[],0
Fold 129,[],0
Fold 130,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 131,[],0
Fold 132,"['p38', 'Frequency']",2
Fold 133,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 134,[],0
Fold 135,[],0
Fold 136,[],0
Fold 137,"['p38', 'STAT3', 'Frequency']",3
Fold 138,"['STAT3', 'Frequency']",2
Fold 139,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 140,[],0
Fold 141,[],0
Fold 142,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 143,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 144,['STAT3'],1
Fold 145,[],0
Fold 146,[],0
Fold 147,[],0
Fold 148,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 149,"['STAT3', 'Frequency']",2
Fold 150,[],0
Fold 151,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 152,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 153,"['p38', 'STAT3', 'Frequency']",3
Fold 154,"['p38', 'STAT3', 'Frequency']",3
Fold 155,"['p38', 'Frequency']",2
Fold 156,[],0
Fold 157,[],0
Fold 158,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 159,[],0
Fold 160,[],0
Fold 161,[],0
Fold 162,[],0
Fold 163,[],0
Fold 164,"['p38', 'Frequency']",2
Fold 165,"['p38', 'STAT3', 'Frequency']",3
Fold 166,[],0
Fold 167,"['STAT3', 'Frequency']",2
Fold 168,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 169,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 170,[],0
Fold 171,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 172,"['p38', 'STAT3', 'Frequency']",3
Fold 173,[],0
Fold 174,['STAT3'],1
Fold 175,[],0
Fold 176,[],0
Fold 177,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 178,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 179,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 180,[],0
Fold 181,"['p38', 'STAT3', 'Frequency']",3
Fold 182,"['CREB', 'p38', 'STAT3', 'Frequency']",4
Fold 183,[],0
Fold 184,[],0
Fold 185,"['STAT5', 'p38', 'MAPKAPK2', 'STAT3', 'IkB', 'Frequency']",6
Fold 186,"['STAT5', 'STAT3', 'IkB', 'Frequency']",4
Fold 187,[],0
Fold 188,[],0
Fold 189,['STAT3'],1
Fold 190,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 191,[],0
Fold 192,"['STAT3', 'Frequency']",2
Fold 193,"['CREB', 'p38', 'STAT3', 'IkB', 'Frequency']",5
Fold 194,"['p38', 'Frequency']",2
Fold 195,[],0
Fold 196,"['CREB', 'STAT5', 'p38', 'STAT3', 'Frequency']",5
Fold 197,[],0
Fold 198,"['p38', 'STAT3', 'Frequency']",3
Fold 199,[],0
