,Fold selected features,Fold nb of features
Fold 0,['CREB'],1
Fold 1,"['CREB', 'STAT3']",2
Fold 2,"['CREB', 'STAT3']",2
Fold 3,"['STAT3', 'NFkB']",2
Fold 4,"['CREB', 'STAT3']",2
Fold 5,['NFkB'],1
Fold 6,"['CREB', 'STAT3']",2
Fold 7,"['CREB', 'STAT3']",2
Fold 8,"['CREB', 'STAT3']",2
Fold 9,"['STAT3', 'NFkB']",2
Fold 10,"['STAT3', 'NFkB']",2
Fold 11,"['CREB', 'STAT3']",2
Fold 12,"['CREB', 'STAT3']",2
Fold 13,"['CREB', 'STAT3']",2
Fold 14,"['CREB', 'STAT3']",2
Fold 15,"['STAT3', 'NFkB']",2
Fold 16,"['CREB', 'STAT3', 'NFkB']",3
Fold 17,"['CREB', 'STAT3']",2
Fold 18,"['CREB', 'STAT3']",2
Fold 19,['NFkB'],1
Fold 20,"['CREB', 'STAT3']",2
Fold 21,"['STAT3', 'NFkB']",2
Fold 22,"['CREB', 'STAT3']",2
Fold 23,"['STAT3', 'NFkB']",2
Fold 24,"['CREB', 'STAT3']",2
Fold 25,"['STAT3', 'NFkB']",2
Fold 26,"['CREB', 'STAT3']",2
Fold 27,"['CREB', 'STAT3', 'NFkB']",3
Fold 28,"['CREB', 'STAT3']",2
Fold 29,['NFkB'],1
Fold 30,"['CREB', 'STAT3']",2
Fold 31,"['CREB', 'STAT3']",2
Fold 32,"['STAT3', 'NFkB']",2
Fold 33,"['CREB', 'STAT3']",2
Fold 34,"['CREB', 'STAT3']",2
Fold 35,"['CREB', 'STAT3']",2
Fold 36,"['CREB', 'STAT3']",2
Fold 37,"['CREB', 'STAT3']",2
Fold 38,['CREB'],1
Fold 39,"['STAT3', 'NFkB']",2
Fold 40,"['CREB', 'STAT3']",2
Fold 41,"['CREB', 'STAT3', 'NFkB']",3
Fold 42,['CREB'],1
Fold 43,"['CREB', 'STAT3']",2
Fold 44,"['STAT3', 'NFkB']",2
Fold 45,"['CREB', 'STAT3']",2
Fold 46,"['STAT3', 'NFkB']",2
Fold 47,"['STAT3', 'NFkB']",2
Fold 48,"['CREB', 'STAT3']",2
Fold 49,"['CREB', 'STAT3']",2
Fold 50,"['CREB', 'STAT3']",2
Fold 51,"['CREB', 'STAT3']",2
Fold 52,"['STAT3', 'NFkB']",2
Fold 53,"['STAT3', 'NFkB']",2
Fold 54,"['CREB', 'STAT3']",2
Fold 55,"['CREB', 'STAT3']",2
Fold 56,"['CREB', 'STAT3']",2
Fold 57,"['CREB', 'STAT3']",2
Fold 58,['NFkB'],1
Fold 59,"['CREB', 'STAT3']",2
Fold 60,['CREB'],1
Fold 61,"['CREB', 'STAT3']",2
Fold 62,['NFkB'],1
Fold 63,"['CREB', 'STAT3']",2
Fold 64,"['CREB', 'STAT3']",2
Fold 65,"['CREB', 'STAT3']",2
Fold 66,"['CREB', 'STAT3']",2
Fold 67,"['CREB', 'STAT3']",2
Fold 68,"['STAT3', 'NFkB']",2
Fold 69,"['CREB', 'STAT3']",2
Fold 70,"['STAT3', 'NFkB']",2
Fold 71,"['CREB', 'STAT3']",2
Fold 72,"['CREB', 'STAT3']",2
Fold 73,"['CREB', 'STAT3', 'NFkB']",3
Fold 74,"['STAT3', 'NFkB']",2
Fold 75,"['CREB', 'STAT3']",2
