,Spearman corr,pvalue
NFkB,-0.5376081811049543,0.014495538334615365
p38,-0.316227766016838,0.17436348839887034
STAT3,-0.2605250528594531,0.2672668768273517
ERK,0.20810639268578882,0.3786152471949078
Frequency,0.1907641932953064,0.42045602297364715
S6,-0.17342199390482396,0.4646587776970642
IkB,-0.1560797945143416,0.5111092083782216
MAPKAPK2,-0.1560797945143416,0.5111092083782216
STAT6,0.1387375951238592,0.5596674186533706
CREB,-0.1387375951238592,0.5596674186533706
STAT5,0.0173421993904824,0.9421499835467455
STAT1,,
