,Spearman corr,pvalue
NFkB,-0.43355498476205995,0.056166935591136946
CREB,-0.2774751902477184,0.2362383786543498
p38,-0.2356659957194961,0.31718986141345995
IkB,-0.22544859207627121,0.3392245168854384
STAT6,-0.17342199390482396,0.4646587776970642
MAPKAPK2,0.17342199390482396,0.4646587776970642
STAT3,0.16363636363636364,0.4906012928967295
S6,0.08671099695241198,0.7162313833164182
STAT5,0.052026598171447204,0.827557337051562
ERK,-0.0346843987809648,0.8845776882078991
Frequency,0.0346843987809648,0.8845776882078991
STAT1,,
