,Spearman corr,pvalue
S6,0.5376081811049543,0.014495538334615365
Frequency,-0.2948173896382008,0.20700547241122197
STAT3,0.260132990857236,0.268013467258769
p38,0.22941573387056172,0.3305649312781844
IkB,0.22544859207627121,0.3392245168854384
MAPKAPK2,-0.1560797945143416,0.5111092083782216
STAT5,-0.1387375951238592,0.5596674186533706
CREB,0.10405319634289441,0.6624265026477676
ERK,-0.052026598171447204,0.827557337051562
STAT6,0.0346843987809648,0.8845776882078991
NFkB,0.0173421993904824,0.9421499835467455
STAT1,,
