,Fold selected features,Fold nb of features
Fold 0,"['p38', 'IkB', 'Frequency']",3
Fold 1,"['p38', 'Frequency']",2
Fold 2,"['p38', 'IkB', 'Frequency']",3
Fold 3,"['STAT5', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 4,['Frequency'],1
Fold 5,"['p38', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 6,"['p38', 'IkB', 'Frequency']",3
Fold 7,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 8,"['p38', 'IkB', 'Frequency']",3
Fold 9,"['p38', 'IkB', 'NFkB', 'Frequency']",4
Fold 10,"['STAT5', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 11,"['p38', 'IkB', 'Frequency']",3
Fold 12,"['p38', 'IkB', 'NFkB', 'Frequency']",4
Fold 13,"['p38', 'Frequency']",2
Fold 14,"['p38', 'IkB', 'Frequency']",3
Fold 15,"['STAT5', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 16,"['STAT5', 'p38', 'IkB', 'Frequency']",4
Fold 17,"['p38', 'Frequency']",2
Fold 18,"['p38', 'IkB', 'Frequency']",3
Fold 19,"['STAT5', 'p38', 'IkB', 'Frequency']",4
Fold 20,"['p38', 'Frequency']",2
Fold 21,"['p38', 'IkB', 'NFkB', 'Frequency']",4
Fold 22,"['p38', 'IkB', 'Frequency']",3
Fold 23,"['p38', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 24,"['p38', 'IkB', 'Frequency']",3
Fold 25,"['STAT5', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 26,"['p38', 'IkB', 'Frequency']",3
Fold 27,"['STAT5', 'p38', 'IkB', 'Frequency']",4
Fold 28,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",7
Fold 29,"['STAT5', 'p38', 'IkB', 'Frequency']",4
Fold 30,"['p38', 'IkB', 'Frequency']",3
Fold 31,"['p38', 'IkB', 'NFkB', 'Frequency']",4
Fold 32,"['STAT5', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 33,"['p38', 'Frequency']",2
Fold 34,"['p38', 'IkB', 'Frequency']",3
Fold 35,['Frequency'],1
Fold 36,"['p38', 'Frequency']",2
Fold 37,"['p38', 'IkB', 'Frequency']",3
Fold 38,"['p38', 'IkB', 'Frequency']",3
Fold 39,"['STAT5', 'p38', 'IkB', 'NFkB', 'Frequency']",5
Fold 40,"['p38', 'Frequency']",2
