,Fold selected features,Fold nb of features
Fold 0,"['STAT5', 'Frequency']",2
Fold 1,"['STAT5', 'NFkB', 'Frequency']",3
Fold 2,"['STAT5', 'NFkB', 'Frequency']",3
Fold 3,"['STAT5', 'Frequency']",2
Fold 4,"['STAT5', 'Frequency']",2
Fold 5,"['STAT5', 'Frequency']",2
Fold 6,[],0
Fold 7,"['STAT5', 'Frequency']",2
Fold 8,"['STAT5', 'NFkB', 'Frequency']",3
Fold 9,"['STAT5', 'NFkB', 'Frequency']",3
Fold 10,['Frequency'],1
Fold 11,"['STAT5', 'Frequency']",2
Fold 12,['Frequency'],1
Fold 13,[],0
Fold 14,"['STAT5', 'Frequency']",2
Fold 15,[],0
Fold 16,"['STAT5', 'Frequency']",2
Fold 17,['Frequency'],1
Fold 18,"['STAT5', 'STAT3', 'NFkB', 'Frequency']",4
Fold 19,"['STAT5', 'Frequency']",2
Fold 20,[],0
Fold 21,"['STAT5', 'NFkB', 'Frequency']",3
Fold 22,"['STAT5', 'NFkB', 'Frequency']",3
Fold 23,"['STAT5', 'Frequency']",2
Fold 24,"['STAT5', 'Frequency']",2
Fold 25,[],0
Fold 26,"['STAT5', 'STAT3', 'NFkB', 'Frequency']",4
Fold 27,"['STAT5', 'Frequency']",2
Fold 28,"['STAT5', 'Frequency']",2
Fold 29,"['STAT5', 'Frequency']",2
Fold 30,"['STAT5', 'Frequency']",2
Fold 31,['Frequency'],1
Fold 32,['Frequency'],1
Fold 33,['Frequency'],1
Fold 34,"['STAT5', 'NFkB', 'Frequency']",3
Fold 35,"['STAT5', 'Frequency']",2
Fold 36,"['STAT5', 'NFkB', 'Frequency']",3
Fold 37,[],0
Fold 38,"['STAT5', 'Frequency']",2
Fold 39,"['STAT5', 'Frequency']",2
Fold 40,['Frequency'],1
Fold 41,"['STAT5', 'Frequency']",2
Fold 42,"['STAT5', 'Frequency']",2
Fold 43,"['STAT5', 'Frequency']",2
Fold 44,"['STAT5', 'Frequency']",2
Fold 45,"['STAT5', 'NFkB', 'Frequency']",3
Fold 46,"['STAT5', 'NFkB', 'Frequency']",3
Fold 47,[],0
Fold 48,"['STAT5', 'Frequency']",2
Fold 49,"['STAT5', 'STAT3', 'NFkB', 'Frequency']",4
Fold 50,"['STAT5', 'NFkB', 'Frequency']",3
Fold 51,['Frequency'],1
Fold 52,"['STAT5', 'Frequency']",2
Fold 53,['Frequency'],1
Fold 54,[],0
Fold 55,[],0
Fold 56,"['STAT5', 'Frequency']",2
Fold 57,"['STAT5', 'NFkB', 'Frequency']",3
Fold 58,"['STAT5', 'Frequency']",2
Fold 59,"['STAT5', 'Frequency']",2
Fold 60,"['STAT5', 'Frequency']",2
Fold 61,"['STAT5', 'NFkB', 'Frequency']",3
Fold 62,"['STAT5', 'Frequency']",2
Fold 63,"['STAT5', 'Frequency']",2
Fold 64,"['STAT5', 'NFkB', 'Frequency']",3
Fold 65,[],0
Fold 66,"['STAT5', 'Frequency']",2
Fold 67,['Frequency'],1
Fold 68,[],0
Fold 69,['Frequency'],1
Fold 70,"['STAT5', 'Frequency']",2
Fold 71,[],0
Fold 72,"['STAT5', 'NFkB', 'Frequency']",3
Fold 73,"['STAT5', 'Frequency']",2
Fold 74,"['STAT5', 'Frequency']",2
Fold 75,"['STAT5', 'Frequency']",2
Fold 76,"['STAT5', 'NFkB', 'Frequency']",3
Fold 77,['Frequency'],1
Fold 78,"['STAT5', 'Frequency']",2
Fold 79,"['STAT5', 'STAT3', 'NFkB', 'Frequency']",4
Fold 80,"['STAT5', 'Frequency']",2
Fold 81,"['STAT5', 'Frequency']",2
Fold 82,['Frequency'],1
Fold 83,[],0
Fold 84,"['STAT5', 'Frequency']",2
Fold 85,[],0
Fold 86,['Frequency'],1
Fold 87,"['STAT5', 'NFkB', 'Frequency']",3
Fold 88,"['STAT5', 'Frequency']",2
Fold 89,"['STAT5', 'Frequency']",2
Fold 90,"['STAT5', 'NFkB', 'Frequency']",3
Fold 91,"['STAT5', 'Frequency']",2
Fold 92,[],0
Fold 93,"['STAT5', 'Frequency']",2
Fold 94,"['STAT5', 'NFkB', 'Frequency']",3
Fold 95,"['STAT5', 'Frequency']",2
Fold 96,"['STAT5', 'STAT3', 'NFkB', 'Frequency']",4
Fold 97,"['STAT5', 'NFkB', 'Frequency']",3
Fold 98,['Frequency'],1
Fold 99,"['STAT5', 'Frequency']",2
Fold 100,"['STAT5', 'Frequency']",2
Fold 101,"['STAT5', 'Frequency']",2
Fold 102,"['STAT5', 'Frequency']",2
Fold 103,"['STAT5', 'Frequency']",2
Fold 104,"['STAT5', 'NFkB', 'Frequency']",3
Fold 105,"['STAT5', 'NFkB', 'Frequency']",3
Fold 106,['Frequency'],1
Fold 107,['Frequency'],1
Fold 108,['Frequency'],1
Fold 109,"['STAT5', 'Frequency']",2
Fold 110,"['STAT5', 'NFkB', 'Frequency']",3
Fold 111,[],0
Fold 112,[],0
Fold 113,"['STAT5', 'NFkB', 'Frequency']",3
