,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'Frequency']",2
Fold 1,"['CREB', 'p38', 'Frequency']",3
Fold 2,"['CREB', 'Frequency']",2
Fold 3,"['CREB', 'Frequency']",2
Fold 4,['Frequency'],1
Fold 5,"['CREB', 'p38', 'Frequency']",3
Fold 6,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 7,[],0
Fold 8,"['CREB', 'Frequency']",2
Fold 9,"['CREB', 'p38', 'Frequency']",3
Fold 10,"['CREB', 'Frequency']",2
Fold 11,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 12,"['CREB', 'IkB', 'Frequency']",3
Fold 13,"['p38', 'Frequency']",2
Fold 14,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 15,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 16,"['CREB', 'p38', 'Frequency']",3
Fold 17,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 18,"['CREB', 'Frequency']",2
Fold 19,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 20,"['p38', 'Frequency']",2
Fold 21,"['CREB', 'p38', 'Frequency']",3
Fold 22,"['CREB', 'Frequency']",2
Fold 23,"['CREB', 'p38', 'Frequency']",3
Fold 24,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 25,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 26,"['CREB', 'Frequency']",2
Fold 27,"['CREB', 'p38', 'Frequency']",3
Fold 28,[],0
Fold 29,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 30,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 31,"['CREB', 'IkB', 'Frequency']",3
Fold 32,"['CREB', 'Frequency']",2
Fold 33,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 34,"['CREB', 'Frequency']",2
Fold 35,['Frequency'],1
Fold 36,"['CREB', 'p38', 'Frequency']",3
Fold 37,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 38,"['CREB', 'Frequency']",2
Fold 39,"['CREB', 'Frequency']",2
Fold 40,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 41,"['CREB', 'p38', 'Frequency']",3
Fold 42,"['CREB', 'Frequency']",2
Fold 43,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 44,"['CREB', 'p38', 'Frequency']",3
Fold 45,"['CREB', 'Frequency']",2
Fold 46,"['CREB', 'p38', 'Frequency']",3
Fold 47,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 48,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 49,"['CREB', 'Frequency']",2
Fold 50,"['CREB', 'Frequency']",2
Fold 51,"['CREB', 'IkB', 'Frequency']",3
Fold 52,"['CREB', 'Frequency']",2
Fold 53,"['CREB', 'Frequency']",2
Fold 54,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 55,"['p38', 'Frequency']",2
Fold 56,[],0
Fold 57,"['CREB', 'p38', 'Frequency']",3
Fold 58,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 59,['Frequency'],1
Fold 60,"['CREB', 'Frequency']",2
Fold 61,"['CREB', 'Frequency']",2
Fold 62,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 63,['Frequency'],1
Fold 64,"['CREB', 'p38', 'Frequency']",3
Fold 65,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 66,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 67,"['CREB', 'IkB', 'Frequency']",3
Fold 68,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 69,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 70,"['CREB', 'p38', 'Frequency']",3
Fold 71,"['p38', 'Frequency']",2
Fold 72,"['CREB', 'Frequency']",2
Fold 73,"['CREB', 'p38', 'Frequency']",3
Fold 74,"['CREB', 'Frequency']",2
Fold 75,[],0
Fold 76,"['CREB', 'p38', 'Frequency']",3
Fold 77,"['CREB', 'Frequency']",2
Fold 78,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 79,"['CREB', 'Frequency']",2
Fold 80,"['CREB', 'p38', 'Frequency']",3
Fold 81,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 82,"['CREB', 'p38', 'MAPKAPK2', 'Frequency']",4
Fold 83,"['p38', 'Frequency']",2
Fold 84,"['CREB', 'Frequency']",2
Fold 85,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 86,"['CREB', 'IkB', 'Frequency']",3
Fold 87,"['CREB', 'p38', 'Frequency']",3
Fold 88,"['CREB', 'Frequency']",2
Fold 89,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 90,"['CREB', 'p38', 'Frequency']",3
Fold 91,['Frequency'],1
Fold 92,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 93,"['CREB', 'MAPKAPK2', 'Frequency']",3
Fold 94,"['CREB', 'Frequency']",2
Fold 95,"['CREB', 'p38', 'Frequency']",3
Fold 96,"['CREB', 'Frequency']",2
Fold 97,"['CREB', 'Frequency']",2
Fold 98,"['CREB', 'Frequency']",2
Fold 99,[],0
Fold 100,[],0
Fold 101,"['CREB', 'Frequency']",2
Fold 102,"['CREB', 'p38', 'NFkB', 'Frequency']",4
Fold 103,"['CREB', 'p38', 'Frequency']",3
Fold 104,"['CREB', 'Frequency']",2
Fold 105,"['CREB', 'p38', 'Frequency']",3
Fold 106,"['CREB', 'IkB', 'Frequency']",3
