,Spearman corr,pvalue
S6,0.43355498476205995,0.056166935591136946
STAT5,-0.2948173896382008,0.20700547241122197
MAPKAPK2,-0.260132990857236,0.268013467258769
CREB,0.0693687975619296,0.7713562200019073
ERK,-0.0693687975619296,0.7713562200019073
STAT3,-0.06485374764569113,0.7858947656359845
IkB,0.0346843987809648,0.8845776882078991
NFkB,-0.0346843987809648,0.8845776882078991
Frequency,-0.0346843987809648,0.8845776882078991
STAT6,0.0173421993904824,0.9421499835467455
p38,0.016643566632465155,0.9444769651455183
STAT1,,
