,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,['STAT5'],1
Fold 2,['STAT5'],1
Fold 3,"['STAT5', 'NFkB']",2
Fold 4,[],0
Fold 5,['STAT5'],1
Fold 6,[],0
Fold 7,['STAT5'],1
Fold 8,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 9,['STAT5'],1
Fold 10,[],0
Fold 11,['STAT5'],1
Fold 12,[],0
Fold 13,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 14,['STAT5'],1
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,['STAT5'],1
Fold 20,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 21,['STAT5'],1
Fold 22,['STAT5'],1
Fold 23,['STAT5'],1
Fold 24,['STAT5'],1
Fold 25,[],0
Fold 26,[],0
Fold 27,[],0
Fold 28,['STAT5'],1
Fold 29,['STAT5'],1
Fold 30,['STAT5'],1
Fold 31,[],0
Fold 32,[],0
Fold 33,[],0
Fold 34,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 35,[],0
Fold 36,['STAT5'],1
Fold 37,[],0
Fold 38,[],0
Fold 39,"['STAT5', 'NFkB']",2
Fold 40,[],0
Fold 41,[],0
Fold 42,[],0
Fold 43,['STAT5'],1
Fold 44,['STAT5'],1
Fold 45,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 46,['STAT5'],1
Fold 47,[],0
Fold 48,['STAT5'],1
Fold 49,[],0
Fold 50,['STAT5'],1
Fold 51,[],0
Fold 52,"['STAT5', 'NFkB']",2
Fold 53,[],0
Fold 54,[],0
Fold 55,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 56,['STAT5'],1
Fold 57,['STAT5'],1
Fold 58,['STAT5'],1
Fold 59,[],0
Fold 60,[],0
Fold 61,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 62,['STAT5'],1
Fold 63,[],0
Fold 64,['STAT5'],1
Fold 65,[],0
Fold 66,['STAT5'],1
Fold 67,[],0
Fold 68,[],0
Fold 69,[],0
Fold 70,['STAT5'],1
Fold 71,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 72,['STAT5'],1
Fold 73,[],0
Fold 74,"['STAT5', 'NFkB']",2
Fold 75,['STAT5'],1
Fold 76,['STAT5'],1
Fold 77,[],0
Fold 78,['STAT5'],1
Fold 79,[],0
Fold 80,['STAT5'],1
Fold 81,['STAT5'],1
Fold 82,[],0
Fold 83,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 84,[],0
Fold 85,[],0
Fold 86,[],0
Fold 87,['STAT5'],1
Fold 88,"['STAT5', 'NFkB']",2
Fold 89,['STAT5'],1
Fold 90,['STAT5'],1
Fold 91,[],0
Fold 92,[],0
Fold 93,['STAT5'],1
Fold 94,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 95,[],0
Fold 96,[],0
Fold 97,['STAT5'],1
Fold 98,[],0
Fold 99,['STAT5'],1
Fold 100,['STAT5'],1
Fold 101,"['STAT5', 'NFkB']",2
Fold 102,['STAT5'],1
Fold 103,['STAT5'],1
Fold 104,['STAT5'],1
Fold 105,['STAT5'],1
Fold 106,[],0
Fold 107,[],0
Fold 108,[],0
Fold 109,['STAT5'],1
Fold 110,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 111,"['CREB', 'STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'MAPKAPK2', 'Frequency']",8
Fold 112,[],0
Fold 113,['STAT5'],1
Fold 114,[],0
Fold 115,[],0
Fold 116,['STAT5'],1
Fold 117,[],0
Fold 118,[],0
Fold 119,[],0
Fold 120,[],0
Fold 121,[],0
Fold 122,[],0
