,Spearman corr,pvalue
S6,0.5376081811049543,0.014495538334615365
STAT3,-0.41844626448875305,0.06633396611103688
STAT5,-0.36418618720013046,0.1144293688420575
STAT6,0.2948173896382008,0.20700547241122197
MAPKAPK2,-0.1387375951238592,0.5596674186533706
CREB,-0.10405319634289441,0.6624265026477676
Frequency,0.0693687975619296,0.7713562200019073
NFkB,-0.052026598171447204,0.827557337051562
IkB,-0.0173421993904824,0.9421499835467455
ERK,-0.0173421993904824,0.9421499835467455
p38,0.016643566632465155,0.9444769651455183
STAT1,,
