,Spearman corr,pvalue
S6,0.6592514623377274,0.0015681224365978685
CREB,0.6069769786668839,0.004540706093944385
MAPKAPK2,0.43355498476205995,0.056166935591136946
IkB,0.43355498476205995,0.056166935591136946
ERK,-0.3815283865906128,0.09694244809397427
STAT1,-0.3328713326493031,0.15155241782202525
STAT6,-0.3121595890286832,0.18027688594970007
STAT5,-0.2948173896382008,0.20700547241122197
STAT3,0.2427907914667536,0.3023454554274212
p38,0.2303502213799586,0.3285443092231325
NFkB,0.1907641932953064,0.42045602297364715
Frequency,0.17342199390482396,0.4646587776970642
