,Fold selected features,Fold nb of features
Fold 0,"['STAT5', 'p38', 'STAT3', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 1,"['p38', 'STAT6']",2
Fold 2,[],0
Fold 3,"['p38', 'STAT6']",2
Fold 4,"['STAT6', 'Frequency']",2
Fold 5,[],0
Fold 6,[],0
Fold 7,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 8,['p38'],1
Fold 9,[],0
Fold 10,[],0
Fold 11,[],0
Fold 12,[],0
Fold 13,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 14,"['p38', 'STAT3', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",6
Fold 15,"['p38', 'STAT6']",2
Fold 16,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 17,[],0
Fold 18,[],0
Fold 19,[],0
Fold 20,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 21,[],0
Fold 22,[],0
Fold 23,[],0
Fold 24,"['p38', 'STAT3', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",6
Fold 25,"['p38', 'STAT6']",2
Fold 26,[],0
Fold 27,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 28,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 29,[],0
Fold 30,[],0
Fold 31,[],0
Fold 32,[],0
Fold 33,[],0
Fold 34,['p38'],1
Fold 35,"['STAT6', 'Frequency']",2
Fold 36,"['p38', 'STAT6']",2
Fold 37,[],0
Fold 38,"['STAT5', 'p38', 'STAT3', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 39,"['p38', 'STAT6']",2
Fold 40,[],0
Fold 41,"['STAT5', 'p38', 'STAT3', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",9
Fold 42,"['STAT5', 'p38', 'STAT3', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2', 'Frequency']",8
Fold 43,[],0
Fold 44,[],0
Fold 45,['p38'],1
Fold 46,[],0
Fold 47,"['p38', 'STAT6']",2
