,Spearman corr,pvalue
S6,0.41621278537157763,0.06794714904706994
Frequency,0.3988705859810952,0.08149251949014447
STAT5,-0.3121595890286832,0.18027688594970007
STAT3,-0.26424909878161656,0.2602405042441105
IkB,-0.20810639268578882,0.3786152471949078
ERK,-0.1387375951238592,0.5596674186533706
NFkB,-0.1387375951238592,0.5596674186533706
CREB,-0.10405319634289441,0.6624265026477676
STAT6,0.0693687975619296,0.7713562200019073
MAPKAPK2,0.0693687975619296,0.7713562200019073
p38,0.016643566632465155,0.9444769651455183
STAT1,,
