,Fold selected features,Fold nb of features
Fold 0,['Frequency'],1
Fold 1,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 2,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 3,['Frequency'],1
Fold 4,"['STAT6', 'NFkB', 'CREB', 'Frequency']",4
Fold 5,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 6,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 7,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'Frequency']",5
Fold 8,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'Frequency']",6
Fold 9,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 10,['Frequency'],1
Fold 11,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'Frequency']",6
Fold 12,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 13,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 14,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 15,['Frequency'],1
Fold 16,"['NFkB', 'p38', 'Frequency']",3
Fold 17,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 18,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'Frequency']",5
Fold 19,['Frequency'],1
Fold 20,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 21,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 22,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 23,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 24,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 25,['Frequency'],1
Fold 26,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'Frequency']",5
Fold 27,"['NFkB', 'p38', 'Frequency']",3
Fold 28,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'Frequency']",5
Fold 29,['Frequency'],1
Fold 30,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'Frequency']",6
Fold 31,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 32,['Frequency'],1
Fold 33,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 34,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'Frequency']",6
Fold 35,"['STAT6', 'NFkB', 'CREB', 'Frequency']",4
Fold 36,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 37,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 38,['Frequency'],1
Fold 39,['Frequency'],1
Fold 40,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 41,"['NFkB', 'p38', 'Frequency']",3
Fold 42,['Frequency'],1
Fold 43,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'Frequency']",6
Fold 44,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 45,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'Frequency']",6
Fold 46,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 47,['Frequency'],1
Fold 48,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 49,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'Frequency']",5
Fold 50,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 51,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 52,['Frequency'],1
Fold 53,['Frequency'],1
Fold 54,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'CREB', 'Frequency']",6
Fold 55,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 56,"['STAT6', 'MAPKAPK2', 'NFkB', 'p38', 'Frequency']",5
Fold 57,"['STAT6', 'MAPKAPK2', 'IkB', 'NFkB', 'p38', 'CREB', 'Frequency']",7
Fold 58,['Frequency'],1
Fold 59,"['STAT6', 'NFkB', 'CREB', 'Frequency']",4
Fold 60,['Frequency'],1
