,Fold selected features,Fold nb of features
Fold 0,"['STAT3', 'S6', 'Frequency']",3
Fold 1,"['STAT3', 'S6', 'Frequency']",3
Fold 2,"['STAT3', 'S6', 'Frequency']",3
Fold 3,"['STAT3', 'S6', 'Frequency']",3
Fold 4,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 5,"['STAT3', 'S6', 'Frequency']",3
Fold 6,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 7,"['STAT3', 'S6', 'Frequency']",3
Fold 8,"['STAT3', 'S6', 'Frequency']",3
Fold 9,"['STAT3', 'S6', 'Frequency']",3
Fold 10,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 11,"['STAT3', 'S6', 'Frequency']",3
Fold 12,"['STAT3', 'S6', 'Frequency']",3
Fold 13,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 14,"['STAT3', 'S6', 'Frequency']",3
Fold 15,"['STAT3', 'S6', 'Frequency']",3
Fold 16,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 17,"['STAT3', 'S6', 'Frequency']",3
Fold 18,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 19,"['STAT3', 'S6', 'Frequency']",3
Fold 20,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 21,"['STAT3', 'S6', 'Frequency']",3
Fold 22,"['STAT3', 'S6', 'Frequency']",3
Fold 23,"['STAT3', 'S6', 'Frequency']",3
Fold 24,"['STAT3', 'S6', 'Frequency']",3
Fold 25,"['STAT3', 'S6', 'Frequency']",3
Fold 26,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 27,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 28,"['STAT3', 'S6', 'Frequency']",3
Fold 29,"['STAT3', 'S6', 'Frequency']",3
Fold 30,"['STAT3', 'S6', 'Frequency']",3
Fold 31,"['STAT3', 'S6', 'Frequency']",3
Fold 32,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 33,"['STAT3', 'S6', 'Frequency']",3
Fold 34,"['STAT3', 'S6', 'Frequency']",3
Fold 35,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 36,"['STAT3', 'S6', 'Frequency']",3
Fold 37,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 38,"['STAT3', 'S6', 'Frequency']",3
Fold 39,"['STAT3', 'S6', 'Frequency']",3
Fold 40,"['STAT3', 'S6', 'Frequency']",3
Fold 41,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 42,"['STAT3', 'S6', 'Frequency']",3
Fold 43,"['STAT3', 'S6', 'Frequency']",3
Fold 44,"['STAT3', 'S6', 'Frequency']",3
Fold 45,"['STAT3', 'S6', 'Frequency']",3
Fold 46,"['STAT3', 'S6', 'Frequency']",3
Fold 47,"['STAT3', 'S6', 'Frequency']",3
Fold 48,"['STAT3', 'S6', 'Frequency']",3
Fold 49,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 50,"['STAT3', 'S6', 'Frequency']",3
Fold 51,"['STAT3', 'S6', 'Frequency']",3
Fold 52,"['STAT3', 'S6', 'Frequency']",3
Fold 53,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 54,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 55,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 56,"['STAT3', 'S6', 'Frequency']",3
Fold 57,"['STAT3', 'S6', 'Frequency']",3
Fold 58,"['STAT3', 'S6', 'Frequency']",3
Fold 59,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 60,"['STAT3', 'S6', 'Frequency']",3
Fold 61,"['STAT3', 'S6', 'Frequency']",3
Fold 62,"['STAT3', 'S6', 'Frequency']",3
Fold 63,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 64,"['STAT3', 'S6', 'Frequency']",3
Fold 65,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 66,"['STAT3', 'S6', 'Frequency']",3
Fold 67,"['STAT3', 'S6', 'Frequency']",3
Fold 68,"['STAT3', 'S6', 'Frequency']",3
Fold 69,"['STAT3', 'S6', 'Frequency']",3
Fold 70,"['STAT3', 'S6', 'Frequency']",3
Fold 71,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 72,"['STAT3', 'S6', 'Frequency']",3
Fold 73,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 74,"['STAT3', 'S6', 'Frequency']",3
Fold 75,"['STAT3', 'S6', 'Frequency']",3
Fold 76,"['STAT3', 'S6', 'Frequency']",3
Fold 77,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 78,"['STAT3', 'S6', 'Frequency']",3
Fold 79,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 80,"['STAT3', 'S6', 'Frequency']",3
Fold 81,"['STAT3', 'S6', 'Frequency']",3
Fold 82,"['STAT3', 'S6', 'Frequency']",3
Fold 83,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 84,"['STAT3', 'S6', 'Frequency']",3
Fold 85,"['STAT3', 'S6', 'Frequency']",3
Fold 86,"['STAT3', 'S6', 'Frequency']",3
Fold 87,"['STAT3', 'S6', 'Frequency']",3
Fold 88,"['STAT3', 'S6', 'Frequency']",3
Fold 89,"['STAT3', 'S6', 'Frequency']",3
Fold 90,"['STAT3', 'S6', 'Frequency']",3
Fold 91,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 92,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 93,"['STAT3', 'S6', 'Frequency']",3
Fold 94,"['STAT3', 'S6', 'Frequency']",3
Fold 95,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 96,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 97,"['STAT3', 'S6', 'Frequency']",3
Fold 98,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 99,"['STAT3', 'S6', 'Frequency']",3
Fold 100,"['STAT3', 'S6', 'Frequency']",3
Fold 101,"['STAT3', 'S6', 'Frequency']",3
Fold 102,"['STAT3', 'S6', 'Frequency']",3
Fold 103,"['STAT3', 'S6', 'Frequency']",3
Fold 104,"['STAT3', 'S6', 'Frequency']",3
Fold 105,"['STAT3', 'S6', 'Frequency']",3
Fold 106,"['STAT3', 'S6', 'Frequency']",3
Fold 107,"['STAT3', 'S6', 'Frequency']",3
Fold 108,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 109,"['STAT3', 'S6', 'Frequency']",3
Fold 110,"['STAT3', 'S6', 'Frequency']",3
Fold 111,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 112,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 113,"['STAT3', 'S6', 'Frequency']",3
Fold 114,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 115,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 116,"['STAT3', 'S6', 'Frequency']",3
Fold 117,"['STAT3', 'S6', 'Frequency']",3
Fold 118,"['STAT3', 'S6', 'Frequency']",3
Fold 119,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 120,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 121,"['STAT3', 'S6', 'Frequency']",3
Fold 122,"['STAT3', 'S6', 'Frequency']",3
Fold 123,"['STAT3', 'S6', 'Frequency']",3
Fold 124,"['STAT3', 'S6', 'Frequency']",3
Fold 125,"['STAT3', 'S6', 'Frequency']",3
Fold 126,"['STAT3', 'S6', 'Frequency']",3
Fold 127,"['STAT3', 'S6', 'Frequency']",3
Fold 128,"['STAT3', 'S6', 'Frequency']",3
Fold 129,"['STAT3', 'S6', 'Frequency']",3
Fold 130,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 131,"['STAT3', 'S6', 'Frequency']",3
Fold 132,"['STAT3', 'S6', 'Frequency']",3
Fold 133,"['STAT3', 'S6', 'Frequency']",3
Fold 134,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 135,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 136,"['STAT3', 'S6', 'Frequency']",3
Fold 137,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 138,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 139,"['STAT3', 'S6', 'Frequency']",3
Fold 140,"['STAT3', 'S6', 'Frequency']",3
Fold 141,"['STAT3', 'S6', 'Frequency']",3
Fold 142,"['STAT3', 'S6', 'Frequency']",3
Fold 143,"['STAT3', 'S6', 'Frequency']",3
Fold 144,"['STAT3', 'S6', 'Frequency']",3
Fold 145,"['STAT3', 'S6', 'Frequency']",3
Fold 146,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 147,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 148,"['STAT3', 'S6', 'Frequency']",3
Fold 149,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 150,"['STAT3', 'S6', 'Frequency']",3
Fold 151,"['STAT3', 'S6', 'Frequency']",3
Fold 152,"['STAT3', 'S6', 'Frequency']",3
Fold 153,"['STAT3', 'S6', 'Frequency']",3
Fold 154,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 155,"['STAT3', 'S6', 'Frequency']",3
Fold 156,"['STAT3', 'S6', 'Frequency']",3
Fold 157,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 158,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 159,"['STAT3', 'S6', 'Frequency']",3
Fold 160,"['STAT3', 'S6', 'Frequency']",3
Fold 161,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 162,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 163,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 164,"['STAT3', 'S6', 'Frequency']",3
Fold 165,"['STAT3', 'S6', 'Frequency']",3
Fold 166,"['STAT3', 'S6', 'Frequency']",3
Fold 167,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 168,"['STAT3', 'S6', 'Frequency']",3
Fold 169,"['STAT3', 'S6', 'Frequency']",3
Fold 170,"['STAT3', 'S6', 'Frequency']",3
Fold 171,"['STAT3', 'S6', 'Frequency']",3
Fold 172,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 173,"['STAT3', 'S6', 'Frequency']",3
Fold 174,"['STAT3', 'S6', 'Frequency']",3
Fold 175,"['STAT3', 'S6', 'Frequency']",3
Fold 176,"['STAT3', 'S6', 'Frequency']",3
Fold 177,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 178,"['STAT3', 'S6', 'Frequency']",3
Fold 179,"['STAT3', 'S6', 'Frequency']",3
Fold 180,"['STAT3', 'S6', 'Frequency']",3
Fold 181,"['STAT3', 'S6', 'Frequency']",3
Fold 182,"['STAT3', 'S6', 'Frequency']",3
Fold 183,"['STAT3', 'S6', 'Frequency']",3
Fold 184,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 185,"['STAT3', 'S6', 'Frequency']",3
Fold 186,"['STAT3', 'S6', 'Frequency']",3
Fold 187,"['STAT3', 'S6', 'Frequency']",3
Fold 188,"['STAT3', 'S6', 'Frequency']",3
Fold 189,"['STAT3', 'S6', 'Frequency']",3
Fold 190,"['STAT3', 'S6', 'Frequency']",3
Fold 191,"['STAT3', 'S6', 'Frequency']",3
Fold 192,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 193,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 194,"['STAT3', 'S6', 'Frequency']",3
Fold 195,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 196,"['STAT3', 'S6', 'Frequency']",3
Fold 197,"['STAT3', 'S6', 'Frequency']",3
Fold 198,"['CREB', 'STAT3', 'S6', 'Frequency']",4
Fold 199,"['CREB', 'STAT3', 'S6', 'Frequency']",4
