,Fold selected features,Fold nb of features
Fold 0,"['S6', 'IkB']",2
Fold 1,[],0
Fold 2,[],0
Fold 3,"['S6', 'STAT3', 'IkB', 'Frequency']",4
Fold 4,"['S6', 'IkB']",2
Fold 5,"['S6', 'STAT3', 'Frequency']",3
Fold 6,[],0
Fold 7,"['S6', 'Frequency']",2
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,"['S6', 'IkB', 'Frequency']",3
Fold 12,['IkB'],1
Fold 13,[],0
Fold 14,"['S6', 'Frequency']",2
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,['S6'],1
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,"['S6', 'STAT3', 'Frequency']",3
Fold 24,"['S6', 'Frequency']",2
Fold 25,[],0
Fold 26,[],0
Fold 27,[],0
Fold 28,"['S6', 'Frequency']",2
Fold 29,['S6'],1
Fold 30,"['S6', 'IkB', 'Frequency']",3
Fold 31,['IkB'],1
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,"['S6', 'IkB']",2
Fold 36,[],0
Fold 37,[],0
Fold 38,"['S6', 'IkB']",2
Fold 39,"['S6', 'STAT3', 'IkB', 'Frequency']",4
Fold 40,[],0
Fold 41,[],0
Fold 42,"['S6', 'IkB']",2
Fold 43,"['S6', 'IkB', 'Frequency']",3
Fold 44,"['S6', 'STAT3', 'Frequency']",3
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,"['S6', 'Frequency']",2
Fold 49,[],0
Fold 50,[],0
Fold 51,['IkB'],1
Fold 52,"['S6', 'STAT3', 'IkB', 'Frequency']",4
Fold 53,[],0
Fold 54,[],0
Fold 55,[],0
Fold 56,"['S6', 'Frequency']",2
Fold 57,[],0
Fold 58,['S6'],1
Fold 59,"['S6', 'IkB']",2
Fold 60,"['S6', 'IkB']",2
Fold 61,[],0
Fold 62,['S6'],1
Fold 63,"['S6', 'IkB']",2
Fold 64,[],0
Fold 65,[],0
Fold 66,"['S6', 'Frequency']",2
Fold 67,['IkB'],1
Fold 68,[],0
Fold 69,[],0
Fold 70,"['S6', 'STAT3', 'Frequency']",3
Fold 71,[],0
Fold 72,[],0
Fold 73,[],0
Fold 74,"['S6', 'STAT3', 'IkB', 'Frequency']",4
Fold 75,"['S6', 'Frequency']",2
Fold 76,[],0
Fold 77,[],0
Fold 78,"['S6', 'IkB', 'Frequency']",3
Fold 79,[],0
