,Spearman corr,pvalue
ERK,-0.6271032028034078,0.0030827612600053695
S6,0.5896347792764016,0.006215713648387514
STAT5,-0.4855815829335072,0.02997228625973506
MAPKAPK2,-0.45089718415254243,0.04600809554004641
STAT6,-0.41844626448875305,0.06633396611103688
NFkB,-0.3815283865906128,0.09694244809397427
p38,-0.3404274529504214,0.14191532126671183
Frequency,-0.3295017884191656,0.1559933352870714
CREB,-0.2948173896382008,0.20700547241122197
STAT3,-0.17342199390482396,0.4646587776970642
IkB,-0.10405319634289441,0.6624265026477676
STAT1,,
