,Fold selected features,Fold nb of features
Fold 0,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 1,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 2,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 3,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 4,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 5,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 6,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 7,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 8,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 9,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 10,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 11,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 12,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 13,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 14,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 15,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 16,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 17,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 18,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 19,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 20,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 21,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 22,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 23,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 24,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 25,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 26,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 27,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 28,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 29,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 30,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 31,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 32,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 33,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 34,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
