,Fold selected features,Fold nb of features
Fold 0,['MAPKAPK2'],1
Fold 1,['MAPKAPK2'],1
Fold 2,['MAPKAPK2'],1
Fold 3,['MAPKAPK2'],1
Fold 4,['MAPKAPK2'],1
Fold 5,['MAPKAPK2'],1
Fold 6,['MAPKAPK2'],1
Fold 7,['MAPKAPK2'],1
Fold 8,['MAPKAPK2'],1
Fold 9,['MAPKAPK2'],1
Fold 10,"['S6', 'MAPKAPK2']",2
Fold 11,['MAPKAPK2'],1
Fold 12,['MAPKAPK2'],1
Fold 13,['MAPKAPK2'],1
Fold 14,['MAPKAPK2'],1
Fold 15,['MAPKAPK2'],1
Fold 16,['MAPKAPK2'],1
Fold 17,['MAPKAPK2'],1
Fold 18,['MAPKAPK2'],1
Fold 19,['MAPKAPK2'],1
Fold 20,['MAPKAPK2'],1
Fold 21,['MAPKAPK2'],1
Fold 22,['MAPKAPK2'],1
Fold 23,['MAPKAPK2'],1
Fold 24,['MAPKAPK2'],1
Fold 25,['MAPKAPK2'],1
Fold 26,['MAPKAPK2'],1
Fold 27,['MAPKAPK2'],1
Fold 28,['MAPKAPK2'],1
Fold 29,['MAPKAPK2'],1
Fold 30,['MAPKAPK2'],1
Fold 31,['MAPKAPK2'],1
Fold 32,"['S6', 'MAPKAPK2']",2
Fold 33,['MAPKAPK2'],1
Fold 34,['MAPKAPK2'],1
Fold 35,['MAPKAPK2'],1
Fold 36,['MAPKAPK2'],1
Fold 37,['MAPKAPK2'],1
Fold 38,['MAPKAPK2'],1
Fold 39,['MAPKAPK2'],1
Fold 40,['MAPKAPK2'],1
Fold 41,['MAPKAPK2'],1
Fold 42,['MAPKAPK2'],1
Fold 43,['MAPKAPK2'],1
Fold 44,['MAPKAPK2'],1
Fold 45,['MAPKAPK2'],1
Fold 46,['MAPKAPK2'],1
Fold 47,['MAPKAPK2'],1
Fold 48,['MAPKAPK2'],1
Fold 49,['MAPKAPK2'],1
Fold 50,['MAPKAPK2'],1
Fold 51,['MAPKAPK2'],1
Fold 52,['MAPKAPK2'],1
Fold 53,"['S6', 'MAPKAPK2']",2
Fold 54,['MAPKAPK2'],1
Fold 55,['MAPKAPK2'],1
Fold 56,['MAPKAPK2'],1
Fold 57,['MAPKAPK2'],1
Fold 58,['MAPKAPK2'],1
Fold 59,['MAPKAPK2'],1
Fold 60,['MAPKAPK2'],1
Fold 61,['MAPKAPK2'],1
Fold 62,['MAPKAPK2'],1
Fold 63,['MAPKAPK2'],1
Fold 64,['MAPKAPK2'],1
Fold 65,['MAPKAPK2'],1
Fold 66,['MAPKAPK2'],1
Fold 67,['MAPKAPK2'],1
Fold 68,['MAPKAPK2'],1
Fold 69,['MAPKAPK2'],1
Fold 70,['MAPKAPK2'],1
Fold 71,['MAPKAPK2'],1
Fold 72,['MAPKAPK2'],1
Fold 73,['MAPKAPK2'],1
Fold 74,['MAPKAPK2'],1
Fold 75,['MAPKAPK2'],1
Fold 76,['MAPKAPK2'],1
Fold 77,"['S6', 'MAPKAPK2']",2
Fold 78,['MAPKAPK2'],1
Fold 79,['MAPKAPK2'],1
Fold 80,['MAPKAPK2'],1
Fold 81,['MAPKAPK2'],1
Fold 82,['MAPKAPK2'],1
Fold 83,['MAPKAPK2'],1
Fold 84,['MAPKAPK2'],1
Fold 85,['MAPKAPK2'],1
Fold 86,['MAPKAPK2'],1
Fold 87,['MAPKAPK2'],1
Fold 88,['MAPKAPK2'],1
Fold 89,['MAPKAPK2'],1
Fold 90,['MAPKAPK2'],1
Fold 91,['MAPKAPK2'],1
Fold 92,['MAPKAPK2'],1
Fold 93,['MAPKAPK2'],1
Fold 94,['MAPKAPK2'],1
Fold 95,['MAPKAPK2'],1
Fold 96,['MAPKAPK2'],1
Fold 97,['MAPKAPK2'],1
Fold 98,"['S6', 'MAPKAPK2']",2
Fold 99,['MAPKAPK2'],1
Fold 100,['MAPKAPK2'],1
Fold 101,['MAPKAPK2'],1
Fold 102,['MAPKAPK2'],1
Fold 103,['MAPKAPK2'],1
Fold 104,['MAPKAPK2'],1
Fold 105,['MAPKAPK2'],1
Fold 106,['MAPKAPK2'],1
Fold 107,['MAPKAPK2'],1
Fold 108,"['S6', 'MAPKAPK2']",2
Fold 109,['MAPKAPK2'],1
Fold 110,['MAPKAPK2'],1
Fold 111,['MAPKAPK2'],1
Fold 112,['MAPKAPK2'],1
Fold 113,['MAPKAPK2'],1
Fold 114,['MAPKAPK2'],1
Fold 115,['MAPKAPK2'],1
Fold 116,['MAPKAPK2'],1
Fold 117,['MAPKAPK2'],1
Fold 118,['MAPKAPK2'],1
Fold 119,['MAPKAPK2'],1
Fold 120,"['S6', 'MAPKAPK2']",2
Fold 121,['MAPKAPK2'],1
Fold 122,['MAPKAPK2'],1
Fold 123,['MAPKAPK2'],1
Fold 124,['MAPKAPK2'],1
Fold 125,['MAPKAPK2'],1
Fold 126,['MAPKAPK2'],1
Fold 127,['MAPKAPK2'],1
Fold 128,['MAPKAPK2'],1
Fold 129,['MAPKAPK2'],1
Fold 130,['MAPKAPK2'],1
Fold 131,['MAPKAPK2'],1
Fold 132,['MAPKAPK2'],1
Fold 133,['MAPKAPK2'],1
Fold 134,['MAPKAPK2'],1
Fold 135,['MAPKAPK2'],1
Fold 136,['MAPKAPK2'],1
Fold 137,['MAPKAPK2'],1
Fold 138,['MAPKAPK2'],1
Fold 139,['MAPKAPK2'],1
Fold 140,['MAPKAPK2'],1
