,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,[],0
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,"['STAT3', 'Frequency']",2
Fold 7,[],0
Fold 8,[],0
Fold 9,[],0
Fold 10,"['STAT3', 'Frequency']",2
Fold 11,[],0
Fold 12,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 13,['Frequency'],1
Fold 14,"['STAT3', 'Frequency']",2
Fold 15,"['STAT3', 'Frequency']",2
Fold 16,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 17,[],0
Fold 18,[],0
Fold 19,[],0
Fold 20,['Frequency'],1
Fold 21,[],0
Fold 22,[],0
Fold 23,[],0
Fold 24,"['STAT3', 'Frequency']",2
Fold 25,"['STAT3', 'Frequency']",2
Fold 26,[],0
Fold 27,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 28,[],0
Fold 29,[],0
Fold 30,[],0
Fold 31,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 32,"['STAT3', 'Frequency']",2
Fold 33,[],0
Fold 34,[],0
Fold 35,[],0
Fold 36,[],0
Fold 37,"['STAT3', 'Frequency']",2
Fold 38,[],0
Fold 39,[],0
Fold 40,[],0
Fold 41,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 42,[],0
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,"['STAT3', 'Frequency']",2
Fold 48,"['STAT3', 'Frequency']",2
Fold 49,[],0
Fold 50,[],0
Fold 51,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 52,[],0
Fold 53,"['STAT3', 'Frequency']",2
Fold 54,"['STAT3', 'Frequency']",2
Fold 55,['Frequency'],1
Fold 56,[],0
Fold 57,[],0
Fold 58,[],0
Fold 59,[],0
Fold 60,[],0
Fold 61,[],0
Fold 62,[],0
Fold 63,[],0
Fold 64,[],0
Fold 65,"['STAT3', 'Frequency']",2
Fold 66,"['STAT3', 'Frequency']",2
Fold 67,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 68,"['STAT3', 'Frequency']",2
Fold 69,[],0
Fold 70,[],0
Fold 71,['Frequency'],1
Fold 72,[],0
Fold 73,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 74,[],0
Fold 75,[],0
Fold 76,[],0
Fold 77,"['STAT3', 'Frequency']",2
Fold 78,[],0
Fold 79,[],0
Fold 80,[],0
Fold 81,[],0
Fold 82,[],0
Fold 83,['Frequency'],1
Fold 84,[],0
Fold 85,"['STAT3', 'Frequency']",2
Fold 86,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 87,[],0
Fold 88,[],0
Fold 89,"['STAT3', 'Frequency']",2
Fold 90,[],0
Fold 91,[],0
Fold 92,"['STAT3', 'Frequency']",2
Fold 93,[],0
Fold 94,[],0
Fold 95,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,[],0
Fold 100,[],0
Fold 101,[],0
Fold 102,"['STAT3', 'Frequency']",2
Fold 103,[],0
Fold 104,[],0
Fold 105,[],0
Fold 106,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 107,[],0
Fold 108,"['STAT3', 'Frequency']",2
Fold 109,[],0
Fold 110,[],0
Fold 111,['Frequency'],1
Fold 112,"['STAT3', 'Frequency']",2
Fold 113,[],0
Fold 114,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 115,[],0
Fold 116,[],0
Fold 117,[],0
Fold 118,"['STAT3', 'Frequency']",2
Fold 119,[],0
Fold 120,"['STAT3', 'Frequency']",2
Fold 121,[],0
Fold 122,"['STAT3', 'Frequency']",2
Fold 123,[],0
Fold 124,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 125,[],0
Fold 126,[],0
Fold 127,[],0
Fold 128,"['STAT3', 'Frequency']",2
Fold 129,[],0
Fold 130,[],0
Fold 131,[],0
Fold 132,[],0
Fold 133,[],0
Fold 134,"['STAT3', 'Frequency']",2
Fold 135,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 136,[],0
Fold 137,['Frequency'],1
Fold 138,[],0
Fold 139,[],0
Fold 140,[],0
Fold 141,[],0
Fold 142,[],0
Fold 143,[],0
Fold 144,[],0
Fold 145,[],0
Fold 146,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 147,"['STAT3', 'Frequency']",2
Fold 148,[],0
Fold 149,[],0
Fold 150,[],0
Fold 151,"['STAT3', 'Frequency']",2
Fold 152,[],0
Fold 153,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 154,['Frequency'],1
Fold 155,[],0
Fold 156,[],0
Fold 157,"['STAT3', 'Frequency']",2
Fold 158,[],0
Fold 159,"['STAT3', 'Frequency']",2
Fold 160,[],0
Fold 161,"['STAT3', 'Frequency']",2
Fold 162,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
Fold 163,"['STAT3', 'Frequency']",2
Fold 164,[],0
Fold 165,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'Frequency']",6
