,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,"['IkB', 'STAT6']",2
Fold 2,['STAT6'],1
Fold 3,[],0
Fold 4,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 5,[],0
Fold 6,"['CREB', 'STAT6']",2
Fold 7,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 8,"['IkB', 'NFkB', 'STAT6']",3
Fold 9,['STAT6'],1
Fold 10,['STAT6'],1
Fold 11,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 12,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 13,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 14,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 15,[],0
Fold 16,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 17,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 18,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 19,[],0
Fold 20,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 21,['STAT6'],1
Fold 22,['STAT6'],1
Fold 23,[],0
Fold 24,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 25,[],0
Fold 26,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 27,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 28,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 29,[],0
Fold 30,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 31,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 32,['STAT6'],1
Fold 33,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 34,"['IkB', 'NFkB', 'STAT6']",3
Fold 35,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 36,"['IkB', 'STAT6']",2
Fold 37,"['CREB', 'STAT6']",2
Fold 38,[],0
Fold 39,[],0
Fold 40,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 41,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 42,[],0
Fold 43,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 44,[],0
Fold 45,"['IkB', 'NFkB', 'STAT6']",3
Fold 46,['STAT6'],1
Fold 47,[],0
Fold 48,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 49,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 50,['STAT6'],1
Fold 51,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 52,[],0
Fold 53,['STAT6'],1
Fold 54,"['CREB', 'STAT6']",2
Fold 55,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 56,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 57,"['IkB', 'STAT6']",2
Fold 58,[],0
Fold 59,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 60,[],0
Fold 61,"['IkB', 'NFkB', 'STAT6']",3
Fold 62,[],0
Fold 63,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 64,"['IkB', 'STAT6']",2
Fold 65,"['CREB', 'STAT6']",2
Fold 66,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 67,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 68,[],0
Fold 69,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 70,[],0
Fold 71,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 72,['STAT6'],1
Fold 73,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 74,[],0
Fold 75,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 76,['STAT6'],1
Fold 77,['STAT6'],1
Fold 78,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 79,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 80,[],0
Fold 81,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 82,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 83,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 84,[],0
Fold 85,[],0
Fold 86,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 87,['STAT6'],1
Fold 88,[],0
Fold 89,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 90,"['IkB', 'STAT6']",2
Fold 91,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 92,"['CREB', 'STAT6']",2
Fold 93,[],0
Fold 94,"['IkB', 'NFkB', 'STAT6']",3
