,Fold selected features,Fold nb of features
Fold 0,['S6'],1
Fold 1,[],0
Fold 2,[],0
Fold 3,[],0
Fold 4,[],0
Fold 5,['S6'],1
Fold 6,[],0
Fold 7,[],0
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,[],0
Fold 12,[],0
Fold 13,[],0
Fold 14,"['STAT3', 'S6']",2
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,[],0
Fold 19,['S6'],1
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,['S6'],1
Fold 24,"['STAT3', 'S6']",2
Fold 25,[],0
Fold 26,[],0
Fold 27,[],0
Fold 28,[],0
Fold 29,['S6'],1
Fold 30,[],0
Fold 31,[],0
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,[],0
Fold 36,[],0
Fold 37,[],0
Fold 38,['S6'],1
Fold 39,[],0
Fold 40,[],0
Fold 41,[],0
Fold 42,['S6'],1
Fold 43,[],0
Fold 44,['S6'],1
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,"['STAT3', 'S6']",2
Fold 49,[],0
Fold 50,[],0
Fold 51,[],0
Fold 52,[],0
Fold 53,[],0
Fold 54,[],0
Fold 55,[],0
Fold 56,[],0
Fold 57,[],0
Fold 58,['S6'],1
Fold 59,[],0
Fold 60,['S6'],1
Fold 61,[],0
Fold 62,['S6'],1
Fold 63,[],0
Fold 64,[],0
Fold 65,[],0
Fold 66,"['STAT3', 'S6']",2
Fold 67,[],0
Fold 68,[],0
Fold 69,[],0
Fold 70,['S6'],1
Fold 71,[],0
Fold 72,[],0
Fold 73,[],0
Fold 74,[],0
Fold 75,[],0
Fold 76,[],0
Fold 77,[],0
Fold 78,[],0
Fold 79,[],0
Fold 80,['S6'],1
Fold 81,[],0
Fold 82,[],0
Fold 83,[],0
Fold 84,['S6'],1
Fold 85,[],0
Fold 86,[],0
Fold 87,[],0
Fold 88,[],0
Fold 89,"['STAT3', 'S6']",2
Fold 90,[],0
Fold 91,[],0
Fold 92,[],0
Fold 93,['S6'],1
Fold 94,[],0
Fold 95,[],0
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,[],0
Fold 100,[],0
Fold 101,[],0
Fold 102,"['STAT3', 'S6']",2
Fold 103,['S6'],1
Fold 104,[],0
Fold 105,[],0
Fold 106,[],0
Fold 107,[],0
Fold 108,[],0
Fold 109,[],0
Fold 110,[],0
Fold 111,[],0
Fold 112,[],0
Fold 113,[],0
Fold 114,[],0
Fold 115,[],0
Fold 116,['S6'],1
Fold 117,['S6'],1
Fold 118,[],0
Fold 119,[],0
Fold 120,[],0
Fold 121,[],0
Fold 122,[],0
Fold 123,[],0
Fold 124,[],0
Fold 125,['S6'],1
Fold 126,[],0
Fold 127,[],0
Fold 128,"['STAT3', 'S6']",2
Fold 129,[],0
Fold 130,[],0
Fold 131,[],0
Fold 132,['S6'],1
Fold 133,[],0
Fold 134,[],0
Fold 135,[],0
Fold 136,[],0
Fold 137,[],0
Fold 138,[],0
Fold 139,['S6'],1
Fold 140,[],0
Fold 141,[],0
Fold 142,[],0
Fold 143,['S6'],1
Fold 144,[],0
Fold 145,[],0
Fold 146,[],0
Fold 147,[],0
Fold 148,[],0
Fold 149,[],0
Fold 150,[],0
Fold 151,[],0
Fold 152,['S6'],1
Fold 153,[],0
Fold 154,[],0
Fold 155,['S6'],1
Fold 156,[],0
Fold 157,[],0
Fold 158,[],0
Fold 159,"['STAT3', 'S6']",2
Fold 160,[],0
Fold 161,[],0
Fold 162,[],0
Fold 163,[],0
Fold 164,['S6'],1
Fold 165,[],0
Fold 166,"['STAT3', 'S6']",2
Fold 167,[],0
Fold 168,[],0
Fold 169,['S6'],1
Fold 170,[],0
Fold 171,[],0
Fold 172,[],0
Fold 173,[],0
Fold 174,[],0
Fold 175,[],0
Fold 176,[],0
Fold 177,[],0
Fold 178,[],0
Fold 179,['S6'],1
Fold 180,"['STAT3', 'S6']",2
Fold 181,[],0
Fold 182,[],0
Fold 183,[],0
Fold 184,[],0
Fold 185,['S6'],1
Fold 186,[],0
Fold 187,[],0
Fold 188,[],0
Fold 189,[],0
Fold 190,[],0
Fold 191,[],0
Fold 192,[],0
Fold 193,[],0
Fold 194,['S6'],1
Fold 195,[],0
Fold 196,['S6'],1
Fold 197,[],0
Fold 198,[],0
Fold 199,[],0
