,Fold selected features,Fold nb of features
Fold 0,"['S6', 'IkB']",2
Fold 1,['S6'],1
Fold 2,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB']",5
Fold 3,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 4,"['S6', 'IkB', 'MAPKAPK2', 'CREB']",4
Fold 5,"['S6', 'IkB']",2
Fold 6,[],0
Fold 7,"['S6', 'IkB', 'CREB']",3
Fold 8,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB', 'Frequency']",6
Fold 9,['S6'],1
Fold 10,"['S6', 'NFkB']",2
Fold 11,['S6'],1
Fold 12,['S6'],1
Fold 13,"['S6', 'IkB', 'NFkB', 'CREB']",4
Fold 14,"['S6', 'IkB', 'CREB']",3
Fold 15,"['S6', 'NFkB']",2
Fold 16,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 17,['S6'],1
Fold 18,[],0
Fold 19,"['S6', 'IkB', 'CREB']",3
Fold 20,"['S6', 'IkB', 'NFkB', 'CREB']",4
Fold 21,['S6'],1
Fold 22,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB']",5
Fold 23,"['S6', 'IkB']",2
Fold 24,"['S6', 'IkB', 'CREB']",3
Fold 25,"['S6', 'NFkB']",2
Fold 26,[],0
Fold 27,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 28,"['S6', 'IkB', 'CREB']",3
Fold 29,"['S6', 'IkB', 'CREB']",3
Fold 30,['S6'],1
Fold 31,['S6'],1
Fold 32,"['S6', 'NFkB']",2
Fold 33,['S6'],1
Fold 34,"['STAT3', 'S6', 'IkB', 'NFkB', 'CREB', 'Frequency']",6
Fold 35,"['S6', 'IkB', 'MAPKAPK2', 'CREB']",4
Fold 36,['S6'],1
Fold 37,[],0
Fold 38,"['S6', 'IkB']",2
Fold 39,"['STAT3', 'S6', 'IkB', 'CREB']",4
Fold 40,['S6'],1
Fold 41,"['STAT3', 'S6', 'IkB', 'CREB']",4
