,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'Frequency']",2
Fold 1,[],0
Fold 2,[],0
Fold 3,"['CREB', 'Frequency']",2
Fold 4,"['CREB', 'NFkB', 'Frequency']",3
Fold 5,[],0
Fold 6,"['CREB', 'Frequency']",2
Fold 7,"['CREB', 'NFkB', 'Frequency']",3
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,"['CREB', 'NFkB', 'Frequency']",3
Fold 12,"['CREB', 'NFkB', 'Frequency']",3
Fold 13,[],0
Fold 14,"['CREB', 'NFkB', 'Frequency']",3
Fold 15,"['CREB', 'Frequency']",2
Fold 16,"['CREB', 'NFkB', 'Frequency']",3
Fold 17,[],0
Fold 18,"['CREB', 'NFkB', 'Frequency']",3
Fold 19,['CREB'],1
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,[],0
Fold 24,"['CREB', 'NFkB', 'Frequency']",3
Fold 25,"['CREB', 'Frequency']",2
Fold 26,"['CREB', 'NFkB', 'Frequency']",3
Fold 27,"['CREB', 'NFkB', 'Frequency']",3
Fold 28,"['CREB', 'NFkB', 'Frequency']",3
Fold 29,['CREB'],1
Fold 30,"['CREB', 'NFkB', 'Frequency']",3
Fold 31,"['CREB', 'NFkB', 'Frequency']",3
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,"['CREB', 'NFkB', 'Frequency']",3
Fold 36,[],0
Fold 37,"['CREB', 'Frequency']",2
Fold 38,"['CREB', 'Frequency']",2
Fold 39,"['CREB', 'Frequency']",2
Fold 40,[],0
Fold 41,"['CREB', 'NFkB', 'Frequency']",3
Fold 42,"['CREB', 'Frequency']",2
Fold 43,"['CREB', 'NFkB', 'Frequency']",3
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,"['CREB', 'Frequency']",2
Fold 48,"['CREB', 'NFkB', 'Frequency']",3
Fold 49,"['CREB', 'NFkB', 'Frequency']",3
Fold 50,[],0
Fold 51,"['CREB', 'NFkB', 'Frequency']",3
Fold 52,"['CREB', 'Frequency']",2
Fold 53,[],0
Fold 54,"['CREB', 'Frequency']",2
Fold 55,[],0
Fold 56,"['CREB', 'NFkB', 'Frequency']",3
Fold 57,[],0
Fold 58,['CREB'],1
Fold 59,"['CREB', 'NFkB', 'Frequency']",3
Fold 60,"['CREB', 'Frequency']",2
Fold 61,[],0
Fold 62,['CREB'],1
Fold 63,"['CREB', 'NFkB', 'Frequency']",3
Fold 64,[],0
Fold 65,"['CREB', 'Frequency']",2
Fold 66,"['CREB', 'NFkB', 'Frequency']",3
Fold 67,"['CREB', 'NFkB', 'Frequency']",3
Fold 68,"['CREB', 'Frequency']",2
Fold 69,[],0
Fold 70,[],0
Fold 71,[],0
Fold 72,[],0
Fold 73,"['CREB', 'NFkB', 'Frequency']",3
Fold 74,"['CREB', 'Frequency']",2
Fold 75,"['CREB', 'NFkB', 'Frequency']",3
Fold 76,[],0
Fold 77,[],0
Fold 78,"['CREB', 'NFkB', 'Frequency']",3
Fold 79,"['CREB', 'NFkB', 'Frequency']",3
Fold 80,[],0
Fold 81,"['CREB', 'NFkB', 'Frequency']",3
Fold 82,[],0
Fold 83,[],0
Fold 84,"['CREB', 'Frequency']",2
Fold 85,"['CREB', 'Frequency']",2
Fold 86,"['CREB', 'NFkB', 'Frequency']",3
Fold 87,[],0
Fold 88,"['CREB', 'Frequency']",2
Fold 89,"['CREB', 'NFkB', 'Frequency']",3
Fold 90,[],0
Fold 91,"['CREB', 'NFkB', 'Frequency']",3
Fold 92,"['CREB', 'Frequency']",2
Fold 93,['CREB'],1
Fold 94,[],0
Fold 95,"['CREB', 'NFkB', 'Frequency']",3
Fold 96,"['CREB', 'NFkB', 'Frequency']",3
Fold 97,[],0
Fold 98,[],0
Fold 99,"['CREB', 'NFkB', 'Frequency']",3
Fold 100,"['CREB', 'NFkB', 'Frequency']",3
Fold 101,"['CREB', 'Frequency']",2
