,Fold selected features,Fold nb of features
Fold 0,['CREB'],1
Fold 1,[],0
Fold 2,[],0
Fold 3,[],0
Fold 4,['CREB'],1
Fold 5,"['CREB', 'STAT3', 'STAT6']",3
Fold 6,"['CREB', 'STAT3']",2
Fold 7,['CREB'],1
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,"['CREB', 'STAT3', 'STAT6']",3
Fold 12,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 13,[],0
Fold 14,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 15,[],0
Fold 16,"['CREB', 'STAT3']",2
Fold 17,[],0
Fold 18,[],0
Fold 19,"['CREB', 'STAT3']",2
Fold 20,[],0
Fold 21,[],0
Fold 22,[],0
Fold 23,"['CREB', 'STAT3', 'STAT6']",3
Fold 24,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 25,[],0
Fold 26,[],0
Fold 27,"['CREB', 'STAT3']",2
Fold 28,['CREB'],1
Fold 29,"['CREB', 'STAT3']",2
Fold 30,"['CREB', 'STAT3', 'STAT6']",3
Fold 31,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,['CREB'],1
Fold 36,[],0
Fold 37,"['CREB', 'STAT3']",2
Fold 38,['CREB'],1
Fold 39,[],0
Fold 40,[],0
Fold 41,"['CREB', 'STAT3']",2
Fold 42,['CREB'],1
Fold 43,"['CREB', 'STAT3', 'STAT6']",3
Fold 44,"['CREB', 'STAT3', 'STAT6']",3
Fold 45,[],0
Fold 46,[],0
Fold 47,[],0
Fold 48,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 49,[],0
Fold 50,[],0
Fold 51,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 52,[],0
Fold 53,[],0
Fold 54,"['CREB', 'STAT3']",2
Fold 55,[],0
Fold 56,['CREB'],1
Fold 57,[],0
Fold 58,"['CREB', 'STAT3']",2
Fold 59,['CREB'],1
Fold 60,['CREB'],1
Fold 61,[],0
Fold 62,"['CREB', 'STAT3']",2
Fold 63,['CREB'],1
Fold 64,[],0
Fold 65,"['CREB', 'STAT3']",2
Fold 66,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 67,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 68,[],0
Fold 69,[],0
Fold 70,"['CREB', 'STAT3', 'STAT6']",3
Fold 71,[],0
Fold 72,[],0
Fold 73,"['CREB', 'STAT3']",2
Fold 74,[],0
Fold 75,['CREB'],1
Fold 76,[],0
Fold 77,[],0
Fold 78,"['CREB', 'STAT3', 'STAT6']",3
Fold 79,[],0
Fold 80,"['CREB', 'STAT3', 'STAT6']",3
Fold 81,"['CREB', 'STAT3', 'STAT6']",3
Fold 82,[],0
Fold 83,[],0
Fold 84,['CREB'],1
Fold 85,[],0
Fold 86,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 87,[],0
Fold 88,[],0
Fold 89,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 90,[],0
Fold 91,['CREB'],1
Fold 92,"['CREB', 'STAT3']",2
Fold 93,"['CREB', 'STAT3']",2
Fold 94,[],0
Fold 95,"['CREB', 'STAT3']",2
Fold 96,[],0
Fold 97,[],0
Fold 98,[],0
Fold 99,['CREB'],1
Fold 100,['CREB'],1
Fold 101,[],0
Fold 102,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 103,"['CREB', 'STAT3', 'STAT6']",3
Fold 104,[],0
Fold 105,[],0
Fold 106,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 107,[],0
Fold 108,[],0
Fold 109,"['CREB', 'STAT3', 'STAT6']",3
Fold 110,[],0
Fold 111,[],0
Fold 112,"['CREB', 'STAT3']",2
Fold 113,[],0
Fold 114,"['CREB', 'STAT3']",2
Fold 115,['CREB'],1
Fold 116,"['CREB', 'STAT3']",2
Fold 117,['CREB'],1
Fold 118,[],0
Fold 119,[],0
Fold 120,[],0
Fold 121,[],0
Fold 122,[],0
Fold 123,[],0
Fold 124,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 125,"['CREB', 'STAT3', 'STAT6']",3
Fold 126,['CREB'],1
Fold 127,"['CREB', 'STAT3', 'STAT6']",3
Fold 128,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 129,[],0
Fold 130,[],0
Fold 131,[],0
Fold 132,['CREB'],1
Fold 133,[],0
Fold 134,"['CREB', 'STAT3']",2
Fold 135,"['CREB', 'STAT3']",2
Fold 136,[],0
Fold 137,[],0
Fold 138,['CREB'],1
Fold 139,"['CREB', 'STAT3']",2
Fold 140,[],0
Fold 141,[],0
Fold 142,[],0
Fold 143,"['CREB', 'STAT3', 'STAT6']",3
Fold 144,['CREB'],1
Fold 145,[],0
Fold 146,"['CREB', 'STAT3']",2
Fold 147,"['CREB', 'STAT3']",2
Fold 148,[],0
Fold 149,['CREB'],1
Fold 150,[],0
Fold 151,[],0
Fold 152,"['CREB', 'STAT3']",2
Fold 153,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 154,[],0
Fold 155,['CREB'],1
Fold 156,"['CREB', 'STAT3', 'STAT6']",3
Fold 157,[],0
Fold 158,[],0
Fold 159,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 160,[],0
Fold 161,"['CREB', 'STAT3']",2
Fold 162,"['CREB', 'STAT3']",2
Fold 163,[],0
Fold 164,['CREB'],1
Fold 165,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 166,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 167,['CREB'],1
Fold 168,[],0
Fold 169,"['CREB', 'STAT3', 'STAT6']",3
Fold 170,"['CREB', 'STAT3', 'STAT6']",3
Fold 171,[],0
Fold 172,[],0
Fold 173,[],0
Fold 174,['CREB'],1
Fold 175,[],0
Fold 176,[],0
Fold 177,[],0
Fold 178,[],0
Fold 179,"['CREB', 'STAT3']",2
Fold 180,"['CREB', 'STAT3', 'IkB', 'NFkB', 'Frequency']",5
Fold 181,"['CREB', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",6
Fold 182,[],0
Fold 183,[],0
Fold 184,"['CREB', 'STAT3']",2
Fold 185,"['CREB', 'STAT3', 'STAT6']",3
Fold 186,[],0
Fold 187,"['CREB', 'STAT3', 'STAT6']",3
Fold 188,[],0
Fold 189,['CREB'],1
Fold 190,[],0
Fold 191,[],0
Fold 192,['CREB'],1
Fold 193,[],0
Fold 194,['CREB'],1
Fold 195,[],0
Fold 196,"['CREB', 'STAT3']",2
Fold 197,[],0
Fold 198,[],0
Fold 199,"['CREB', 'STAT3']",2
