,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 3,[],0
Fold 4,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 5,[],0
Fold 6,[],0
Fold 7,[],0
Fold 8,[],0
Fold 9,[],0
Fold 10,[],0
Fold 11,[],0
Fold 12,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 13,[],0
Fold 14,['CREB'],1
Fold 15,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 16,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 17,[],0
Fold 18,[],0
Fold 19,[],0
Fold 20,[],0
Fold 21,[],0
Fold 22,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 23,[],0
Fold 24,['CREB'],1
Fold 25,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 26,[],0
Fold 27,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 28,[],0
Fold 29,[],0
Fold 30,[],0
Fold 31,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 32,[],0
Fold 33,[],0
Fold 34,[],0
Fold 35,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 36,[],0
Fold 37,[],0
Fold 38,[],0
Fold 39,[],0
Fold 40,[],0
Fold 41,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 42,[],0
Fold 43,[],0
Fold 44,[],0
Fold 45,[],0
Fold 46,[],0
Fold 47,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 48,['CREB'],1
Fold 49,[],0
Fold 50,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 51,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 52,[],0
Fold 53,[],0
Fold 54,[],0
Fold 55,[],0
Fold 56,[],0
Fold 57,[],0
Fold 58,[],0
Fold 59,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 60,[],0
Fold 61,[],0
Fold 62,[],0
Fold 63,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 64,[],0
Fold 65,[],0
Fold 66,['CREB'],1
Fold 67,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 68,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 69,[],0
Fold 70,[],0
Fold 71,[],0
Fold 72,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 73,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 74,[],0
Fold 75,[],0
Fold 76,[],0
Fold 77,[],0
Fold 78,[],0
Fold 79,[],0
Fold 80,[],0
Fold 81,[],0
Fold 82,[],0
Fold 83,[],0
Fold 84,[],0
Fold 85,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 86,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 87,[],0
Fold 88,[],0
Fold 89,['CREB'],1
Fold 90,[],0
Fold 91,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 92,[],0
Fold 93,[],0
Fold 94,[],0
Fold 95,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 96,[],0
Fold 97,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 98,[],0
Fold 99,[],0
Fold 100,[],0
Fold 101,[],0
Fold 102,['CREB'],1
Fold 103,[],0
Fold 104,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 105,[],0
Fold 106,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 107,[],0
Fold 108,[],0
Fold 109,[],0
Fold 110,[],0
Fold 111,[],0
Fold 112,[],0
Fold 113,[],0
Fold 114,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 115,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 116,[],0
Fold 117,[],0
Fold 118,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 119,[],0
Fold 120,[],0
Fold 121,[],0
Fold 122,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 123,[],0
Fold 124,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 125,[],0
Fold 126,[],0
Fold 127,[],0
Fold 128,['CREB'],1
Fold 129,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 130,[],0
Fold 131,[],0
Fold 132,[],0
Fold 133,[],0
Fold 134,[],0
Fold 135,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 136,[],0
Fold 137,[],0
Fold 138,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 139,[],0
Fold 140,[],0
Fold 141,[],0
Fold 142,[],0
Fold 143,[],0
Fold 144,[],0
Fold 145,"['Frequency', 'CREB', 'IkB', 'NFkB']",4
Fold 146,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 147,[],0
Fold 148,[],0
Fold 149,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 150,[],0
Fold 151,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 152,[],0
Fold 153,"['Frequency', 'CREB', 'IkB', 'NFkB', 'STAT6']",5
Fold 154,[],0
Fold 155,[],0
Fold 156,[],0
Fold 157,[],0
