,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 1,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 2,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 3,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 4,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 5,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 6,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 7,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 8,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 9,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 10,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 11,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 12,"['CREB', 'S6', 'IkB']",3
Fold 13,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 14,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 15,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 16,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 17,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 18,"['CREB', 'STAT3', 'S6']",3
Fold 19,"['CREB', 'S6', 'NFkB']",3
Fold 20,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 21,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 22,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 23,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 24,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 25,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 26,"['CREB', 'STAT3', 'S6']",3
Fold 27,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 28,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 29,"['CREB', 'S6', 'NFkB']",3
Fold 30,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 31,"['CREB', 'S6', 'IkB']",3
Fold 32,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 33,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 34,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 35,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 36,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 37,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 38,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 39,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 40,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 41,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 42,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 43,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 44,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 45,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 46,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 47,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 48,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 49,"['CREB', 'STAT3', 'S6']",3
Fold 50,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 51,"['CREB', 'S6', 'IkB']",3
Fold 52,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 53,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 54,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 55,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 56,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 57,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 58,"['CREB', 'S6', 'NFkB']",3
Fold 59,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 60,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 61,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 62,"['CREB', 'S6', 'NFkB']",3
Fold 63,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 64,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 65,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 66,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 67,"['CREB', 'S6', 'IkB']",3
Fold 68,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 69,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 70,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 71,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 72,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 73,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 74,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 75,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 76,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 77,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 78,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 79,"['CREB', 'STAT3', 'S6']",3
Fold 80,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 81,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 82,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 83,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 84,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 85,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 86,"['CREB', 'S6', 'IkB']",3
Fold 87,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 88,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 89,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 90,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 91,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 92,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 93,"['CREB', 'S6', 'NFkB']",3
Fold 94,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 95,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 96,"['CREB', 'STAT3', 'S6']",3
Fold 97,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 98,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 99,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 100,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 101,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 102,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 103,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 104,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 105,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 106,"['CREB', 'S6', 'IkB']",3
Fold 107,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 108,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 109,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 110,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 111,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 112,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 113,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 114,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 115,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 116,"['CREB', 'S6', 'NFkB']",3
Fold 117,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 118,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 119,"['CREB', 'STAT3', 'S6']",3
Fold 120,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 121,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 122,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 123,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 124,"['CREB', 'S6', 'IkB']",3
Fold 125,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 126,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 127,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 128,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 129,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 130,"['CREB', 'STAT3', 'S6']",3
Fold 131,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 132,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 133,"['CREB', 'S6', 'IkB', 'NFkB']",4
