,Fold selected features,Fold nb of features
Fold 0,"['IkB', 'NFkB', 'Frequency']",3
Fold 1,"['IkB', 'NFkB', 'Frequency']",3
Fold 2,"['IkB', 'NFkB', 'Frequency']",3
Fold 3,"['IkB', 'NFkB', 'Frequency']",3
Fold 4,"['IkB', 'NFkB', 'Frequency']",3
Fold 5,"['IkB', 'NFkB', 'Frequency']",3
Fold 6,"['IkB', 'NFkB', 'Frequency']",3
Fold 7,"['IkB', 'NFkB', 'Frequency']",3
Fold 8,"['IkB', 'NFkB', 'Frequency']",3
Fold 9,"['IkB', 'NFkB', 'Frequency']",3
Fold 10,"['IkB', 'NFkB', 'Frequency']",3
Fold 11,"['IkB', 'NFkB', 'Frequency']",3
Fold 12,"['IkB', 'NFkB', 'Frequency']",3
Fold 13,"['IkB', 'NFkB', 'Frequency']",3
Fold 14,"['IkB', 'NFkB', 'Frequency']",3
Fold 15,"['IkB', 'NFkB', 'Frequency']",3
Fold 16,"['IkB', 'NFkB', 'Frequency']",3
Fold 17,"['IkB', 'NFkB', 'Frequency']",3
Fold 18,"['IkB', 'NFkB', 'Frequency']",3
Fold 19,"['IkB', 'NFkB', 'Frequency']",3
Fold 20,"['IkB', 'NFkB', 'Frequency']",3
Fold 21,"['IkB', 'NFkB', 'Frequency']",3
Fold 22,"['IkB', 'NFkB', 'Frequency']",3
Fold 23,"['IkB', 'NFkB', 'Frequency']",3
Fold 24,"['IkB', 'NFkB', 'Frequency']",3
Fold 25,"['IkB', 'NFkB', 'Frequency']",3
Fold 26,"['IkB', 'NFkB', 'Frequency']",3
Fold 27,"['IkB', 'NFkB', 'Frequency']",3
Fold 28,"['IkB', 'NFkB', 'Frequency']",3
Fold 29,"['IkB', 'NFkB', 'Frequency']",3
Fold 30,"['IkB', 'NFkB', 'Frequency']",3
Fold 31,"['IkB', 'NFkB', 'Frequency']",3
Fold 32,"['IkB', 'NFkB', 'Frequency']",3
Fold 33,"['IkB', 'NFkB', 'Frequency']",3
Fold 34,"['IkB', 'NFkB', 'Frequency']",3
Fold 35,"['IkB', 'NFkB', 'Frequency']",3
Fold 36,"['IkB', 'NFkB', 'Frequency']",3
Fold 37,"['IkB', 'NFkB', 'Frequency']",3
Fold 38,"['IkB', 'NFkB', 'Frequency']",3
Fold 39,"['IkB', 'NFkB', 'Frequency']",3
Fold 40,"['IkB', 'NFkB', 'Frequency']",3
Fold 41,"['IkB', 'NFkB', 'Frequency']",3
Fold 42,"['IkB', 'NFkB', 'Frequency']",3
Fold 43,"['IkB', 'NFkB', 'Frequency']",3
Fold 44,"['IkB', 'NFkB', 'Frequency']",3
Fold 45,"['IkB', 'NFkB', 'Frequency']",3
Fold 46,"['IkB', 'NFkB', 'Frequency']",3
Fold 47,"['IkB', 'NFkB', 'Frequency']",3
Fold 48,"['IkB', 'NFkB', 'Frequency']",3
Fold 49,"['IkB', 'NFkB', 'Frequency']",3
Fold 50,"['IkB', 'NFkB', 'Frequency']",3
Fold 51,"['IkB', 'NFkB', 'Frequency']",3
Fold 52,"['IkB', 'NFkB', 'Frequency']",3
Fold 53,"['IkB', 'NFkB', 'Frequency']",3
Fold 54,"['IkB', 'NFkB', 'Frequency']",3
Fold 55,"['IkB', 'NFkB', 'Frequency']",3
Fold 56,"['IkB', 'NFkB', 'Frequency']",3
Fold 57,"['IkB', 'NFkB', 'Frequency']",3
Fold 58,"['IkB', 'NFkB', 'Frequency']",3
Fold 59,"['IkB', 'NFkB', 'Frequency']",3
Fold 60,"['IkB', 'NFkB', 'Frequency']",3
Fold 61,"['IkB', 'NFkB', 'Frequency']",3
Fold 62,"['IkB', 'NFkB', 'Frequency']",3
Fold 63,"['IkB', 'NFkB', 'Frequency']",3
Fold 64,"['IkB', 'NFkB', 'Frequency']",3
Fold 65,"['IkB', 'NFkB', 'Frequency']",3
Fold 66,"['IkB', 'NFkB', 'Frequency']",3
Fold 67,"['IkB', 'NFkB', 'Frequency']",3
Fold 68,"['IkB', 'NFkB', 'Frequency']",3
Fold 69,"['IkB', 'NFkB', 'Frequency']",3
Fold 70,"['IkB', 'NFkB', 'Frequency']",3
Fold 71,"['IkB', 'NFkB', 'Frequency']",3
Fold 72,"['IkB', 'NFkB', 'Frequency']",3
Fold 73,"['IkB', 'NFkB', 'Frequency']",3
Fold 74,"['IkB', 'NFkB', 'Frequency']",3
Fold 75,"['IkB', 'NFkB', 'Frequency']",3
Fold 76,"['IkB', 'NFkB', 'Frequency']",3
Fold 77,"['IkB', 'NFkB', 'Frequency']",3
Fold 78,"['IkB', 'NFkB', 'Frequency']",3
Fold 79,"['IkB', 'NFkB', 'Frequency']",3
Fold 80,"['IkB', 'NFkB', 'Frequency']",3
Fold 81,"['IkB', 'NFkB', 'Frequency']",3
Fold 82,"['IkB', 'NFkB', 'Frequency']",3
Fold 83,"['IkB', 'NFkB', 'Frequency']",3
Fold 84,"['IkB', 'NFkB', 'Frequency']",3
Fold 85,"['IkB', 'NFkB', 'Frequency']",3
Fold 86,"['IkB', 'NFkB', 'Frequency']",3
Fold 87,"['IkB', 'NFkB', 'Frequency']",3
Fold 88,"['IkB', 'NFkB', 'Frequency']",3
Fold 89,"['IkB', 'NFkB', 'Frequency']",3
Fold 90,"['IkB', 'NFkB', 'Frequency']",3
Fold 91,"['IkB', 'NFkB', 'Frequency']",3
Fold 92,"['IkB', 'NFkB', 'Frequency']",3
Fold 93,"['IkB', 'NFkB', 'Frequency']",3
Fold 94,"['IkB', 'NFkB', 'Frequency']",3
Fold 95,"['IkB', 'NFkB', 'Frequency']",3
Fold 96,"['IkB', 'NFkB', 'Frequency']",3
Fold 97,"['IkB', 'NFkB', 'Frequency']",3
Fold 98,"['IkB', 'NFkB', 'Frequency']",3
Fold 99,"['IkB', 'NFkB', 'Frequency']",3
Fold 100,"['IkB', 'NFkB', 'Frequency']",3
Fold 101,"['IkB', 'NFkB', 'Frequency']",3
Fold 102,"['IkB', 'NFkB', 'Frequency']",3
Fold 103,"['IkB', 'NFkB', 'Frequency']",3
Fold 104,"['IkB', 'NFkB', 'Frequency']",3
Fold 105,"['IkB', 'NFkB', 'Frequency']",3
Fold 106,"['IkB', 'NFkB', 'Frequency']",3
Fold 107,"['IkB', 'NFkB', 'Frequency']",3
Fold 108,"['IkB', 'NFkB', 'Frequency']",3
Fold 109,"['IkB', 'NFkB', 'Frequency']",3
Fold 110,"['IkB', 'NFkB', 'Frequency']",3
Fold 111,"['IkB', 'NFkB', 'Frequency']",3
Fold 112,"['IkB', 'NFkB', 'Frequency']",3
Fold 113,"['IkB', 'NFkB', 'Frequency']",3
Fold 114,"['IkB', 'NFkB', 'Frequency']",3
Fold 115,"['IkB', 'NFkB', 'Frequency']",3
Fold 116,"['IkB', 'NFkB', 'Frequency']",3
Fold 117,"['IkB', 'NFkB', 'Frequency']",3
Fold 118,"['IkB', 'NFkB', 'Frequency']",3
Fold 119,"['IkB', 'NFkB', 'Frequency']",3
Fold 120,"['IkB', 'NFkB', 'Frequency']",3
Fold 121,"['IkB', 'NFkB', 'Frequency']",3
Fold 122,"['IkB', 'NFkB', 'Frequency']",3
Fold 123,"['IkB', 'NFkB', 'Frequency']",3
Fold 124,"['IkB', 'NFkB', 'Frequency']",3
Fold 125,"['IkB', 'NFkB', 'Frequency']",3
Fold 126,"['IkB', 'NFkB', 'Frequency']",3
Fold 127,"['IkB', 'NFkB', 'Frequency']",3
Fold 128,"['IkB', 'NFkB', 'Frequency']",3
Fold 129,"['IkB', 'NFkB', 'Frequency']",3
Fold 130,"['IkB', 'NFkB', 'Frequency']",3
Fold 131,"['IkB', 'NFkB', 'Frequency']",3
Fold 132,"['IkB', 'NFkB', 'Frequency']",3
Fold 133,"['IkB', 'NFkB', 'Frequency']",3
Fold 134,"['IkB', 'NFkB', 'Frequency']",3
Fold 135,"['IkB', 'NFkB', 'Frequency']",3
Fold 136,"['IkB', 'NFkB', 'Frequency']",3
Fold 137,"['IkB', 'NFkB', 'Frequency']",3
Fold 138,"['IkB', 'NFkB', 'Frequency']",3
Fold 139,"['IkB', 'NFkB', 'Frequency']",3
Fold 140,"['IkB', 'NFkB', 'Frequency']",3
Fold 141,"['IkB', 'NFkB', 'Frequency']",3
Fold 142,"['IkB', 'NFkB', 'Frequency']",3
Fold 143,"['IkB', 'NFkB', 'Frequency']",3
Fold 144,"['IkB', 'NFkB', 'Frequency']",3
Fold 145,"['IkB', 'NFkB', 'Frequency']",3
Fold 146,"['IkB', 'NFkB', 'Frequency']",3
Fold 147,"['IkB', 'NFkB', 'Frequency']",3
