,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'NFkB', 'Frequency']",3
Fold 1,"['CREB', 'NFkB', 'Frequency']",3
Fold 2,"['CREB', 'NFkB', 'Frequency']",3
Fold 3,"['CREB', 'NFkB', 'Frequency']",3
Fold 4,"['CREB', 'NFkB', 'Frequency']",3
Fold 5,"['CREB', 'NFkB', 'Frequency']",3
Fold 6,"['CREB', 'NFkB', 'Frequency']",3
Fold 7,"['CREB', 'NFkB', 'Frequency']",3
Fold 8,"['CREB', 'NFkB', 'Frequency']",3
Fold 9,"['CREB', 'NFkB', 'Frequency']",3
Fold 10,"['CREB', 'NFkB', 'Frequency']",3
Fold 11,"['CREB', 'NFkB', 'Frequency']",3
Fold 12,"['CREB', 'NFkB', 'Frequency']",3
Fold 13,"['CREB', 'NFkB', 'Frequency']",3
Fold 14,"['CREB', 'NFkB', 'Frequency']",3
Fold 15,"['CREB', 'NFkB', 'Frequency']",3
Fold 16,"['CREB', 'NFkB', 'Frequency']",3
Fold 17,"['CREB', 'NFkB', 'Frequency']",3
Fold 18,"['CREB', 'NFkB', 'Frequency']",3
Fold 19,"['CREB', 'NFkB', 'Frequency']",3
Fold 20,"['CREB', 'NFkB', 'Frequency']",3
Fold 21,"['CREB', 'NFkB', 'Frequency']",3
Fold 22,"['CREB', 'NFkB', 'Frequency']",3
Fold 23,"['CREB', 'NFkB', 'Frequency']",3
Fold 24,"['CREB', 'NFkB', 'Frequency']",3
Fold 25,"['CREB', 'NFkB', 'Frequency']",3
Fold 26,"['CREB', 'NFkB', 'Frequency']",3
Fold 27,"['CREB', 'NFkB', 'Frequency']",3
Fold 28,"['CREB', 'NFkB', 'Frequency']",3
Fold 29,"['CREB', 'NFkB', 'Frequency']",3
Fold 30,"['CREB', 'NFkB', 'Frequency']",3
Fold 31,"['CREB', 'NFkB', 'Frequency']",3
Fold 32,"['CREB', 'NFkB', 'Frequency']",3
