,Fold selected features,Fold nb of features
Fold 0,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 1,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 2,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 3,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 4,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 5,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 6,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 7,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 8,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 9,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 10,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 11,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 12,"['MAPKAPK2', 'CREB', 'p38', 'STAT3', 'S6', 'IkB', 'Frequency']",7
Fold 13,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 14,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 15,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 16,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 17,"['MAPKAPK2', 'CREB', 'p38', 'STAT3', 'S6', 'IkB', 'Frequency']",7
Fold 18,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 19,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 20,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 21,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 22,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 23,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 24,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 25,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 26,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 27,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 28,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 29,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 30,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 31,"['MAPKAPK2', 'CREB', 'p38', 'STAT3', 'S6', 'IkB', 'Frequency']",7
Fold 32,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 33,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 34,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 35,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 36,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 37,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 38,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 39,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 40,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 41,"['NFkB', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 42,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 43,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 44,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 45,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
Fold 46,"['MAPKAPK2', 'CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",6
