,Fold selected features,Fold nb of features
Fold 0,"['STAT3', 'S6', 'Frequency']",3
Fold 1,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 2,[],0
Fold 3,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 4,"['S6', 'Frequency']",2
Fold 5,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 6,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 7,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 8,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 9,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 10,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 11,"['STAT3', 'S6', 'Frequency']",3
Fold 12,"['S6', 'Frequency']",2
Fold 13,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 14,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 15,"['S6', 'Frequency']",2
Fold 16,"['S6', 'Frequency']",2
Fold 17,"['S6', 'Frequency']",2
Fold 18,[],0
Fold 19,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 20,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 21,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 22,[],0
Fold 23,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 24,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 25,"['S6', 'Frequency']",2
Fold 26,[],0
Fold 27,"['S6', 'Frequency']",2
Fold 28,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 29,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 30,"['STAT3', 'S6', 'Frequency']",3
Fold 31,"['S6', 'Frequency']",2
Fold 32,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 33,"['S6', 'Frequency']",2
Fold 34,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 35,"['S6', 'Frequency']",2
Fold 36,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 37,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 38,"['STAT3', 'S6', 'Frequency']",3
Fold 39,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 40,"['S6', 'Frequency']",2
Fold 41,"['S6', 'Frequency']",2
Fold 42,"['STAT3', 'S6', 'Frequency']",3
Fold 43,"['STAT3', 'S6', 'Frequency']",3
Fold 44,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 45,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 46,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 47,"['S6', 'Frequency']",2
Fold 48,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 49,[],0
Fold 50,[],0
Fold 51,"['S6', 'Frequency']",2
Fold 52,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 53,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 54,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 55,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 56,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 57,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 58,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 59,"['S6', 'Frequency']",2
Fold 60,"['STAT3', 'S6', 'Frequency']",3
Fold 61,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 62,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 63,"['S6', 'Frequency']",2
Fold 64,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 65,"['CREB', 'S6', 'IkB', 'Frequency']",4
Fold 66,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 67,"['S6', 'Frequency']",2
Fold 68,"['S6', 'Frequency']",2
Fold 69,"['S6', 'Frequency']",2
Fold 70,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 71,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 72,[],0
Fold 73,"['S6', 'Frequency']",2
Fold 74,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 75,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 76,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 77,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 78,"['STAT3', 'S6', 'Frequency']",3
Fold 79,[],0
Fold 80,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 81,"['STAT3', 'S6', 'Frequency']",3
Fold 82,"['S6', 'Frequency']",2
Fold 83,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 84,"['STAT3', 'S6', 'Frequency']",3
Fold 85,"['S6', 'Frequency']",2
Fold 86,"['S6', 'Frequency']",2
Fold 87,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 88,"['STAT3', 'S6', 'IkB', 'Frequency']",4
