,Spearman corr,pvalue
MAPKAPK2,-0.520265981714472,0.018692511424373982
ERK,-0.43355498476205995,0.056166935591136946
p38,-0.3454545454545455,0.13574707068309258
S6,0.3295017884191656,0.1559933352870714
STAT6,0.2427907914667536,0.3023454554274212
CREB,0.08671099695241198,0.7162313833164182
STAT5,0.0693687975619296,0.7713562200019073
NFkB,0.0693687975619296,0.7713562200019073
STAT3,-0.05210501057189062,0.8273011831085582
IkB,-0.052026598171447204,0.827557337051562
Frequency,-0.052026598171447204,0.827557337051562
STAT1,,
