,Fold selected features,Fold nb of features
Fold 0,"['S6', 'STAT6']",2
Fold 1,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6']",6
Fold 2,"['S6', 'STAT6']",2
Fold 3,"['S6', 'STAT6']",2
Fold 4,[],0
Fold 5,[],0
Fold 6,"['STAT5', 'S6', 'ERK', 'STAT6']",4
Fold 7,[],0
Fold 8,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6']",6
Fold 9,[],0
Fold 10,"['STAT5', 'S6', 'ERK', 'STAT6']",4
Fold 11,[],0
Fold 12,[],0
Fold 13,[],0
Fold 14,"['S6', 'IkB', 'STAT6']",3
Fold 15,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 16,[],0
Fold 17,"['STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",6
Fold 18,"['S6', 'STAT6']",2
Fold 19,[],0
Fold 20,[],0
Fold 21,[],0
Fold 22,"['S6', 'STAT6']",2
Fold 23,[],0
Fold 24,"['S6', 'IkB', 'STAT6']",3
Fold 25,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
Fold 26,"['S6', 'STAT6']",2
Fold 27,[],0
Fold 28,[],0
Fold 29,[],0
Fold 30,[],0
Fold 31,[],0
Fold 32,"['STAT5', 'S6', 'ERK', 'STAT6']",4
Fold 33,"['STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",6
Fold 34,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6']",6
Fold 35,[],0
Fold 36,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6']",6
Fold 37,"['STAT5', 'S6', 'ERK', 'STAT6']",4
Fold 38,"['S6', 'STAT6']",2
Fold 39,"['S6', 'STAT6']",2
Fold 40,"['STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",6
Fold 41,[],0
Fold 42,"['S6', 'STAT6']",2
Fold 43,[],0
Fold 44,[],0
Fold 45,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6']",6
Fold 46,[],0
Fold 47,"['STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",7
