,Spearman corr,pvalue
ERK,-0.4855815829335072,0.02997228625973506
S6,0.45089718415254243,0.04600809554004641
STAT6,-0.2949282857826675,0.20682665059185876
STAT3,0.260132990857236,0.268013467258769
MAPKAPK2,-0.260132990857236,0.268013467258769
p38,-0.17342199390482396,0.4646587776970642
NFkB,-0.1387375951238592,0.5596674186533706
CREB,-0.10405319634289441,0.6624265026477676
STAT5,-0.10405319634289441,0.6624265026477676
IkB,0.0693687975619296,0.7713562200019073
Frequency,-0.052026598171447204,0.827557337051562
STAT1,,
