,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 1,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 2,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 3,"['STAT3', 'S6', 'IkB', 'Frequency']",4
Fold 4,"['STAT3', 'S6', 'NFkB']",3
Fold 5,"['STAT3', 'S6']",2
Fold 6,"['STAT3', 'S6']",2
Fold 7,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 8,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 9,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 10,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 11,"['STAT3', 'S6', 'IkB']",3
Fold 12,[],0
Fold 13,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 14,"['STAT3', 'S6', 'IkB']",3
Fold 15,['S6'],1
Fold 16,"['STAT3', 'S6', 'IkB']",3
Fold 17,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 18,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 19,"['STAT3', 'S6']",2
Fold 20,"['CREB', 'STAT3', 'S6', 'NFkB', 'Frequency']",5
Fold 21,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 22,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB', 'Frequency']",6
Fold 23,"['STAT3', 'S6']",2
Fold 24,"['STAT3', 'S6', 'IkB']",3
Fold 25,['S6'],1
Fold 26,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 27,"['STAT3', 'S6', 'IkB']",3
Fold 28,"['CREB', 'STAT3', 'S6', 'IkB', 'Frequency']",5
Fold 29,"['STAT3', 'S6']",2
Fold 30,"['STAT3', 'S6', 'IkB']",3
Fold 31,[],0
