,Mann-Whitney U-test,p-value
NKT_p38,73.0,0.02539491366752695
Th1naive_IkB,76.5,0.04928076022005515
gdTcells_NFkB,75.0,0.06402210128302689
Th1naive_STAT5,25.5,0.06953745003698122
CCR2nncMC_Frequency,27.0,0.08897301170181328
CD8Trm_p38,64.0,0.10067946391366993
Tregmem_p38,64.0,0.10067946391366993
CD41hiCD61hiPLT_S6,72.0,0.10410988966022681
CD56dimCD16pNKcells_NFkB,72.0,0.10410988966022681
MDSC_NFkB,72.0,0.10410988966022681
CD8Tem_IkB,72.0,0.10410988966022681
Bcells_NFkB,71.0,0.12122450301291662
NKT_NFkB,71.0,0.12122450301291662
CCR2pcMC_NFkB,71.0,0.12122450301291662
CD41hiCD61hiPLT_MAPKAPK2,69.5,0.13783840638617662
CD41hiCD61hiPLT_p38,70.0,0.1398679114797594
CD61pCD41pPLT_S6,30.5,0.14938839803135548
MDSC_ERK,69.5,0.15077333785344002
Th1mem_CREB,69.0,0.16197241048012612
CD62LnAgedNeutrophils_p38,69.0,0.16197241048012612
Th1naive_STAT6,31.5,0.17345557371239162
Th1naive_CREB,68.5,0.17345557371239162
CD4Trm_p38,59.5,0.19160110675259334
CD8Tnaive_p38,59.5,0.19160110675259334
CD56dimCD16pNKcells_p38,59.5,0.19160110675259334
MDSC_MAPKAPK2,67.0,0.21229383619233155
CD56brightCD16nNKcells_IkB,67.0,0.21229383619233155
mDC_Frequency,67.0,0.21229383619233155
CD4Tem_Frequency,33.0,0.21229383619233155
Bcells_S6,67.0,0.21229383619233155
CD4Tcm_p38,63.0,0.21428947867143555
CD41hiCD61hiPLT_CREB,65.5,0.2256913612968181
NKT_STAT3,65.0,0.2302122470181358
CD8Trm_Frequency,34.0,0.24132159301718004
intMC_CREB,66.0,0.24132159301718004
CD8Tcm_CREB,66.0,0.24132159301718004
CCR2pcMC_p38,66.0,0.24132159301718004
NKT_IkB,66.0,0.24132159301718004
gdTcells_CREB,66.0,0.24132159301718004
CD4Tem_STAT3,65.0,0.2723141220596529
CD8Tnaive_STAT3,65.0,0.2723141220596529
Th1naive_NFkB,65.0,0.27285596848712856
CD8Tem_Frequency,35.0,0.27303633975118835
intMC_p38,65.0,0.27303633975118835
NKT_CREB,65.0,0.27303633975118835
CD56brightCD16nNKcells_CREB,65.0,0.27303633975118835
CD62LpImmatureNeutrophils_Frequency,36.0,0.3074894566186813
intMC_Frequency,36.0,0.3074894566186813
MDSC_CREB,64.0,0.3074894566186813
Th1mem_ERK,64.0,0.3074894566186813
CD56dimCD16pNKcells_IkB,64.0,0.3074894566186813
Tregmem_Frequency,64.0,0.3074894566186813
CD8Trm_CREB,64.0,0.3074894566186813
Bcells_CREB,64.0,0.3074894566186813
CCR2pcMC_CREB,64.0,0.3074894566186813
Tregnaive_STAT6,63.5,0.3255694067409992
CD8Tcm_p38,59.5,0.33046445910149613
gdTcells_p38,59.5,0.33046445910149613
CD62LpImmatureNeutrophils_CREB,63.0,0.3447042220069576
CD56dimCD16pNKcells_CREB,63.0,0.3447042220069576
CD4Trm_NFkB,63.0,0.3447042220069576
CD4Tnaive_IkB,63.0,0.3447042220069576
CD62LnAgedNeutrophils_NFkB,63.0,0.3447042220069576
gdTcells_IkB,63.0,0.3447042220069576
MDSC_Frequency,63.0,0.3447042220069576
CD4Tnaive_p38,55.0,0.36812025069351895
CD4Tem_STAT5,38.0,0.3846730627355087
CD4Tcm_CREB,62.0,0.3846730627355087
Th1mem_NFkB,62.0,0.3846730627355087
CCR2nncMC_IkB,62.0,0.3846730627355087
CD8Tem_CREB,62.0,0.3846730627355087
MDSC_p38,62.0,0.3846730627355087
NKT_MAPKAPK2,38.0,0.3846730627355087
CCR2pcMC_Frequency,62.0,0.3846730627355087
Tregnaive_STAT5,38.5,0.4055023001299908
Bcells_IkB,61.0,0.4273553138978077
pDC_STAT3,61.0,0.4273553138978077
Tregmem_STAT3,61.0,0.4273553138978077
CD8Tnaive_Frequency,39.0,0.4273553138978077
Tregnaive_STAT3,60.5,0.44952132576702597
Th1naive_MAPKAPK2,60.0,0.472509068324386
gdTcells_MAPKAPK2,40.0,0.47267559351158717
CD4Tem_IkB,60.0,0.47267559351158717
Tregnaive_NFkB,59.5,0.4961297149428171
CD8Tnaive_IkB,59.0,0.5205228832757727
CCR2pcMC_S6,59.0,0.5205228832757727
MDSC_S6,59.0,0.5205228832757727
mDC_CREB,59.0,0.5205228832757727
CD62LnAgedNeutrophils_CREB,59.0,0.5205228832757727
CD8Tnaive_MAPKAPK2,59.0,0.5205228832757727
MDSC_IkB,59.0,0.5205228832757727
Bcells_p38,58.0,0.522232153437141
CD4Tem_CREB,58.0,0.5707503880581739
intMC_NFkB,58.0,0.5707503880581739
Bcells_Frequency,42.0,0.5707503880581739
mDC_S6,42.0,0.5707503880581739
mDC_NFkB,58.0,0.5707503880581739
mDC_IkB,42.0,0.5707503880581739
Th1mem_MAPKAPK2,58.0,0.5707503880581739
CD8Tnaive_CREB,58.0,0.5707503880581739
pDC_MAPKAPK2,42.0,0.5707503880581739
CD8Tcm_MAPKAPK2,58.0,0.5707503880581739
CD8Tem_p38,55.0,0.5842485531772132
CD4Tem_p38,55.0,0.5842485531772132
Tregnaive_CREB,43.0,0.6230455308379078
Th1naive_S6,43.0,0.6230455308379078
CD62LpImmatureNeutrophils_S6,57.0,0.6231762238821174
CD4Tcm_STAT3,57.0,0.6231762238821174
CD8Tcm_IkB,57.0,0.6231762238821174
CD62LnAgedNeutrophils_S6,57.0,0.6231762238821174
CCR2pcMC_ERK,57.0,0.6231762238821174
Th1mem_S6,57.0,0.6231762238821174
CD8Tcm_Frequency,43.0,0.6231762238821174
Th1naive_STAT3,56.0,0.6774705127728922
Th1mem_STAT5,56.0,0.6775849579524755
CCR2pcMC_IkB,56.0,0.6775849579524755
Th1mem_IkB,44.0,0.6775849579524755
pDC_NFkB,56.0,0.6775849579524755
intMC_MAPKAPK2,44.0,0.6775849579524755
CD62LnAgedNeutrophils_MAPKAPK2,56.0,0.6775849579524755
CD56brightCD16nNKcells_MAPKAPK2,56.0,0.6775849579524755
Tregmem_MAPKAPK2,56.0,0.6775849579524755
CD8Trm_IkB,56.0,0.6775849579524755
Bcells_MAPKAPK2,44.0,0.6775849579524755
CD8Tcm_STAT3,55.0,0.731782863391611
Tregnaive_ERK,45.0,0.7336336437678685
Tregnaive_IkB,45.0,0.7336336437678685
CD4Tcm_STAT5,45.0,0.7337299956962472
intMC_ERK,45.0,0.7337299956962472
Tregmem_IkB,45.0,0.7337299956962472
CD61pCD41pPLT_NFkB,54.0,0.7910295772981756
CD56dimCD16pNKcells_Frequency,54.0,0.7913367801006604
pDC_CREB,54.0,0.7913367801006604
CD4Trm_STAT6,46.0,0.7913367801006604
CD4Trm_IkB,54.0,0.7913367801006604
CD4Tcm_MAPKAPK2,46.0,0.7913367801006604
CD62LnAgedNeutrophils_STAT3,54.0,0.7913367801006604
CCR2nncMC_STAT3,54.0,0.7913367801006604
CD4Tcm_Frequency,54.0,0.7913367801006604
intMC_IkB,54.0,0.7913367801006604
CD61pCD41pPLT_IkB,46.0,0.7913367801006604
CCR2nncMC_CREB,54.0,0.7913367801006604
Th1naive_p38,46.5,0.8204630988382954
Th1naive_ERK,46.5,0.8205295061094116
mDC_ERK,47.0,0.8468876804079128
pDC_p38,47.0,0.8468876804079128
CD4Trm_Frequency,47.0,0.8501067391385259
CCR2pcMC_STAT3,47.0,0.8501067391385259
CD62LnAgedNeutrophils_IkB,47.0,0.8501067391385259
CD62LpImmatureNeutrophils_STAT3,53.0,0.8501067391385259
mDC_MAPKAPK2,47.0,0.8501067391385259
mDC_STAT3,47.0,0.8501067391385259
mDC_p38,53.0,0.8501067391385259
pDC_IkB,47.0,0.8501067391385259
Tregnaive_p38,47.5,0.8645050825863402
Th1mem_p38,48.0,0.9090383244564332
CD4Tnaive_STAT5,48.0,0.9097218891455553
CD4Tnaive_MAPKAPK2,52.0,0.9097218891455553
Th1mem_STAT6,52.0,0.9097218891455553
CD4Tnaive_STAT3,52.0,0.9097218891455553
gdTcells_Frequency,48.0,0.9097218891455553
Tregnaive_MAPKAPK2,48.5,0.9397203669477441
CD61pCD41pPLT_STAT3,51.0,0.96839101645673
CD4Trm_STAT3,51.0,0.9691947874250506
intMC_S6,51.0,0.9698499769931556
CD56brightCD16nNKcells_Frequency,51.0,0.9698499769931556
CD8Tem_MAPKAPK2,49.0,0.9698499769931556
MDSC_STAT3,49.0,0.9698499769931556
CD4Tem_MAPKAPK2,51.0,0.9698499769931556
CD8Tnaive_STAT5,49.0,0.9698499769931556
NKT_Frequency,49.0,0.9698499769931556
CD4Tcm_IkB,50.0,1.0
CD4Tnaive_Frequency,50.0,1.0
CD62LpImmatureNeutrophils_IkB,50.0,1.0
intMC_STAT3,50.0,1.0
CD62LnAgedNeutrophils_Frequency,50.0,1.0
Th1mem_STAT3,50.5,1.0
CD4Trm_CREB,50.0,1.0
CCR2pcMC_MAPKAPK2,50.0,1.0
CCR2nncMC_S6,50.0,1.0
CD56brightCD16nNKcells_p38,50.5,1.0
CD56brightCD16nNKcells_NFkB,50.0,1.0
