,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.1,0.0,0.013,0.017,0.019,0.021,0.021,0.022,0.021,0.023,0.023
artificial.2,0.0,0.006,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
artificial.3,0.0,0.048,0.06,0.065,0.068,0.069,0.071,0.074,0.075,0.075
artificial.4,0.0,0.008,0.018,0.02,0.021,0.023,0.026,0.026,0.026,0.029
artificial.5,0.0,0.014,0.021,0.028,0.029,0.028,0.028,0.03,0.034,0.035
artificial.6,0.0,0.001,0.0,0.001,0.001,0.002,0.003,0.004,0.003,0.004
artificial.7,0.0,0.037,0.071,0.092,0.103,0.107,0.111,0.114,0.119,0.12
artificial.8,0.0,0.019,0.027,0.026,0.026,0.03,0.03,0.034,0.033,0.034
artificial.9,0.0,0.001,0.001,0.001,0.0,0.002,0.001,0.002,0.003,0.002
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.0,0.004,0.011,0.013,0.012,0.013,0.012,0.013,0.015,0.014
artificial.12,0.0,0.013,0.012,0.013,0.013,0.013,0.012,0.011,0.012,0.011
artificial.13,0.0,0.012,0.014,0.015,0.014,0.016,0.015,0.016,0.016,0.017
artificial.14,0.0,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004
artificial.15,0.0,0.003,0.003,0.005,0.005,0.006,0.006,0.006,0.006,0.006
artificial.16,0.0,0.027,0.049,0.063,0.069,0.072,0.078,0.081,0.082,0.084
artificial.17,0.0,0.2,0.22,0.23,0.239,0.244,0.252,0.252,0.25,0.258
artificial.18,0.0,0.012,0.017,0.019,0.022,0.021,0.021,0.021,0.022,0.024
artificial.19,0.0,0.047,0.068,0.076,0.083,0.087,0.087,0.087,0.089,0.09
artificial.20,0.0,0.035,0.048,0.053,0.056,0.056,0.058,0.06,0.061,0.061
artificial.21,0.0,0.011,0.014,0.015,0.015,0.015,0.016,0.015,0.017,0.016
artificial.22,0.0,0.078,0.086,0.087,0.092,0.094,0.095,0.095,0.094,0.096
artificial.23,0.0,0.005,0.01,0.011,0.01,0.013,0.014,0.014,0.014,0.013
artificial.24,0.0,0.088,0.098,0.107,0.107,0.111,0.113,0.112,0.114,0.119
artificial.25,0.0,0.026,0.032,0.036,0.036,0.037,0.037,0.037,0.039,0.039
artificial.26,0.0,0.006,0.008,0.008,0.011,0.01,0.011,0.01,0.014,0.013
artificial.27,0.0,0.003,0.007,0.006,0.009,0.008,0.009,0.009,0.009,0.009
artificial.28,0.0,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.003
artificial.29,0.0,0.001,0.003,0.004,0.007,0.006,0.006,0.006,0.006,0.006
artificial.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.0,0.048,0.054,0.059,0.059,0.06,0.063,0.063,0.065,0.064
artificial.32,0.0,0.028,0.03,0.031,0.034,0.039,0.039,0.039,0.039,0.041
artificial.33,0.0,0.001,0.005,0.007,0.007,0.008,0.008,0.008,0.008,0.008
artificial.34,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.005
artificial.35,0.0,0.037,0.056,0.064,0.064,0.067,0.068,0.069,0.072,0.074
artificial.36,0.0,0.052,0.067,0.068,0.074,0.076,0.08,0.081,0.082,0.082
artificial.37,0.0,0.018,0.025,0.024,0.026,0.029,0.028,0.027,0.028,0.028
artificial.38,0.0,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
artificial.39,0.0,0.014,0.016,0.017,0.019,0.021,0.022,0.021,0.023,0.024
artificial.40,0.0,0.102,0.148,0.167,0.174,0.182,0.183,0.185,0.189,0.189
artificial.41,0.0,0.0,0.002,0.003,0.003,0.004,0.005,0.005,0.004,0.006
