,Fold selected features,Fold nb of features
Fold 0,"['Bcells_Frequency', 'CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tem_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_Frequency', 'Th1naive_p38', 'Th1naive_S6', 'Th1naive_IkB', 'Tregmem_Frequency', 'Tregnaive_STAT3']",15
Fold 1,"['Bcells_Frequency', 'CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_Frequency', 'Th1naive_S6', 'Th1naive_IkB', 'Tregmem_Frequency', 'Tregnaive_STAT3']",15
Fold 2,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tem_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1naive_CREB', 'Th1naive_p38', 'Tregmem_Frequency']",13
Fold 3,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tcm_Frequency', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Trm_Frequency', 'gdTcells_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1naive_CREB', 'Th1naive_p38', 'Tregmem_Frequency']",17
Fold 4,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_CREB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'gdTcells_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1naive_CREB', 'Th1naive_p38', 'Tregmem_Frequency', 'Tregnaive_STAT3']",16
Fold 5,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1naive_CREB', 'Th1naive_p38', 'Tregmem_Frequency']",14
Fold 6,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_Frequency', 'Th1naive_p38', 'Th1naive_S6', 'Th1naive_IkB', 'Tregmem_Frequency']",13
Fold 7,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'mDC_Frequency', 'Th1naive_p38', 'Th1naive_S6', 'Th1naive_IkB', 'Tregmem_Frequency', 'Tregnaive_STAT3']",15
Fold 8,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_p38', 'intMC_Frequency', 'mDC_Frequency', 'Th1mem_STAT3', 'Th1naive_CREB']",15
Fold 9,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD62LpImmatureNeutrophils_CREB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_Frequency', 'Th1naive_p38', 'Th1naive_S6', 'Th1naive_IkB', 'Tregmem_Frequency', 'Tregnaive_STAT3']",15
Fold 10,"['Bcells_Frequency', 'CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tem_Frequency', 'CD62LnAgedNeutrophils_p38', 'CD62LpImmatureNeutrophils_CREB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1naive_CREB', 'Th1naive_p38', 'Tregmem_Frequency', 'Tregnaive_STAT3']",16
Fold 11,"['CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_S6', 'CD4Tem_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_p38', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1naive_CREB', 'Th1naive_p38', 'Tregmem_Frequency']",15
Fold 12,"['Bcells_Frequency', 'CD41hiCD61hiPLT_S6', 'CD4Tcm_STAT3', 'CD4Tem_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_Frequency', 'gdTcells_Frequency', 'intMC_CREB', 'mDC_Frequency', 'Th1naive_p38', 'Th1naive_IkB', 'Tregmem_Frequency', 'Tregnaive_STAT3']",13
