,Fold selected features,Fold nb of features
Fold 0,[],0
Fold 1,[],0
Fold 2,"['Bcells_p38', 'Bcells_Frequency', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tem_STAT3', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_IkB', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD8Tcm_Frequency', 'CD8Tnaive_STAT3', 'gdTcells_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'NKT_Frequency', 'Th1mem_STAT3', 'Th1naive_IkB', 'Tregnaive_IkB']",20
Fold 3,[],0
Fold 4,[],0
Fold 5,[],0
Fold 6,"['Bcells_Frequency', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT3', 'CD56brightCD16nNKcells_IkB', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_STAT3', 'intMC_Frequency', 'mDC_Frequency', 'MDSC_STAT3', 'Th1mem_STAT3', 'Th1mem_IkB', 'Th1naive_STAT3', 'Tregmem_Frequency']",18
Fold 7,[],0
Fold 8,[],0
Fold 9,[],0
Fold 10,"['Bcells_Frequency', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tem_Frequency', 'CD4Tnaive_IkB', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_IkB', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_STAT3', 'CD8Tnaive_Frequency', 'intMC_IkB', 'mDC_Frequency', 'MDSC_STAT3', 'MDSC_Frequency', 'NKT_Frequency', 'Th1mem_STAT3', 'Th1naive_IkB', 'Tregmem_Frequency', 'Tregnaive_IkB']",23
Fold 11,[],0
Fold 12,[],0
Fold 13,"['Bcells_Frequency', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'NKT_Frequency', 'Th1mem_IkB', 'Th1naive_IkB']",14
Fold 14,"['Bcells_Frequency', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tem_STAT3', 'CD4Tnaive_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tnaive_STAT3', 'gdTcells_Frequency', 'intMC_Frequency', 'mDC_IkB', 'mDC_Frequency', 'MDSC_Frequency', 'Th1mem_STAT3', 'Th1naive_IkB']",17
Fold 15,[],0
Fold 16,[],0
Fold 17,[],0
Fold 18,"['Bcells_p38', 'Bcells_Frequency', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tcm_Frequency', 'CD4Tem_STAT3', 'CD4Tem_Frequency', 'CD4Tnaive_IkB', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_IkB', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_IkB', 'CD8Tnaive_STAT3', 'intMC_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'NKT_Frequency', 'Th1mem_STAT3', 'Th1naive_STAT3', 'Th1naive_IkB', 'Tregnaive_IkB']",24
Fold 19,[],0
