,Fold selected features,Fold nb of features
Fold 0,"['Bcells_S6', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_STAT6']",8
Fold 1,"['CCR2nncMC_Frequency', 'CD4Tnaive_Frequency', 'CD62LpImmatureNeutrophils_Frequency', 'mDC_Frequency', 'MDSC_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6']",8
Fold 2,['Th1mem_S6'],1
Fold 3,"['CCR2nncMC_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1naive_CREB']",4
Fold 4,"['CCR2nncMC_Frequency', 'Th1naive_CREB']",2
Fold 5,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1naive_CREB', 'Th1naive_MAPKAPK2']",4
Fold 6,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1mem_S6', 'Th1naive_MAPKAPK2']",5
Fold 7,"['CCR2nncMC_Frequency', 'Th1mem_S6']",2
Fold 8,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'mDC_Frequency', 'MDSC_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6', 'Th1naive_STAT6']",16
Fold 9,"['Bcells_S6', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1naive_CREB']",6
Fold 10,"['Bcells_S6', 'CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'mDC_S6', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_STAT6']",10
Fold 11,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6']",2
Fold 12,"['Bcells_S6', 'CCR2nncMC_Frequency', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'Th1mem_S6', 'Th1naive_CREB']",6
Fold 13,"['CCR2nncMC_Frequency', 'CD62LpImmatureNeutrophils_S6', 'Th1mem_S6', 'Th1naive_CREB']",4
Fold 14,"['Bcells_S6', 'CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_MAPKAPK2']",8
Fold 15,['Th1mem_S6'],1
Fold 16,"['CCR2nncMC_Frequency', 'CD62LnAgedNeutrophils_S6', 'Th1naive_CREB']",3
Fold 17,"['CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_Frequency', 'MDSC_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6', 'Th1naive_ERK', 'Th1naive_STAT6']",14
Fold 18,"['CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6']",5
Fold 19,"['Bcells_S6', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'MDSC_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6']",11
