,C'=' 0.041,C'=' 0.487,C'=' 0.933,C'=' 1.379,C'=' 1.825,C'=' 2.271,C'=' 2.717,C'=' 3.163,C'=' 3.609,C'=' 4.055
artificial.1,0.0,0.0,0.014,0.059,0.145,0.244,0.341,0.429,0.518,0.646
artificial.2,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.007,0.025,0.025
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.016
artificial.5,0.0,0.0,0.007,0.02,0.044,0.085,0.095,0.114,0.121,0.14
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.016
artificial.7,0.0,0.0,0.0,0.015,0.026,0.042,0.078,0.119,0.148,0.181
artificial.8,0.0,0.005,0.036,0.077,0.097,0.147,0.154,0.187,0.207,0.265
artificial.9,0.0,0.208,0.434,0.589,0.683,0.737,0.813,0.868,0.898,0.921
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.0,0.107,0.274,0.416,0.601,0.713,0.737,0.79,0.805,0.85
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.024,0.034
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.0,0.987,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.20,0.0,0.0,0.0,0.0,0.015,0.015,0.018,0.024,0.029,0.029
artificial.21,0.0,0.461,0.696,0.781,0.858,0.902,0.913,0.932,0.959,0.966
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.0,0.653,0.788,0.834,0.862,0.893,0.912,0.916,0.939,0.939
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024
artificial.26,0.0,0.653,0.742,0.866,0.894,0.923,0.947,0.953,0.978,0.986
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.0,0.0,0.007,0.04,0.062,0.166,0.278,0.386,0.525,0.599
artificial.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.33,0.0,0.0,0.007,0.014,0.014,0.014,0.014,0.017,0.017,0.033
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.37,0.0,0.0,0.0,0.025,0.045,0.083,0.123,0.206,0.288,0.372
artificial.38,0.0,0.061,0.219,0.344,0.465,0.601,0.663,0.712,0.808,0.863
artificial.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.41,0.0,0.83,0.927,0.963,0.977,0.982,0.99,0.996,0.996,1.0
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.0,0.081,0.118,0.214,0.321,0.456,0.591,0.64,0.692,0.741
artificial.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.45,0.0,0.0,0.0,0.005,0.005,0.014,0.057,0.097,0.159,0.253
artificial.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.47,0.0,0.174,0.541,0.708,0.762,0.824,0.862,0.887,0.905,0.935
artificial.48,0.0,0.005,0.015,0.039,0.048,0.074,0.107,0.146,0.17,0.176
artificial.49,0.0,0.006,0.04,0.141,0.193,0.252,0.359,0.508,0.59,0.676
artificial.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.51,0.0,0.261,0.479,0.616,0.737,0.812,0.856,0.901,0.932,0.952
artificial.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
artificial.58,0.0,0.0,0.0,0.0,0.014,0.019,0.036,0.061,0.096,0.156
artificial.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.019,0.033
artificial.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.0,0.0,0.0,0.0,0.0,0.027,0.068,0.124,0.201,0.326
artificial.62,0.0,0.069,0.089,0.111,0.111,0.111,0.118,0.118,0.126,0.132
artificial.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.65,0.0,0.002,0.035,0.047,0.047,0.058,0.067,0.094,0.106,0.121
artificial.66,0.0,0.0,0.0,0.0,0.009,0.009,0.017,0.055,0.088,0.126
artificial.67,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.013,0.013
artificial.68,0.0,0.006,0.029,0.029,0.042,0.049,0.062,0.079,0.09,0.095
artificial.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.0,0.0,0.0,0.022,0.082,0.135,0.19,0.243,0.304,0.377
artificial.72,0.0,0.213,0.32,0.432,0.526,0.606,0.663,0.704,0.725,0.739
artificial.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.74,0.0,0.258,0.365,0.446,0.525,0.611,0.695,0.729,0.749,0.774
artificial.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.014
artificial.76,0.0,0.0,0.003,0.003,0.009,0.02,0.026,0.065,0.07,0.076
artificial.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
artificial.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011
artificial.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.82,0.0,0.0,0.0,0.0,0.004,0.008,0.025,0.043,0.075,0.085
artificial.83,0.0,0.0,0.0,0.0,0.01,0.012,0.046,0.056,0.063,0.074
artificial.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.86,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.012
artificial.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.88,0.0,0.028,0.054,0.105,0.137,0.154,0.22,0.252,0.309,0.371
artificial.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.029
artificial.90,0.0,0.786,0.882,0.925,0.977,0.979,0.989,0.989,0.989,0.989
artificial.91,0.0,0.52,0.8,0.884,0.923,0.964,0.993,0.998,0.998,1.0
artificial.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.94,0.0,0.092,0.26,0.396,0.503,0.61,0.672,0.703,0.747,0.806
artificial.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.96,0.0,0.073,0.097,0.148,0.276,0.425,0.513,0.617,0.678,0.721
artificial.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.98,0.0,0.2,0.326,0.472,0.639,0.764,0.876,0.914,0.922,0.935
artificial.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006
artificial.101,0.0,0.0,0.027,0.076,0.126,0.178,0.24,0.318,0.41,0.429
artificial.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.103,0.0,0.0,0.015,0.113,0.225,0.281,0.378,0.456,0.56,0.616
artificial.104,0.0,0.0,0.0,0.007,0.014,0.014,0.024,0.038,0.061,0.098
artificial.105,0.0,0.0,0.0,0.019,0.045,0.07,0.082,0.089,0.089,0.095
artificial.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.107,0.0,0.041,0.144,0.212,0.289,0.376,0.429,0.491,0.539,0.577
artificial.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.109,0.0,0.004,0.154,0.317,0.48,0.608,0.713,0.761,0.82,0.841
artificial.110,0.0,0.02,0.218,0.404,0.478,0.599,0.675,0.742,0.802,0.849
artificial.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.114,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.009,0.021,0.027
artificial.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.117,0.0,0.031,0.063,0.082,0.102,0.136,0.159,0.164,0.185,0.23
artificial.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.122,0.0,0.322,0.621,0.784,0.852,0.884,0.895,0.907,0.923,0.932
artificial.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.124,0.0,0.006,0.026,0.072,0.094,0.139,0.195,0.233,0.294,0.327
artificial.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.012,0.035
artificial.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.022
artificial.127,0.0,0.0,0.0,0.0,0.006,0.017,0.022,0.024,0.031,0.047
artificial.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.129,0.0,0.0,0.0,0.0,0.0,0.018,0.021,0.035,0.059,0.103
artificial.130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.009
artificial.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.136,0.0,0.0,0.047,0.078,0.142,0.22,0.29,0.401,0.465,0.529
artificial.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002
artificial.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
artificial.142,0.0,0.0,0.0,0.01,0.032,0.056,0.082,0.117,0.155,0.213
artificial.143,0.0,0.006,0.027,0.06,0.104,0.203,0.3,0.406,0.522,0.601
artificial.144,0.0,0.152,0.504,0.668,0.777,0.825,0.861,0.882,0.895,0.902
artificial.145,0.0,0.864,0.915,0.961,0.969,0.982,0.995,1.0,1.0,1.0
artificial.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.147,0.0,0.541,0.68,0.749,0.773,0.829,0.889,0.91,0.929,0.94
artificial.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.151,0.0,0.037,0.148,0.308,0.383,0.474,0.536,0.598,0.648,0.688
artificial.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.037
artificial.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.017,0.022
artificial.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.013
artificial.155,0.0,0.057,0.146,0.2,0.237,0.306,0.337,0.391,0.444,0.511
artificial.156,0.0,0.968,0.982,0.985,0.995,0.995,0.995,0.995,0.995,0.995
artificial.157,0.0,0.209,0.335,0.481,0.589,0.741,0.8,0.845,0.872,0.907
artificial.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
artificial.160,0.0,0.515,0.755,0.887,0.938,0.979,0.99,0.99,0.99,0.99
artificial.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.162,0.0,0.411,0.738,0.844,0.883,0.935,0.945,0.959,0.973,0.978
artificial.163,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.012,0.014
artificial.164,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.008,0.012
artificial.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.166,0.0,0.005,0.005,0.005,0.01,0.01,0.034,0.044,0.048,0.07
artificial.167,0.0,0.0,0.016,0.016,0.027,0.033,0.037,0.055,0.08,0.103
artificial.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.169,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
artificial.170,0.0,0.005,0.014,0.027,0.056,0.078,0.095,0.109,0.138,0.172
artificial.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.02,0.02
artificial.172,0.0,0.426,0.695,0.742,0.8,0.848,0.89,0.93,0.962,0.967
artificial.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002
artificial.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
artificial.175,0.0,0.0,0.005,0.015,0.05,0.084,0.129,0.205,0.279,0.375
artificial.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
