,Fold selected features,Fold nb of features
Fold 0,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD56brightCD16nNKcells_Frequency']",3
Fold 1,"['CD62LnAgedNeutrophils_S6', 'Th1naive_CREB']",2
Fold 2,[],0
Fold 3,"['CCR2nncMC_Frequency', 'Th1naive_CREB']",2
Fold 4,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6', 'Th1naive_STAT6', 'Th1naive_MAPKAPK2']",12
Fold 5,"['CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'mDC_Frequency', 'Th1mem_S6', 'Th1naive_CREB', 'Th1naive_S6', 'Th1naive_STAT6', 'Th1naive_MAPKAPK2']",13
Fold 6,"['CD56brightCD16nNKcells_Frequency', 'CD62LnAgedNeutrophils_S6', 'gdTcells_Frequency', 'Th1mem_S6', 'Th1naive_STAT6']",5
Fold 7,"['CCR2nncMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'Th1mem_S6']",3
Fold 8,"['CCR2nncMC_Frequency', 'CD4Tnaive_Frequency', 'CD56brightCD16nNKcells_Frequency', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'intMC_S6', 'Th1mem_S6', 'Th1naive_CREB']",8
Fold 9,[],0
Fold 10,[],0
Fold 11,[],0
Fold 12,"['CD4Trm_STAT6', 'CD56brightCD16nNKcells_Frequency', 'Th1naive_CREB']",3
Fold 13,[],0
Fold 14,[],0
Fold 15,"['CCR2nncMC_Frequency', 'CCR2pcMC_Frequency', 'MDSC_Frequency', 'Th1mem_S6', 'Th1naive_STAT6']",5
Fold 16,"['CCR2nncMC_Frequency', 'CD4Trm_STAT6']",2
Fold 17,"['CCR2pcMC_Frequency', 'CD56brightCD16nNKcells_Frequency', 'gdTcells_Frequency', 'Th1naive_CREB']",4
Fold 18,[],0
Fold 19,[],0
