,C'=' 0.044,C'=' 0.530,C'=' 1.015,C'=' 1.501,C'=' 1.986,C'=' 2.472,C'=' 2.957,C'=' 3.443,C'=' 3.928,C'=' 4.414
Bcells_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_S6,0.0,0.001,0.006,0.013,0.017,0.023,0.027,0.029,0.034,0.039
Bcells_NFkB,0.0,0.0,0.0,0.001,0.002,0.003,0.004,0.006,0.007,0.008
Bcells_Frequency,0.0,0.009,0.026,0.053,0.084,0.1,0.119,0.152,0.178,0.191
CCR2nncMC_CREB,0.0,0.074,0.088,0.103,0.115,0.129,0.141,0.151,0.166,0.176
CCR2nncMC_STAT3,0.0,0.048,0.061,0.075,0.088,0.102,0.111,0.121,0.129,0.136
CCR2nncMC_S6,0.0,0.81,0.839,0.851,0.863,0.871,0.875,0.88,0.888,0.891
CCR2nncMC_NFkB,0.0,0.684,0.775,0.809,0.836,0.857,0.873,0.892,0.901,0.911
CCR2nncMC_Frequency,0.0,0.193,0.21,0.219,0.226,0.24,0.246,0.258,0.26,0.263
CCR2pcMC_CREB,0.0,0.027,0.038,0.044,0.049,0.058,0.062,0.072,0.079,0.086
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.004,0.004,0.004
CCR2pcMC_STAT3,0.0,0.006,0.009,0.012,0.018,0.019,0.021,0.025,0.028,0.032
CCR2pcMC_S6,0.0,0.464,0.6,0.667,0.705,0.746,0.784,0.813,0.83,0.843
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001
CCR2pcMC_NFkB,0.0,0.195,0.218,0.226,0.242,0.254,0.265,0.271,0.279,0.289
CCR2pcMC_ERK,0.0,0.012,0.025,0.037,0.044,0.055,0.069,0.078,0.088,0.097
CCR2pcMC_MAPKAPK2,0.0,0.049,0.079,0.093,0.109,0.123,0.135,0.14,0.156,0.169
CCR2pcMC_Frequency,0.0,0.366,0.499,0.55,0.579,0.607,0.642,0.66,0.677,0.695
CD41hiCD61hiPLT_p38,0.0,0.528,0.617,0.667,0.697,0.724,0.747,0.76,0.772,0.789
CD41hiCD61hiPLT_S6,0.0,0.166,0.241,0.275,0.304,0.323,0.349,0.371,0.386,0.403
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.858,0.906,0.92,0.931,0.94,0.948,0.951,0.96,0.963
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.008,0.02,0.033,0.042,0.052,0.055,0.061,0.064,0.068
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_IkB,0.0,0.041,0.07,0.093,0.119,0.146,0.168,0.189,0.206,0.226
CD4Tcm_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.003,0.014,0.022,0.031,0.034,0.045,0.054,0.064,0.068
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT5,0.0,0.017,0.023,0.028,0.036,0.04,0.049,0.058,0.068,0.074
CD4Tem_STAT3,0.0,0.031,0.067,0.106,0.137,0.17,0.203,0.24,0.258,0.281
CD4Tem_IkB,0.0,0.0,0.001,0.002,0.003,0.005,0.006,0.009,0.013,0.016
CD4Tem_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_Frequency,0.0,0.16,0.215,0.26,0.287,0.303,0.325,0.345,0.363,0.377
CD4Tnaive_STAT5,0.0,0.124,0.184,0.207,0.224,0.233,0.236,0.24,0.247,0.251
CD4Tnaive_STAT3,0.0,0.0,0.001,0.001,0.006,0.007,0.007,0.009,0.011,0.013
CD4Tnaive_IkB,0.0,0.0,0.001,0.002,0.003,0.003,0.003,0.004,0.005,0.008
CD4Tnaive_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_Frequency,0.0,0.314,0.4,0.439,0.474,0.489,0.507,0.53,0.541,0.558
CD4Trm_CREB,0.0,0.004,0.008,0.009,0.011,0.012,0.015,0.019,0.02,0.023
CD4Trm_STAT5,0.0,0.049,0.103,0.148,0.166,0.196,0.225,0.247,0.266,0.288
CD4Trm_STAT3,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.008
CD4Trm_IkB,0.0,0.106,0.158,0.21,0.249,0.281,0.313,0.339,0.365,0.386
CD4Trm_NFkB,0.0,0.014,0.061,0.091,0.12,0.138,0.155,0.171,0.189,0.209
CD4Trm_STAT6,0.0,0.606,0.68,0.72,0.746,0.765,0.78,0.797,0.807,0.821
CD4Trm_Frequency,0.0,0.181,0.241,0.274,0.301,0.321,0.334,0.35,0.365,0.38
CD56brightCD16nNKcells_CREB,0.0,0.001,0.01,0.017,0.022,0.028,0.034,0.043,0.045,0.055
CD56brightCD16nNKcells_IkB,0.0,0.0,0.001,0.001,0.002,0.005,0.008,0.01,0.014,0.017
CD56brightCD16nNKcells_NFkB,0.0,0.014,0.069,0.126,0.174,0.205,0.251,0.287,0.318,0.346
CD56brightCD16nNKcells_Frequency,0.0,0.365,0.498,0.565,0.62,0.65,0.675,0.694,0.711,0.721
CD56dimCD16pNKcells_CREB,0.0,0.085,0.103,0.119,0.124,0.135,0.141,0.145,0.15,0.156
CD56dimCD16pNKcells_NFkB,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.004,0.006
CD56dimCD16pNKcells_Frequency,0.0,0.304,0.35,0.366,0.376,0.381,0.39,0.399,0.404,0.409
CD61pCD41pPLT_CREB,0.0,0.281,0.384,0.437,0.484,0.527,0.552,0.569,0.596,0.618
CD61pCD41pPLT_STAT3,0.0,0.519,0.631,0.667,0.702,0.73,0.756,0.767,0.773,0.784
CD61pCD41pPLT_S6,0.0,0.153,0.214,0.25,0.282,0.298,0.315,0.327,0.338,0.35
CD61pCD41pPLT_IkB,0.0,0.003,0.016,0.022,0.031,0.04,0.052,0.06,0.066,0.07
CD61pCD41pPLT_NFkB,0.0,0.001,0.004,0.006,0.009,0.012,0.015,0.017,0.02,0.021
CD62LnAgedNeutrophils_CREB,0.0,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
CD62LnAgedNeutrophils_p38,0.0,0.028,0.072,0.12,0.163,0.192,0.213,0.229,0.242,0.256
CD62LnAgedNeutrophils_STAT3,0.0,0.275,0.365,0.403,0.439,0.459,0.48,0.501,0.514,0.524
CD62LnAgedNeutrophils_S6,0.0,0.45,0.503,0.542,0.574,0.611,0.635,0.664,0.685,0.702
CD62LnAgedNeutrophils_IkB,0.0,0.215,0.328,0.384,0.414,0.435,0.456,0.474,0.487,0.497
CD62LnAgedNeutrophils_MAPKAPK2,0.0,0.013,0.019,0.024,0.03,0.034,0.047,0.056,0.073,0.088
CD62LnAgedNeutrophils_Frequency,0.0,0.001,0.006,0.009,0.011,0.012,0.013,0.015,0.018,0.019
CD62LpImmatureNeutrophils_CREB,0.0,0.104,0.146,0.171,0.204,0.238,0.267,0.284,0.303,0.325
CD62LpImmatureNeutrophils_STAT3,0.0,0.037,0.077,0.108,0.131,0.151,0.178,0.192,0.205,0.223
CD62LpImmatureNeutrophils_S6,0.0,0.314,0.334,0.344,0.367,0.388,0.41,0.426,0.436,0.452
CD62LpImmatureNeutrophils_IkB,0.0,0.787,0.849,0.883,0.901,0.907,0.916,0.92,0.927,0.933
CD62LpImmatureNeutrophils_Frequency,0.0,0.026,0.027,0.028,0.03,0.031,0.031,0.036,0.045,0.052
CD8Tcm_CREB,0.0,0.167,0.231,0.257,0.267,0.278,0.297,0.315,0.324,0.333
CD8Tcm_STAT5,0.0,0.002,0.004,0.006,0.014,0.019,0.021,0.029,0.029,0.042
CD8Tcm_STAT3,0.0,0.006,0.016,0.022,0.036,0.051,0.068,0.081,0.097,0.118
CD8Tcm_IkB,0.0,0.0,0.0,0.0,0.002,0.004,0.004,0.007,0.008,0.011
CD8Tcm_NFkB,0.0,0.001,0.002,0.004,0.008,0.01,0.011,0.012,0.013,0.015
CD8Tcm_Frequency,0.0,0.009,0.04,0.069,0.097,0.116,0.135,0.155,0.165,0.191
CD8Tem_CREB,0.0,0.007,0.014,0.019,0.024,0.03,0.031,0.033,0.037,0.04
CD8Tem_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_CREB,0.0,0.003,0.004,0.005,0.004,0.005,0.008,0.01,0.011,0.011
CD8Tnaive_STAT5,0.0,0.128,0.149,0.155,0.17,0.173,0.175,0.179,0.182,0.19
CD8Tnaive_STAT3,0.0,0.005,0.009,0.016,0.016,0.018,0.02,0.025,0.031,0.04
CD8Tnaive_IkB,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.002
CD8Tnaive_NFkB,0.0,0.041,0.054,0.068,0.076,0.087,0.091,0.098,0.107,0.117
CD8Tnaive_Frequency,0.0,0.025,0.043,0.062,0.066,0.069,0.084,0.091,0.098,0.105
CD8Trm_CREB,0.0,0.025,0.034,0.045,0.054,0.064,0.074,0.079,0.084,0.086
CD8Trm_NFkB,0.0,0.001,0.001,0.001,0.001,0.002,0.004,0.004,0.005,0.005
CD8Trm_Frequency,0.0,0.015,0.026,0.034,0.037,0.042,0.044,0.045,0.047,0.049
gdTcells_CREB,0.0,0.036,0.051,0.054,0.055,0.056,0.057,0.059,0.06,0.064
gdTcells_IkB,0.0,0.007,0.011,0.014,0.017,0.019,0.021,0.029,0.033,0.034
gdTcells_NFkB,0.0,0.069,0.108,0.141,0.157,0.17,0.188,0.198,0.209,0.227
gdTcells_STAT6,0.0,0.006,0.011,0.02,0.03,0.041,0.046,0.052,0.058,0.068
gdTcells_Frequency,0.0,0.113,0.189,0.244,0.282,0.327,0.36,0.388,0.412,0.428
intMC_CREB,0.0,0.103,0.128,0.163,0.184,0.197,0.227,0.24,0.253,0.273
intMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMC_STAT3,0.0,0.023,0.052,0.075,0.088,0.101,0.11,0.117,0.128,0.137
intMC_S6,0.0,0.934,0.954,0.964,0.975,0.979,0.983,0.99,0.992,0.992
intMC_IkB,0.0,0.0,0.002,0.006,0.01,0.011,0.012,0.015,0.016,0.018
intMC_NFkB,0.0,0.001,0.002,0.003,0.006,0.014,0.017,0.022,0.027,0.028
intMC_ERK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001
intMC_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.002
intMC_Frequency,0.0,0.038,0.079,0.117,0.151,0.179,0.205,0.228,0.255,0.268
mDC_CREB,0.0,0.002,0.006,0.006,0.006,0.006,0.007,0.008,0.008,0.009
mDC_p38,0.0,0.001,0.001,0.002,0.003,0.004,0.004,0.005,0.005,0.007
mDC_STAT3,0.0,0.033,0.051,0.071,0.088,0.102,0.111,0.118,0.126,0.133
mDC_S6,0.0,0.542,0.496,0.51,0.522,0.535,0.553,0.572,0.592,0.609
mDC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.003
mDC_NFkB,0.0,0.272,0.326,0.363,0.391,0.42,0.452,0.485,0.515,0.541
mDC_ERK,0.0,0.009,0.021,0.026,0.042,0.05,0.064,0.071,0.084,0.093
mDC_MAPKAPK2,0.0,0.183,0.229,0.262,0.284,0.297,0.312,0.325,0.33,0.345
