,C'=' 0.044,C'=' 0.530,C'=' 1.015,C'=' 1.501,C'=' 1.986,C'=' 2.472,C'=' 2.957,C'=' 3.443,C'=' 3.928,C'=' 4.414
Bcells_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2nncMC_CREB,0.0,0.007,0.01,0.01,0.01,0.013,0.013,0.013,0.016,0.017
CCR2nncMC_STAT3,0.0,0.005,0.007,0.01,0.009,0.008,0.008,0.009,0.009,0.01
CCR2nncMC_S6,0.0,0.555,0.582,0.587,0.589,0.595,0.604,0.609,0.608,0.619
CCR2nncMC_NFkB,0.0,0.234,0.306,0.328,0.341,0.353,0.365,0.367,0.368,0.378
CCR2nncMC_Frequency,0.0,0.054,0.091,0.102,0.108,0.115,0.121,0.119,0.124,0.125
CCR2pcMC_CREB,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.002,0.0
CCR2pcMC_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_S6,0.0,0.012,0.014,0.013,0.014,0.015,0.016,0.015,0.017,0.023
CCR2pcMC_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2pcMC_NFkB,0.0,0.075,0.075,0.073,0.074,0.077,0.077,0.077,0.079,0.078
CCR2pcMC_ERK,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001
CCR2pcMC_MAPKAPK2,0.0,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002
CCR2pcMC_Frequency,0.0,0.019,0.039,0.039,0.048,0.052,0.051,0.052,0.053,0.056
CD41hiCD61hiPLT_p38,0.0,0.042,0.055,0.062,0.07,0.075,0.075,0.076,0.08,0.085
CD41hiCD61hiPLT_S6,0.0,0.013,0.039,0.051,0.059,0.068,0.072,0.079,0.084,0.086
CD41hiCD61hiPLT_MAPKAPK2,0.0,0.495,0.575,0.601,0.617,0.623,0.636,0.648,0.647,0.659
CD4Tcm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_STAT5,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001
CD4Tcm_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_IkB,0.0,0.002,0.003,0.004,0.005,0.005,0.005,0.006,0.005,0.005
CD4Tcm_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_STAT5,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001
CD4Tem_STAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
