,Max Proba
artificial.106,0.665
artificial.88,0.584
artificial.69,0.452
artificial.31,0.32
artificial.65,0.279
artificial.40,0.267
artificial.49,0.257
artificial.30,0.25
artificial.67,0.227
artificial.44,0.194
artificial.68,0.192
artificial.91,0.19
artificial.64,0.183
artificial.125,0.18
artificial.119,0.144
artificial.102,0.144
artificial.146,0.128
artificial.124,0.121
artificial.109,0.118
artificial.76,0.1
artificial.74,0.092
artificial.95,0.074
artificial.151,0.074
artificial.34,0.067
artificial.22,0.067
artificial.96,0.063
artificial.54,0.059
artificial.157,0.057
artificial.136,0.056
artificial.25,0.054
artificial.130,0.053
artificial.73,0.045
artificial.127,0.041
artificial.60,0.039
artificial.148,0.038
artificial.71,0.033
artificial.42,0.031
artificial.155,0.031
artificial.114,0.03
artificial.13,0.028
artificial.156,0.026
artificial.56,0.026
artificial.128,0.025
artificial.94,0.024
artificial.131,0.023
artificial.47,0.023
artificial.80,0.02
artificial.90,0.019
artificial.1,0.019
artificial.59,0.017
artificial.143,0.015
artificial.145,0.014
artificial.72,0.013
artificial.63,0.012
artificial.140,0.012
artificial.55,0.011
artificial.123,0.011
artificial.18,0.01
artificial.139,0.009
artificial.86,0.007
artificial.10,0.007
artificial.82,0.007
artificial.108,0.007
artificial.99,0.006
artificial.36,0.006
artificial.5,0.006
artificial.66,0.006
artificial.117,0.006
artificial.89,0.005
artificial.158,0.005
artificial.142,0.005
artificial.154,0.005
artificial.112,0.004
artificial.141,0.004
artificial.84,0.004
artificial.113,0.003
artificial.122,0.003
artificial.92,0.003
artificial.50,0.003
artificial.61,0.003
artificial.15,0.002
artificial.83,0.002
artificial.85,0.002
artificial.32,0.002
artificial.70,0.002
artificial.98,0.001
artificial.16,0.001
artificial.39,0.001
artificial.116,0.001
artificial.115,0.001
artificial.134,0.001
artificial.110,0.001
artificial.20,0.001
artificial.33,0.001
artificial.17,0.001
artificial.152,0.001
artificial.26,0.001
artificial.150,0.001
artificial.147,0.0
artificial.3,0.0
artificial.12,0.0
artificial.129,0.0
artificial.11,0.0
artificial.62,0.0
artificial.132,0.0
artificial.133,0.0
artificial.4,0.0
artificial.52,0.0
artificial.53,0.0
artificial.153,0.0
artificial.135,0.0
artificial.9,0.0
artificial.8,0.0
artificial.6,0.0
artificial.137,0.0
artificial.138,0.0
artificial.149,0.0
artificial.45,0.0
artificial.58,0.0
artificial.14,0.0
artificial.46,0.0
artificial.144,0.0
artificial.48,0.0
artificial.7,0.0
artificial.57,0.0
artificial.2,0.0
artificial.126,0.0
artificial.43,0.0
artificial.79,0.0
artificial.78,0.0
artificial.77,0.0
artificial.87,0.0
artificial.29,0.0
artificial.28,0.0
artificial.27,0.0
artificial.75,0.0
artificial.93,0.0
artificial.24,0.0
artificial.23,0.0
artificial.97,0.0
artificial.100,0.0
artificial.101,0.0
artificial.21,0.0
artificial.103,0.0
artificial.51,0.0
artificial.105,0.0
artificial.107,0.0
artificial.35,0.0
artificial.19,0.0
artificial.111,0.0
artificial.37,0.0
artificial.38,0.0
artificial.118,0.0
artificial.81,0.0
artificial.120,0.0
artificial.121,0.0
artificial.41,0.0
artificial.104,0.0
