,Max Proba
artificial.16,0.717
artificial.14,0.663
artificial.13,0.61
artificial.27,0.599
artificial.3,0.531
artificial.15,0.519
artificial.40,0.499
artificial.39,0.483
artificial.26,0.463
artificial.31,0.428
artificial.22,0.419
artificial.36,0.388
artificial.11,0.363
artificial.18,0.354
artificial.34,0.35
artificial.33,0.341
artificial.9,0.323
artificial.24,0.31
artificial.19,0.304
artificial.42,0.284
artificial.20,0.283
artificial.30,0.261
artificial.12,0.25
artificial.37,0.248
artificial.2,0.246
artificial.1,0.244
artificial.7,0.243
artificial.8,0.219
artificial.23,0.217
artificial.32,0.2
artificial.17,0.196
artificial.29,0.188
artificial.4,0.186
artificial.25,0.184
artificial.28,0.177
artificial.38,0.169
artificial.41,0.133
artificial.6,0.127
artificial.10,0.115
artificial.43,0.097
artificial.5,0.097
artificial.35,0.09
artificial.21,0.084
