,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
Bcells_p38,0.0,0.068,0.088,0.103,0.111,0.124,0.134,0.142,0.151,0.164
Bcells_Frequency,0.0,0.131,0.161,0.185,0.205,0.215,0.227,0.24,0.254,0.264
CCR2nncMC_Frequency,0.0,0.223,0.27,0.292,0.312,0.328,0.34,0.349,0.363,0.372
CCR2pcMC_CREB,0.0,0.143,0.205,0.237,0.258,0.273,0.297,0.313,0.329,0.339
CCR2pcMC_p38,0.0,0.018,0.032,0.043,0.061,0.077,0.092,0.108,0.118,0.13
CCR2pcMC_MAPKAPK2,0.0,0.065,0.086,0.102,0.123,0.14,0.149,0.162,0.176,0.19
CCR2pcMC_Frequency,0.0,0.114,0.156,0.173,0.188,0.204,0.216,0.228,0.239,0.251
CD41hiCD61hiPLT_p38,0.0,0.548,0.597,0.63,0.648,0.666,0.673,0.684,0.69,0.698
CD41hiCD61hiPLT_S6,0.0,0.388,0.399,0.407,0.41,0.416,0.423,0.425,0.431,0.439
CD4Tcm_STAT3,0.0,0.152,0.188,0.202,0.211,0.221,0.225,0.23,0.237,0.242
CD4Tcm_Frequency,0.0,0.233,0.287,0.323,0.342,0.37,0.383,0.398,0.408,0.416
CD4Tem_Frequency,0.0,0.147,0.19,0.216,0.232,0.25,0.267,0.278,0.299,0.321
CD4Tnaive_STAT3,0.0,0.057,0.084,0.1,0.112,0.12,0.125,0.132,0.135,0.145
CD4Tnaive_Frequency,0.0,0.238,0.345,0.385,0.414,0.429,0.459,0.475,0.488,0.502
CD56dimCD16pNKcells_Frequency,0.0,0.195,0.288,0.331,0.355,0.368,0.39,0.406,0.419,0.429
CD62LnAgedNeutrophils_p38,0.0,0.11,0.146,0.164,0.179,0.198,0.206,0.215,0.227,0.24
CD62LpImmatureNeutrophils_Frequency,0.0,0.26,0.287,0.306,0.324,0.335,0.343,0.35,0.358,0.364
CD8Tcm_Frequency,0.001,0.019,0.016,0.019,0.024,0.027,0.032,0.033,0.042,0.049
CD8Tem_Frequency,0.0,0.353,0.403,0.435,0.465,0.489,0.497,0.509,0.524,0.536
CD8Tnaive_Frequency,0.0,0.133,0.232,0.28,0.308,0.329,0.346,0.354,0.365,0.379
CD8Trm_Frequency,0.0,0.287,0.346,0.385,0.412,0.423,0.443,0.452,0.472,0.482
gdTcells_Frequency,0.0,0.276,0.328,0.357,0.378,0.397,0.412,0.423,0.431,0.441
intMC_CREB,0.0,0.172,0.228,0.261,0.287,0.299,0.314,0.326,0.334,0.347
intMC_p38,0.0,0.031,0.058,0.08,0.093,0.101,0.106,0.119,0.126,0.134
intMC_Frequency,0.0,0.223,0.283,0.322,0.35,0.383,0.396,0.409,0.418,0.43
mDC_CREB,0.0,0.044,0.074,0.09,0.099,0.113,0.123,0.137,0.143,0.155
mDC_p38,0.0,0.03,0.042,0.053,0.067,0.074,0.082,0.093,0.104,0.109
mDC_STAT3,0.0,0.012,0.022,0.041,0.05,0.057,0.064,0.067,0.071,0.076
mDC_Frequency,0.0,0.286,0.412,0.453,0.473,0.493,0.51,0.524,0.533,0.54
MDSC_CREB,0.0,0.132,0.182,0.215,0.238,0.251,0.267,0.282,0.29,0.309
MDSC_p38,0.0,0.008,0.016,0.022,0.037,0.048,0.054,0.068,0.074,0.081
MDSC_STAT3,0.0,0.011,0.017,0.022,0.026,0.028,0.032,0.037,0.04,0.043
MDSC_MAPKAPK2,0.0,0.088,0.133,0.156,0.172,0.195,0.205,0.213,0.222,0.235
MDSC_Frequency,0.0,0.182,0.204,0.211,0.225,0.232,0.247,0.258,0.269,0.273
NKT_Frequency,0.0,0.013,0.026,0.034,0.044,0.051,0.056,0.063,0.066,0.072
Th1mem_STAT3,0.0,0.055,0.079,0.093,0.107,0.121,0.134,0.144,0.157,0.166
Th1naive_CREB,0.0,0.287,0.358,0.388,0.419,0.44,0.457,0.474,0.484,0.5
Th1naive_p38,0.0,0.14,0.186,0.209,0.224,0.24,0.25,0.26,0.266,0.275
Th1naive_STAT3,0.0,0.134,0.193,0.219,0.241,0.262,0.276,0.285,0.301,0.312
Th1naive_MAPKAPK2,0.0,0.195,0.286,0.312,0.331,0.355,0.37,0.384,0.395,0.407
Tregmem_Frequency,0.0,0.35,0.431,0.47,0.509,0.532,0.556,0.574,0.588,0.597
Tregnaive_STAT3,0.0,0.13,0.15,0.163,0.179,0.196,0.206,0.223,0.229,0.238
Tregnaive_IkB,0.0,0.03,0.062,0.086,0.101,0.111,0.119,0.127,0.137,0.14
