,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
Bcells_p38,0.0,0.095,0.122,0.133,0.138,0.145,0.149,0.154,0.157,0.161
Bcells_Frequency,0.0,0.113,0.137,0.152,0.167,0.173,0.177,0.183,0.191,0.195
CCR2nncMC_Frequency,0.0,0.263,0.328,0.351,0.369,0.388,0.403,0.419,0.431,0.439
CCR2pcMC_CREB,0.0,0.118,0.14,0.159,0.172,0.179,0.188,0.199,0.207,0.216
CCR2pcMC_p38,0.0,0.009,0.02,0.024,0.031,0.034,0.042,0.051,0.056,0.062
CCR2pcMC_MAPKAPK2,0.0,0.049,0.067,0.078,0.087,0.099,0.103,0.106,0.116,0.123
CCR2pcMC_Frequency,0.0,0.092,0.114,0.124,0.136,0.152,0.16,0.165,0.17,0.181
CD41hiCD61hiPLT_p38,0.0,0.471,0.507,0.531,0.545,0.556,0.57,0.581,0.589,0.599
CD41hiCD61hiPLT_S6,0.0,0.335,0.374,0.395,0.405,0.413,0.422,0.427,0.433,0.436
CD4Tcm_STAT3,0.0,0.12,0.151,0.169,0.178,0.18,0.185,0.197,0.205,0.217
CD4Tcm_Frequency,0.0,0.102,0.137,0.155,0.166,0.183,0.191,0.202,0.211,0.223
CD4Tem_Frequency,0.0,0.263,0.326,0.361,0.39,0.42,0.437,0.451,0.46,0.468
CD4Tnaive_STAT3,0.0,0.072,0.089,0.104,0.112,0.115,0.12,0.128,0.133,0.142
CD4Tnaive_Frequency,0.0,0.119,0.154,0.18,0.206,0.213,0.222,0.236,0.247,0.259
CD56dimCD16pNKcells_Frequency,0.0,0.06,0.086,0.107,0.122,0.13,0.14,0.152,0.159,0.17
CD62LnAgedNeutrophils_p38,0.0,0.127,0.15,0.163,0.174,0.184,0.192,0.206,0.217,0.223
CD62LpImmatureNeutrophils_Frequency,0.0,0.299,0.334,0.353,0.366,0.371,0.38,0.387,0.391,0.395
CD8Tcm_Frequency,0.0,0.022,0.028,0.033,0.034,0.035,0.037,0.037,0.04,0.043
CD8Tem_Frequency,0.0,0.385,0.447,0.482,0.51,0.526,0.542,0.556,0.569,0.583
CD8Tnaive_Frequency,0.0,0.063,0.093,0.119,0.134,0.152,0.167,0.179,0.193,0.206
CD8Trm_Frequency,0.0,0.257,0.302,0.326,0.351,0.373,0.387,0.407,0.419,0.43
gdTcells_Frequency,0.0,0.318,0.356,0.379,0.392,0.399,0.405,0.413,0.421,0.425
intMC_CREB,0.0,0.132,0.17,0.186,0.199,0.21,0.218,0.231,0.238,0.246
intMC_p38,0.0,0.006,0.017,0.021,0.026,0.031,0.035,0.042,0.046,0.05
intMC_Frequency,0.0,0.167,0.201,0.219,0.234,0.243,0.25,0.257,0.263,0.269
mDC_CREB,0.0,0.036,0.06,0.075,0.08,0.09,0.097,0.104,0.109,0.115
mDC_p38,0.0,0.019,0.025,0.03,0.034,0.041,0.048,0.053,0.056,0.061
mDC_STAT3,0.0,0.011,0.019,0.024,0.027,0.033,0.036,0.038,0.039,0.042
mDC_Frequency,0.0,0.018,0.041,0.049,0.058,0.069,0.076,0.079,0.09,0.095
MDSC_CREB,0.0,0.124,0.149,0.16,0.175,0.189,0.196,0.206,0.211,0.224
MDSC_p38,0.0,0.001,0.005,0.008,0.012,0.016,0.019,0.025,0.029,0.033
MDSC_STAT3,0.0,0.021,0.033,0.039,0.045,0.053,0.057,0.065,0.069,0.073
MDSC_MAPKAPK2,0.0,0.073,0.099,0.118,0.132,0.139,0.153,0.159,0.164,0.169
MDSC_Frequency,0.0,0.187,0.211,0.227,0.236,0.238,0.249,0.26,0.268,0.273
NKT_Frequency,0.0,0.022,0.03,0.037,0.042,0.047,0.052,0.056,0.057,0.062
Th1mem_STAT3,0.0,0.025,0.04,0.048,0.056,0.065,0.07,0.072,0.076,0.079
Th1naive_CREB,0.0,0.216,0.264,0.298,0.317,0.334,0.348,0.365,0.378,0.388
Th1naive_p38,0.0,0.105,0.142,0.16,0.169,0.187,0.195,0.205,0.213,0.219
Th1naive_STAT3,0.0,0.095,0.116,0.126,0.134,0.15,0.156,0.166,0.17,0.178
Th1naive_MAPKAPK2,0.0,0.104,0.149,0.168,0.18,0.201,0.218,0.224,0.234,0.244
Tregmem_Frequency,0.0,0.189,0.224,0.243,0.271,0.281,0.291,0.301,0.312,0.32
Tregnaive_STAT3,0.0,0.107,0.121,0.132,0.14,0.145,0.153,0.16,0.165,0.175
Tregnaive_IkB,0.0,0.018,0.027,0.031,0.039,0.044,0.047,0.055,0.061,0.063
