,Max Proba
CD41hiCD61hiPLT_p38,0.356
gdTcells_Frequency,0.328
Tregmem_Frequency,0.301
mDC_Frequency,0.263
CD41hiCD61hiPLT_S6,0.249
CD8Tem_Frequency,0.249
CD62LpImmatureNeutrophils_Frequency,0.223
CD4Tcm_Frequency,0.203
intMC_Frequency,0.194
Th1naive_CREB,0.19
CD56dimCD16pNKcells_Frequency,0.185
CCR2nncMC_Frequency,0.17
CD8Tnaive_Frequency,0.154
CD8Trm_Frequency,0.138
Th1naive_MAPKAPK2,0.132
CD4Tnaive_Frequency,0.12
Th1naive_p38,0.119
Th1naive_STAT3,0.085
MDSC_Frequency,0.083
Th1mem_STAT3,0.065
CD4Tcm_STAT3,0.061
Tregnaive_STAT3,0.053
Bcells_Frequency,0.045
CD4Tem_Frequency,0.04
MDSC_CREB,0.03
intMC_CREB,0.027
Bcells_p38,0.023
CD62LnAgedNeutrophils_p38,0.021
Tregnaive_IkB,0.02
CCR2pcMC_Frequency,0.015
CD4Tnaive_STAT3,0.01
MDSC_STAT3,0.009
NKT_Frequency,0.006
mDC_STAT3,0.002
MDSC_MAPKAPK2,0.002
CD8Tcm_Frequency,0.002
mDC_CREB,0.001
CCR2pcMC_CREB,0.001
mDC_p38,0.0
MDSC_p38,0.0
intMC_p38,0.0
CCR2pcMC_MAPKAPK2,0.0
CCR2pcMC_p38,0.0
